Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Cumulative_Returns
2015-01-05,190.0,190.05,190.0,190.0,874.4,,,
2015-01-06,180.5,180.5,180.5,180.5,658.87,-0.050000000000000044,-0.05129329438755058,-0.050000000000000044
2015-01-07,171.48,171.48,171.48,171.48,138.05,-0.049972299168975165,-0.05126413604315936,-0.09747368421052649
2015-01-08,171.4,171.4,167.0,167.0,3.9,-0.026125495684627853,-0.026472829313021147,-0.12105263157894741
2015-01-09,161.55,161.55,158.65,158.65,332.2,-0.04999999999999993,-0.05129329438755046,-0.16500000000000004
2015-01-12,154.98,166.4,150.72,166.4,2.1,0.04884966908288679,0.047694010357903584,-0.12421052631578955
2015-01-13,159.16,166.4,158.08,166.4,1.22,0.0,0.0,-0.12421052631578955
2015-01-14,158.08,157.98,151.0,151.1,1.37,-0.09194711538461542,-0.09645265910841437,-0.20473684210526322
2015-01-15,157.2,156.45,152.68,152.68,1.13,0.010456651224354907,0.010402358598335276,-0.19642105263157883
2015-01-16,158.98,158.98,153.0,153.0,547.32,0.0020958868221114813,0.0020936935154063515,-0.1947368421052631
2015-01-19,157.75,157.75,152.81,156.0,1.26,0.019607843137254832,0.019418085857101516,-0.17894736842105263
2015-01-20,158.0,158.0,154.0,155.0,989.99,-0.0064102564102563875,-0.0064308903302904025,-0.1842105263157895
2015-01-21,158.5,155.02,152.01,155.02,833.45,0.0001290322580644876,0.00012902393411870762,-0.18410526315789477
2015-01-22,157.99,155.5,154.01,155.5,651.52,0.003096374661333945,0.003091590765923392,-0.18157894736842117
2015-01-23,155.02,156.0,155.0,156.0,615.58,0.003215434083601254,0.0032102756302481894,-0.17894736842105274
2015-01-26,152.1,156.0,150.5,155.0,1.48,-0.0064102564102563875,-0.0064308903302904025,-0.1842105263157896
2015-01-27,156.7,156.7,155.99,156.0,1.84,0.006451612903225712,0.006430890330290331,-0.17894736842105285
2015-01-28,157.95,158.0,156.0,156.5,2.35,0.0032051282051281937,0.0032000027306708497,-0.17631578947368443
2015-01-29,156.2,156.53,156.0,156.0,878.39,-0.0031948881789137795,-0.0032000027306709027,-0.17894736842105285
2015-01-30,156.01,156.01,156.0,156.0,363.03,0.0,0.0,-0.17894736842105285
2015-02-02,156.01,157.7,156.0,157.7,487.33,0.010897435897435859,0.010838486719455614,-0.17000000000000026
2015-02-03,159.29,161.12,157.0,157.0,3.08,-0.004438807863030969,-0.004448688620684539,-0.173684210526316
2015-02-04,158.75,162.94,158.7,162.0,1.0,0.031847133757961776,0.03135052988407601,-0.14736842105263182
2015-02-05,159.0,159.0,159.0,159.0,226.2,-0.01851851851851849,-0.01869213301215252,-0.16315789473684228
2015-02-06,160.0,160.01,159.8,159.8,206.01,0.005031446540880502,0.0050188311119427655,-0.15894736842105284
2015-02-09,158.01,158.97,157.11,157.11,198.55,-0.016833541927409268,-0.016976836372668294,-0.17310526315789498
2015-02-10,157.0,157.0,156.0,156.99,877.4,-0.000763796066450273,-0.000764087907279883,-0.1737368421052634
2015-02-11,155.0,155.0,150.5,152.0,744.06,-0.031785464042295763,-0.032301588205949826,-0.2000000000000003
2015-02-12,150.67,150.67,145.0,145.0,812.04,-0.046052631578947345,-0.04714677842570196,-0.2368421052631582
2015-02-13,140.1,145.0,139.1,141.9,5.7,-0.02137931034482754,-0.02161115825457738,-0.25315789473684236
2015-02-16,142.45,143.99,140.0,143.99,3.49,0.014728682170542573,0.014621268554182068,-0.24215789473684246
2015-02-17,148.0,149.2,148.0,149.2,178.92,0.036183068268629714,0.03554383504948132,-0.21473684210526356
2015-02-18,155.99,156.0,152.05,155.0,2.47,0.03887399463806984,0.038137429149586274,-0.18421052631578982
2015-02-19,154.99,154.99,153.2,153.2,879.89,-0.011612903225806548,-0.011680859612755792,-0.19368421052631624
2015-02-20,151.15,154.01,151.15,152.2,3.44,-0.00652741514360311,-0.00654881187890544,-0.1989473684210531
2015-02-23,155.0,154.87,153.1,153.1,360.74,0.005913272010512616,0.00589585723605274,-0.19421052631578983
2015-02-24,154.0,154.0,153.99,154.0,337.52,0.005878510777269863,0.005861299749991193,-0.18947368421052657
2015-02-25,153.96,154.0,153.9,154.0,1.16,0.0,0.0,-0.18947368421052657
2015-02-26,154.0,154.0,153.4,153.5,157.85,-0.0032467532467532756,-0.0032520353863773432,-0.192105263157895
2015-02-27,153.0,153.0,153.0,153.0,559.94,-0.0032573289902280145,-0.0032626456348163824,-0.19473684210526343
2015-03-02,153.0,154.0,153.0,153.0,858.47,0.0,0.0,-0.19473684210526343
2015-03-03,154.0,154.0,152.0,152.0,1.17,-0.006535947712418277,-0.006557400546159052,-0.2000000000000003
2015-03-04,157.9,153.02,152.06,152.53,962.54,0.003486842105263177,0.0034807771655654433,-0.19721052631578972
2015-03-05,153.0,153.0,152.36,152.9,133.55,0.0024257523110207124,0.0024228149231747347,-0.19526315789473714
2015-03-06,152.09,153.01,152.09,153.01,453.9,0.0007194244604316058,0.0007191657987054193,-0.19468421052631613
2015-03-09,157.99,153.61,153.0,153.0,1.95,-6.535520554207253e-05,-6.535734128657344e-05,-0.19473684210526343
2015-03-10,153.2,154.8,153.2,153.47,260.66,0.003071895424836546,0.0030671867945680255,-0.19226315789473714
2015-03-11,153.47,153.55,153.47,153.55,226.22,0.0005212745161922161,0.0005211386998279571,-0.19184210526315804
2015-03-12,154.0,154.0,154.0,154.0,75.1,0.0029306414848582207,0.002926355526797653,-0.18947368421052657
2015-03-13,153.72,153.72,153.01,153.01,177.61,-0.00642857142857145,-0.006449323679907095,-0.19468421052631601
2015-03-16,153.0,153.0,150.0,150.0,725.13,-0.019671916868178485,-0.01986798463746627,-0.2105263157894739
2015-03-17,150.0,150.0,149.87,150.0,779.8,0.0,0.0,-0.2105263157894739
2015-03-18,153.01,152.8,148.03,152.8,123.99,0.01866666666666683,0.01849458263616453,-0.19578947368421062
2015-03-19,152.0,152.0,152.0,152.0,4.0,-0.005235602094240899,-0.00524935588614379,-0.20000000000000018
2015-03-20,152.0,152.0,152.0,152.0,13.78,0.0,0.0,-0.20000000000000018
2015-03-23,151.3,152.3,151.3,152.3,213.33,0.0019736842105264607,0.001971739054839883,-0.19842105263157905
2015-03-24,151.05,152.88,151.05,152.88,126.29,0.003808273145108343,0.0038010400309014753,-0.19536842105263164
2015-03-25,152.6,152.6,152.6,152.6,935.06,-0.001831501831501825,-0.0018331810816609605,-0.19684210526315793
2015-03-26,152.0,152.0,151.35,151.35,177.99,-0.008191349934469239,-0.008225083382629015,-0.20342105263157906
2015-03-27,152.0,153.0,152.0,153.0,1.62,0.010901883052527372,0.010842885924707925,-0.1947368421052632
2015-03-30,155.0,160.0,154.0,159.0,327.36,0.03921568627450989,0.03846628082779614,-0.16315789473684206
2015-03-31,159.99,160.0,159.6,160.0,4.27,0.0062893081761006275,0.006269613013595395,-0.1578947368421052
2015-04-01,168.0,176.4,168.0,176.4,270.08,0.10250000000000004,0.09758032833886404,-0.07157894736842096
2015-04-02,185.22,185.23,178.0,182.0,14.91,0.03174603174603163,0.031252543504104315,-0.04210526315789476
2015-04-07,180.0,180.0,177.48,180.0,1.72,-0.01098901098901095,-0.011049836186584935,-0.05263157894736836
2015-04-08,175.5,180.0,175.5,178.01,616.16,-0.011055555555555596,-0.011117122400868843,-0.06310526315789466
2015-04-09,180.0,180.0,180.0,180.0,89.57,0.011179147238919107,0.01111712240086875,-0.05263157894736836
2015-04-10,181.0,181.0,180.0,180.0,874.62,0.0,0.0,-0.05263157894736836
2015-04-13,180.0,181.0,180.0,180.0,706.9,0.0,0.0,-0.05263157894736836
2015-04-14,179.9,180.0,179.9,180.0,382.05,0.0,0.0,-0.05263157894736836
2015-04-15,180.0,180.0,180.0,180.0,433.56,0.0,0.0,-0.05263157894736836
2015-04-16,180.0,180.0,179.1,179.1,173.21,-0.0050000000000000044,-0.005012541823544286,-0.05736842105263151
2015-04-17,180.0,180.0,179.95,180.0,748.56,0.005025125628140836,0.005012541823544414,-0.05263157894736825
2015-04-20,179.0,174.01,174.01,174.01,43.83,-0.03327777777777785,-0.03384408206272345,-0.08415789473684199
2015-04-21,172.0,174.0,172.0,174.0,74.91,-5.746796161132384e-05,-5.746961295789637e-05,-0.08421052631578929
2015-04-22,174.0,174.0,174.0,174.0,22.22,0.0,0.0,-0.08421052631578929
2015-04-23,176.51,176.51,175.0,175.0,1.21,0.005747126436781658,0.0057306747089850745,-0.07894736842105243
2015-04-24,175.0,175.0,175.0,175.0,37.91,0.0,0.0,-0.07894736842105243
2015-04-27,175.0,175.0,175.0,175.0,954.77,0.0,0.0,-0.07894736842105243
2015-04-28,175.0,176.0,175.0,176.0,1.6,0.005714285714285783,0.005698021114637796,-0.07368421052631557
2015-04-29,177.03,177.03,176.0,176.0,845.18,0.0,0.0,-0.07368421052631557
2015-04-30,179.91,184.5,176.5,184.5,1.07,0.048295454545454586,0.047165468442430136,-0.02894736842105239
2015-05-04,180.02,184.5,180.0,180.0,628.03,-0.024390243902439046,-0.02469261259037152,-0.05263157894736825
2015-05-05,180.0,180.0,180.0,180.0,270.27,0.0,0.0,-0.05263157894736825
2015-05-06,180.0,179.55,179.21,179.55,174.84,-0.0024999999999999467,-0.002503130218118477,-0.05499999999999983
2015-05-07,178.99,178.99,178.0,178.0,83.98,-0.008632692843219214,-0.008670170380006753,-0.06315789473684197
2015-05-08,178.0,178.0,178.0,178.0,1.58,0.0,0.0,-0.06315789473684197
2015-05-11,178.0,178.0,178.0,178.0,38.82,0.0,0.0,-0.06315789473684197
2015-05-12,178.0,178.0,178.0,178.0,56.18,0.0,0.0,-0.06315789473684197
2015-05-13,183.95,180.0,177.5,177.5,341.82,-0.002808988764044895,-0.0028129413766146126,-0.0657894736842104
2015-05-14,177.5,178.5,177.5,178.5,1.02,0.005633802816901401,0.005617992304223274,-0.06052631578947354
2015-05-15,178.93,178.93,178.5,178.5,64.13,0.0,0.0,-0.06052631578947354
2015-05-18,178.49,178.49,178.49,178.49,50.61,-5.602240896351862e-05,-5.602397827728309e-05,-0.060578947368420843
2015-05-19,178.5,178.5,178.0,178.0,157.69,-0.0027452518348367594,-0.002749026949331344,-0.06315789473684197
2015-05-20,177.96,177.96,177.63,177.64,159.56,-0.0020224719101124,-0.002024519868183667,-0.06505263157894725
2015-05-21,177.98,178.0,177.72,177.75,234.0,0.0006192299031750892,0.0006190382594488656,-0.06447368421052613
2015-05-22,176.0,177.9,176.0,177.9,2.49,0.0008438818565401629,0.0008435259884392802,-0.06368421052631557
2015-05-25,177.0,177.95,177.0,177.0,1.46,-0.005059021922428353,-0.00507186209796034,-0.06842105263157872
2015-05-26,180.0,180.0,179.0,179.0,945.4,0.011299435028248483,0.011236073266925752,-0.05789473684210511
2015-05-27,174.75,180.0,174.05,180.0,1.08,0.005586592178770999,0.0055710450494554295,-0.05263157894736825
2015-05-28,180.0,180.15,179.99,180.0,5.44,0.0,0.0,-0.05263157894736825
2015-06-01,180.01,180.08,180.0,180.0,489.46,0.0,0.0,-0.05263157894736825
2015-06-02,180.0,180.0,180.0,180.0,308.24,0.0,0.0,-0.05263157894736825
2015-06-03,180.0,180.0,179.5,180.0,519.2,0.0,0.0,-0.05263157894736825
2015-06-04,179.5,179.8,177.0,177.0,206.42,-0.01666666666666672,-0.01680711831638129,-0.06842105263157883
2015-06-05,170.0,177.6,170.0,177.0,678.59,0.0,0.0,-0.06842105263157883
2015-06-08,177.0,177.01,177.0,177.01,247.94,5.649717514111252e-05,5.64955792358222e-05,-0.06836842105263163
2015-06-09,177.1,177.55,177.1,177.55,103.81,0.003050675103101641,0.003046031236031927,-0.06552631578947365
2015-06-10,177.2,179.0,177.2,177.98,925.34,0.002421852999155094,0.0024189250396192013,-0.06326315789473691
2015-06-11,177.57,178.0,177.0,177.0,948.15,-0.005506236655803964,-0.005521451854886974,-0.06842105263157894
2015-06-12,177.0,177.0,176.99,176.99,48.38,-5.6497175141223543e-05,-5.649877116673725e-05,-0.06847368421052624
2015-06-15,177.0,178.0,177.0,178.0,72.02,0.005706537092491137,0.005690316489422798,-0.06315789473684197
2015-06-16,176.01,177.0,176.0,177.0,255.79,-0.005617977528089901,-0.00563381771825602,-0.06842105263157883
2015-06-17,181.0,175.0,175.0,175.0,88.4,-0.011299435028248594,-0.011363758650315095,-0.07894736842105254
2015-06-18,175.0,176.01,175.0,175.5,1.38,0.0028571428571428914,0.0028530689824064807,-0.07631578947368411
2015-06-19,175.11,175.11,175.0,175.0,403.51,-0.002849002849002802,-0.002853068982406399,-0.07894736842105254
2015-06-22,176.35,176.35,175.5,175.5,1.07,0.0028571428571428914,0.0028530689824064807,-0.07631578947368411
2015-06-23,175.07,175.07,174.15,174.15,137.95,-0.007692307692307665,-0.007722046093910278,-0.08342105263157884
2015-06-24,174.15,174.15,174.15,174.15,50.53,0.0,0.0,-0.08342105263157884
2015-06-25,174.15,174.15,174.15,174.15,23.28,0.0,0.0,-0.08342105263157884
2015-06-26,170.0,170.0,170.0,170.0,154.9,-0.023830031581969613,-0.024118559761748478,-0.10526315789473673
2015-06-29,168.1,174.0,168.1,174.0,528.07,0.0235294117647058,0.023256862164267183,-0.0842105263157894
2015-06-30,173.0,180.0,173.0,180.0,1.09,0.034482758620689724,0.033901551675681416,-0.05263157894736825
2015-07-01,174.85,174.88,171.97,172.0,230.52,-0.0444444444444444,-0.04546237407675729,-0.0947368421052629
2015-07-02,173.0,173.0,172.5,172.5,350.5,0.0029069767441860517,0.00290275965796141,-0.09210526315789447
2015-07-03,172.5,172.8,170.0,170.0,486.32,-0.01449275362318836,-0.014598799421152636,-0.1052631578947365
2015-07-06,170.0,172.0,170.0,170.0,315.25,0.0,0.0,-0.1052631578947365
2015-07-07,172.0,172.0,171.99,172.0,122.73,0.0117647058823529,0.011696039763191236,-0.0947368421052629
2015-07-08,170.0,170.0,168.0,168.0,880.86,-0.023255813953488413,-0.02353049741019416,-0.11578947368421033
2015-07-09,175.0,170.0,168.3,168.3,5.9,0.0017857142857142794,0.001784121793501392,-0.11421052631578932
2015-07-10,168.3,168.3,168.3,168.3,7.31,0.0,0.0,-0.11421052631578932
2015-07-13,170.0,170.05,170.0,170.0,8.01,0.010101010101009944,0.010050335853501286,-0.10526315789473684
2015-07-14,170.0,170.2,170.0,170.01,2.66,5.88235294116668e-05,5.882179937570479e-05,-0.10521052631578953
2015-07-15,170.0,170.0,168.0,168.0,123.23,-0.011822833950943967,-0.011893279446378547,-0.11578947368421055
2015-07-16,160.01,168.0,160.01,168.0,184.5,0.0,0.0,-0.11578947368421055
2015-07-21,169.0,170.46,169.0,170.46,120.33,0.01464285714285718,0.01453668569089268,-0.10284210526315785
