Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Cumulative_Returns
2015-01-05,131.98,131.98,125.76,130.4,1.86,,,
2015-01-06,123.93,123.93,117.74,117.74,2.21,-0.0970858895705522,-0.10212784589243733,-0.0970858895705522
2015-01-07,116.0,116.0,111.86,111.86,2.81,-0.049940546967895294,-0.051230714206673314,-0.14217791411042946
2015-01-08,107.2,112.56,112.08,112.56,1.43,0.006257822277847325,0.006238323412691718,-0.13680981595092023
2015-01-09,117.99,117.98,116.12,117.6,1.12,0.04477611940298498,0.04380262265839284,-0.09815950920245409
2015-01-12,121.6,116.88,115.52,115.52,2.35,-0.017687074829931926,-0.017845360320010398,-0.11411042944785277
2015-01-13,112.6,113.6,110.41,111.2,3.76,-0.037396121883656486,-0.03811329332803407,-0.14723926380368102
2015-01-14,115.19,112.4,109.44,110.4,2.69,-0.007194244604316502,-0.00722024797348702,-0.15337423312883436
2015-01-15,111.2,112.0,107.2,112.0,1.65,0.014492753623188248,0.014388737452099452,-0.1411042944785278
2015-01-16,112.0,114.41,110.8,111.2,3.36,-0.0071428571428571175,-0.007168489478612516,-0.14723926380368113
2015-01-19,116.71,116.8,113.24,116.8,4.45,0.050359712230215736,0.04913268857764459,-0.10429447852760765
2015-01-20,118.31,117.68,113.76,116.4,3.15,-0.003424657534246478,-0.0034305350967891368,-0.1073619631901842
2015-01-21,117.0,117.08,116.0,116.0,1.69,-0.003436426116838587,-0.0034423441909729015,-0.11042944785276099
2015-01-22,115.36,116.0,114.8,116.0,2.04,0.0,0.0,-0.11042944785276099
2015-01-23,116.8,116.8,115.19,115.2,1.94,-0.006896551724137945,-0.006920442844573795,-0.11656441717791433
2015-01-26,113.61,115.2,113.61,115.19,558.4,-8.680555555562464e-05,-8.680932337590903e-05,-0.11664110429447883
2015-01-27,116.0,116.0,114.85,115.91,3.3,0.006250542581821339,0.006231088962238614,-0.11111963190184082
2015-01-28,115.2,115.84,114.4,115.2,3.44,-0.006125442153394833,-0.006144279638862732,-0.11656441717791444
2015-01-29,113.64,114.48,113.64,113.76,2.74,-0.012499999999999956,-0.012578782206860073,-0.12760736196319045
2015-01-30,114.72,114.72,113.6,113.62,10.22,-0.0012306610407876173,-0.0012314189259499126,-0.12868098159509234
2015-02-02,113.6,119.2,113.6,119.2,11.86,0.04911107199436726,0.047943207502268624,-0.08588957055214752
2015-02-03,119.99,119.2,115.24,116.8,904.75,-0.020134228187919545,-0.020339684237122787,-0.10429447852760776
2015-02-04,121.59,120.08,116.08,118.8,1.11,0.017123287671232834,0.01697833653441783,-0.08895705521472441
2015-02-05,115.33,115.61,114.89,115.2,798.98,-0.030303030303030276,-0.03077165866675366,-0.11656441717791455
2015-02-06,116.76,118.4,113.45,113.45,8.33,-0.01519097222222221,-0.015307537035940118,-0.1299846625766875
2015-02-09,112.8,112.8,107.78,107.78,4.03,-0.04997796386073161,-0.05127009872050011,-0.17346625766871204
2015-02-10,105.81,106.4,102.62,105.6,9.84,-0.0202263870848024,-0.020433741233189563,-0.19018404907975495
2015-02-11,105.6,105.6,104.8,105.44,22.44,-0.0015151515151514694,-0.0015163005179639638,-0.19141104294478561
2015-02-12,105.6,105.61,103.2,103.21,4.59,-0.021149468892260992,-0.02137632317635515,-0.20851226993865069
2015-02-13,107.77,107.77,103.2,103.2,15.82,-9.688983625610881e-05,-9.689453037950469e-05,-0.20858895705521507
2015-02-16,102.58,104.02,98.04,102.4,1.8,-0.007751937984496138,-0.007782140442054963,-0.2147239263803684
2015-02-17,104.0,107.49,103.22,104.0,3.08,0.015625,0.015504186535965254,-0.20245398773006162
2015-02-18,107.2,106.24,105.15,105.9,2.04,0.018269230769230926,0.018104353465988265,-0.18788343558282228
2015-02-19,105.6,107.2,105.6,107.08,8.96,0.011142587346553379,0.01108096604479101,-0.17883435582822105
2015-02-20,107.2,107.78,107.2,107.76,7.47,0.00635039223010847,0.006330313449956925,-0.1736196319018406
2015-02-23,110.3,111.2,105.96,111.2,1.14,0.031922791388270255,0.03142384971437348,-0.14723926380368102
2015-02-24,112.0,112.0,109.2,111.2,5.56,0.0,0.0,-0.14723926380368102
2015-02-25,106.8,111.16,106.8,110.19,607.49,-0.009082733812949662,-0.009124233316796388,-0.1549846625766872
2015-02-26,109.1,109.6,108.0,108.41,11.36,-0.01615391596333604,-0.016285812826485235,-0.16863496932515343
2015-02-27,108.13,113.8,108.13,112.0,8.09,0.0331150262890878,0.032578535621894236,-0.14110429447852757
2015-03-02,112.8,114.4,112.0,114.4,5.33,0.021428571428571574,0.021202207650603124,-0.12269938650306733
2015-03-03,114.4,119.99,114.4,119.99,6.06,0.04886363636363633,0.04770732703059997,-0.07983128834355813
2015-03-04,119.6,120.8,119.6,120.0,4.96,8.334027835665836e-05,8.333680574859749e-05,-0.07975460122699363
2015-03-05,114.66,116.0,114.65,116.0,6.75,-0.033333333333333326,-0.03390155167568134,-0.11042944785276054
2015-03-06,115.99,118.06,115.99,116.12,5.89,0.001034482758620836,0.0010339480500646432,-0.10950920245398743
2015-03-09,118.4,116.86,114.42,116.76,4.5,0.0055115397864278215,0.005496406829484849,-0.10460122699386476
2015-03-10,117.48,119.2,117.48,117.68,2.33,0.007879410757108518,0.007848530307267993,-0.09754601226993842
2015-03-11,117.2,117.2,112.05,112.05,2.85,-0.047841604350781886,-0.04902387604624618,-0.1407208588957054
2015-03-12,117.58,113.2,111.78,112.0,5.98,-0.00044622936189198104,-0.00044632895184142996,-0.14110429447852746
2015-03-13,111.99,112.0,108.0,111.2,7.18,-0.0071428571428571175,-0.007168489478612516,-0.1472392638036808
2015-03-16,108.12,110.4,105.64,105.64,1.26,-0.050000000000000044,-0.05129329438755058,-0.18987730061349684
2015-03-17,107.99,105.68,104.0,105.6,4.32,-0.00037864445285884507,-0.00037871615677044897,-0.1901840490797546
2015-03-18,108.0,105.6,104.41,105.6,1.78,0.0,0.0,-0.1901840490797546
2015-03-19,108.0,105.6,104.8,104.8,7.04,-0.007575757575757569,-0.007604599385219304,-0.19631901840490795
2015-03-20,104.09,106.0,104.09,105.2,4.17,0.003816793893129722,0.0038095284166676487,-0.19325153374233128
2015-03-23,104.8,105.23,104.8,105.2,3.26,0.0,0.0,-0.19325153374233128
2015-03-24,105.2,105.6,104.8,105.6,2.84,0.0038022813688212143,0.0037950709685515343,-0.1901840490797546
2015-03-25,107.17,108.8,107.1,108.8,4.62,0.030303030303030276,0.02985296314968113,-0.16564417177914115
2015-03-26,110.4,112.4,109.6,112.06,6.72,0.029963235294117707,0.02952310771529627,-0.14064417177914113
2015-03-27,112.12,113.6,112.0,112.95,4.28,0.007942173835445265,0.00791080077687378,-0.13381901840490806
2015-03-30,112.89,112.96,112.0,112.0,449.89,-0.008410801239486565,-0.0084463716189178,-0.1411042944785278
2015-03-31,112.02,114.96,112.02,114.96,5.22,0.026428571428571468,0.026085370475674982,-0.11840490797546033
2015-04-01,120.64,126.67,126.67,126.67,6.39,0.1018615170494086,0.09700103772477174,-0.028604294478527748
2015-04-02,133.0,139.65,133.0,133.0,16.51,0.04997236914818037,0.04876384872621269,0.019938650306748462
2015-04-07,130.41,130.41,128.0,128.0,5.92,-0.03759398496240607,-0.03831886430213666,-0.018404907975460127
2015-04-08,121.96,121.96,121.6,121.6,195.37,-0.050000000000000044,-0.05129329438755058,-0.06748466257668717
2015-04-09,117.6,124.78,117.6,124.78,2.0,0.026151315789473717,0.025815217150573694,-0.04309815950920248
2015-04-10,124.0,131.02,124.0,131.01,1.0,0.04992787305657953,0.04872146948293894,0.004677914110429393
2015-04-13,125.06,136.79,125.06,135.99,1.11,0.0380123654682849,0.03730769745528834,0.042868098159509094
2015-04-14,142.72,147.99,136.0,137.6,6.17,0.011839105816604079,0.01176957187837562,0.05521472392638027
2015-04-15,134.4,136.0,134.4,134.4,1.04,-0.023255813953488302,-0.023530497410194046,0.030674846625766916
2015-04-16,128.08,129.76,127.68,127.69,545.3,-0.049925595238095255,-0.051214976652459415,-0.020782208588957074
2015-04-17,131.6,131.2,128.93,129.03,1.59,0.010494165557208834,0.010439484027164839,-0.010506134969325176
2015-04-20,135.44,129.04,128.67,128.67,2.43,-0.002790048825854541,-0.002793948266855945,-0.01326687116564429
2015-04-21,127.76,127.76,125.62,125.62,548.51,-0.023704049117898363,-0.02398951017066394,-0.036656441717791366
2015-04-22,124.78,124.78,120.13,120.96,3.56,-0.03709600382104772,-0.03780156459501195,-0.07239263803680984
2015-04-23,121.06,122.42,121.04,122.4,791.04,0.011904761904762085,0.011834457647003017,-0.06134969325153361
2015-04-24,121.04,121.92,120.8,120.8,3.89,-0.013071895424836666,-0.013158084577511199,-0.0736196319018404
2015-04-27,120.8,125.56,120.8,121.6,2.75,0.0066225165562914245,0.006600684031352093,-0.06748466257668695
2015-04-28,120.0,121.2,120.0,120.22,2.17,-0.01134868421052626,-0.01141357192105059,-0.07806748466257651
2015-04-29,119.2,122.4,119.2,120.94,1.7,0.0059890201297621015,0.005971157234050849,-0.07254601226993851
2015-04-30,120.8,125.99,120.8,125.61,3.73,0.03861418885397727,0.037887313854094905,-0.036733128834355644
2015-05-04,128.0,128.88,125.2,126.4,5.54,0.0062893081761006275,0.006269613013595395,-0.030674846625766694
2015-05-05,123.2,125.6,123.2,125.6,590.48,-0.006329113924050778,-0.006349227678658892,-0.036809815950920255
2015-05-06,123.2,123.2,121.28,122.4,987.02,-0.02547770700636931,-0.025807883955872475,-0.06134969325153361
2015-05-07,122.4,123.2,121.4,123.2,968.3,0.006535947712418277,0.006514681021193672,-0.05521472392638027
2015-05-08,123.19,123.2,122.69,122.8,1.01,-0.0032467532467532756,-0.0032520353863773432,-0.05828220858895694
2015-05-11,122.78,125.52,122.78,125.52,1.45,0.022149837133550454,0.02190809271173503,-0.03742331288343548
2015-05-12,121.28,124.8,121.28,122.82,644.82,-0.02151051625239009,-0.021745239523524022,-0.05812883435582816
2015-05-13,125.58,124.64,123.04,123.04,501.6,0.001791239211854867,0.0017896368560808022,-0.05644171779141083
2015-05-14,123.24,123.24,123.2,123.2,255.8,0.0013003901170349774,0.0012995453420854258,-0.05521472392638027
2015-05-15,123.2,124.14,123.2,124.14,492.54,0.007629870129870042,0.0076009098860871736,-0.048006134969325154
2015-05-18,124.0,125.6,124.0,125.59,658.62,0.011680360882874163,0.011612672044528703,-0.036886503067484644
2015-05-19,124.01,124.0,123.2,123.2,2.73,-0.019030177561907835,-0.019213581930616015,-0.05521472392638038
2015-05-20,123.42,124.0,123.42,123.68,11.87,0.003896103896103842,0.0038885337396923746,-0.05153374233128838
2015-05-21,123.2,123.2,122.8,123.18,1.25,-0.004042690815006522,-0.004050884580214681,-0.05536809815950927
2015-05-22,122.56,122.76,122.54,122.62,306.5,-0.004546192563727902,-0.004556557924355355,-0.05966257668711661
2015-05-25,123.2,123.2,122.36,123.2,3.16,0.004730060349045884,0.0047189087648775805,-0.05521472392638038
2015-05-26,123.2,123.2,121.59,121.6,3.29,-0.012987012987013102,-0.013072081567352888,-0.06748466257668728
2015-05-27,121.6,121.6,121.56,121.6,1.02,0.0,0.0,-0.06748466257668728
2015-05-28,121.53,121.6,120.08,120.08,1.12,-0.012499999999999956,-0.012578782206860073,-0.07914110429447863
2015-06-01,120.08,120.64,117.6,117.6,4.37,-0.020652898067954784,-0.020869151860680057,-0.0981595092024542
2015-06-02,117.6,120.0,116.06,120.0,7.15,0.020408163265306145,0.02020270731751947,-0.07975460122699407
2015-06-03,120.0,120.0,118.4,118.8,2.66,-0.010000000000000009,-0.01005033585350145,-0.08895705521472419
2015-06-04,119.2,119.24,117.6,118.4,2.49,-0.0033670033670032407,-0.0033726844786391187,-0.09202453987730075
2015-06-05,118.4,118.4,117.84,118.39,5.07,-8.445945945945166e-05,-8.446302636043819e-05,-0.09210122699386514
2015-06-08,118.5,118.5,117.6,117.76,1.72,-0.005321395388123928,-0.005335604442978685,-0.09693251533742331
2015-06-09,118.4,118.4,117.6,117.6,542.75,-0.0013586956521740579,-0.0013596195160397067,-0.09815950920245409
2015-06-10,117.6,120.0,117.6,118.32,2.79,0.00612244897959191,0.006103782938017886,-0.09263803680981597
2015-06-11,123.1,120.8,120.0,120.13,5.69,0.015297498309668756,0.015181671330739442,-0.07875766871165646
2015-06-12,120.8,120.8,120.2,120.2,3.77,0.0005827020727546817,0.0005825323678236285,-0.0782208588957054
2015-06-15,120.4,120.4,120.0,120.0,7.99,-0.0016638935108153063,-0.0016652793190612089,-0.07975460122699374
2015-06-16,120.0,120.01,118.42,118.42,1.18,-0.01316666666666666,-0.013254115678415928,-0.09187116564417164
2015-06-17,120.0,120.02,119.2,119.92,1.55,0.012666779260260164,0.012587226690712276,-0.08036809815950896
2015-06-18,120.0,120.8,120.0,120.0,3.4,0.0006671114076051143,0.0006668889877037743,-0.07975460122699363
2015-06-19,117.2,119.28,117.2,118.42,1.29,-0.01316666666666666,-0.013254115678415928,-0.09187116564417153
2015-06-22,120.48,120.82,120.46,120.46,1.01,0.017226819793953574,0.017080120511944807,-0.07622699386503051
2015-06-23,120.05,120.8,120.01,120.01,1.14,-0.0037356798937405733,-0.003742674972224933,-0.07967791411042924
2015-06-24,120.0,120.07,119.69,119.99,1.54,-0.00016665277893512798,-0.00016666666705250838,-0.07983128834355813
2015-06-25,120.0,120.0,118.42,120.0,5.37,8.334027835665836e-05,8.333680574859749e-05,-0.07975460122699363
2015-06-26,118.61,118.8,118.41,118.41,960.25,-0.013249999999999984,-0.013338564439180542,-0.09194785276073592
2015-06-29,118.42,119.11,117.76,117.76,10.32,-0.005489401233003899,-0.005504523362299257,-0.09693251533742298
2015-06-30,117.6,119.98,117.6,119.98,2.04,0.018851902173913082,0.018676407244380966,-0.0799079754601223
2015-07-01,118.9,118.9,117.6,118.8,4.71,-0.009834972495415983,-0.009883655296402564,-0.08895705521472363
2015-07-02,118.0,118.0,116.04,116.04,1.08,-0.02323232323232316,-0.02350644767534121,-0.11012269938650276
2015-07-03,116.0,116.0,115.2,115.2,205.52,-0.007238883143743546,-0.007265210991412413,-0.11656441717791377
2015-07-06,110.8,114.48,110.8,113.73,1.87,-0.012760416666666607,-0.012842530065437643,-0.12783742331288306
2015-07-07,113.8,113.8,111.4,111.4,835.08,-0.02048711861426178,-0.020699890703169445,-0.14570552147239224
2015-07-08,112.0,112.72,110.12,111.2,3.89,-0.0017953321364452268,-0.0017969456767016304,-0.14723926380368058
2015-07-09,110.0,110.4,109.95,110.0,1.66,-0.010791366906474864,-0.010850016024065818,-0.1564417177914107
2015-07-10,109.01,109.59,108.8,109.21,5.25,-0.007181818181818289,-0.00720773158277931,-0.16249999999999976
2015-07-13,109.62,109.62,107.44,107.44,507.36,-0.016207307023166306,-0.01634008199465482,-0.1760736196319015
2015-07-14,106.88,107.12,106.8,106.8,8.52,-0.005956813104988856,-0.005974625688887695,-0.18098159509202416
