Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Cumulative_Returns
2015-01-05,1048.0,996.08,995.6,995.6,292.2,,,
2015-01-06,945.82,945.82,945.82,945.82,60.97,-0.04999999999999993,-0.05129329438755046,-0.04999999999999993
2015-01-07,898.53,898.53,898.53,898.53,,-0.049998942716373174,-0.05129218145803634,-0.09749899558055442
2015-01-08,898.53,898.53,898.53,898.53,37.1,0.0,0.0,-0.09749899558055442
2015-01-09,860.85,860.85,855.0,855.0,160.42,-0.04844579479817035,-0.04965862571108994,-0.14122137404580148
2015-01-12,812.25,812.25,812.25,812.25,270.25,-0.050000000000000044,-0.05129329438755058,-0.18416030534351147
2015-01-13,818.0,818.0,799.0,799.0,320.82,-0.016312711603570285,-0.01644722878293497,-0.19746886299718758
2015-01-14,798.5,798.5,798.5,798.5,435.8,-0.0006257822277847547,-0.0006259781112075665,-0.19797107271996783
2015-01-15,800.0,800.0,800.0,800.0,129.03,0.0018785222291797243,0.0018767600128601842,-0.19646444355162718
2015-01-16,815.31,815.45,815.31,815.4,162.39,0.01924999999999999,0.019067062717225722,-0.18099638408999597
2015-01-19,856.17,856.17,855.0,855.0,113.03,0.04856512141280356,0.047422678551607214,-0.14122137404580148
2015-01-20,830.1,830.5,830.1,830.5,136.82,-0.028654970760233933,-0.02907353988341067,-0.1658296504620329
2015-01-21,830.05,830.15,830.05,830.15,91.82,-0.0004214328717639937,-0.0004215216995542058,-0.16618119726797909
2015-01-22,843.0,843.0,815.05,830.0,33.36,-0.00018069023670419515,-0.00018070656315173132,-0.16633186018481316
2015-01-23,830.15,839.99,800.15,820.97,22.86,-0.010879518072289152,-0.010939132809744505,-0.17540176777822414
2015-01-26,828.0,830.0,801.06,828.0,75.73,0.0085630412804365,0.008526586404360539,-0.16834069907593407
2015-01-27,825.0,825.0,825.0,825.0,542.27,-0.0036231884057971175,-0.0036297680505787237,-0.1713539574126155
2015-01-28,820.0,820.0,801.05,818.0,19.55,-0.00848484848484854,-0.008521049731933985,-0.17838489353153886
2015-01-29,825.0,825.0,810.0,810.0,313.5,-0.009779951100244544,-0.009828088936262651,-0.18642024909602262
2015-01-30,800.0,800.25,800.0,800.25,98.77,-0.012037037037037068,-0.012110068816512042,-0.19621333869023716
