Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Cumulative_Returns
2015-01-05,24.5,0.0,0.0,24.5,47.92,,,
2015-01-06,23.75,24.93,24.93,24.93,2.03,0.017551020408163254,0.0173987799847852,0.017551020408163254
2015-01-07,26.17,27.47,26.17,27.47,2.19,0.10188527878058551,0.09702260257171587,0.12122448979591827
2015-01-08,26.1,26.65,26.1,26.5,52.06,-0.03531124863487434,-0.035949767115005894,0.08163265306122458
2015-01-09,26.1,26.1,26.1,26.1,151.02,-0.015094339622641506,-0.015209418663528795,0.06530612244897971
2015-01-12,26.1,27.0,26.11,27.0,187.74,0.0344827586206895,0.0339015516756812,0.1020408163265305
2015-01-13,25.65,27.0,25.65,27.0,1.22,0.0,0.0,0.1020408163265305
2015-01-14,28.35,29.76,28.35,29.7,1.73,0.09999999999999987,0.09531017980432474,0.21224489795918333
2015-01-15,29.7,29.7,29.7,29.7,366.58,0.0,0.0,0.21224489795918333
2015-01-16,28.22,28.98,28.22,28.22,152.05,-0.049831649831649893,-0.051116099383986056,0.15183673469387715
2015-01-19,28.22,29.5,28.22,28.22,3.05,0.0,0.0,0.15183673469387715
2015-01-20,28.22,28.22,28.22,28.22,,0.0,0.0,0.15183673469387715
2015-01-21,28.3,28.3,28.22,28.22,129.5,0.0,0.0,0.15183673469387715
2015-01-22,28.22,28.22,28.22,28.22,2.84,0.0,0.0,0.15183673469387715
2015-01-23,28.0,29.63,28.0,29.63,7.16,0.049964564138908596,0.04875641516080595,0.20938775510204044
2015-01-26,28.5,31.11,28.5,31.11,888.32,0.04994937563280466,0.048741949324071845,0.2697959183673466
2015-01-27,32.66,34.29,32.66,32.66,11.23,0.049823207971713135,0.04862177663277327,0.33306122448979547
2015-01-28,34.29,34.29,32.21,33.1,82.47,0.013472137170851273,0.01338219484069824,0.35102040816326485
2015-01-29,34.29,34.29,31.5,32.0,19.76,-0.0332326283987916,-0.03379737958329073,0.3061224489795913
2015-01-30,31.06,33.0,31.06,31.06,22.11,-0.02937500000000004,-0.029815085079185576,0.26775510204081576
