Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Cumulative_Returns
2015-01-05,149.0,149.0,149.0,149.0,46.35,,,
2015-01-06,156.0,153.7,148.2,148.2,173.95,-0.005369127516778649,-0.005383593083472755,-0.005369127516778649
2015-01-07,154.0,146.51,146.51,146.51,126.28,-0.01140350877192986,-0.01146902734876488,-0.016711409395973265
2015-01-08,153.83,152.13,152.13,152.13,66.72,0.03835915637157883,0.03764173296181581,0.021006711409395917
2015-01-09,144.75,144.75,144.75,144.75,27.14,-0.04851114178662985,-0.049727302021932755,-0.028523489932886004
2015-01-12,145.0,145.0,140.3,144.0,2.64,-0.005181347150259086,-0.005194816877104023,-0.033557046979865834
2015-01-13,149.0,141.66,141.66,141.66,60.05,-0.016249999999999987,-0.016383479250524056,-0.04926174496644298
2015-01-14,147.2,141.5,141.5,141.5,55.76,-0.0011294649159959702,-0.0011301032421841594,-0.05033557046979864
2015-01-15,146.88,144.0,143.99,144.0,59.36,0.0176678445229681,0.01751358249270821,-0.033557046979865834
2015-01-16,147.92,147.92,140.02,147.52,1.4,0.02444444444444449,0.024150460232283122,-0.009932885906040245
2015-01-19,141.0,150.84,141.0,145.0,7.22,-0.01708242950108463,-0.017230017387709327,-0.02684563758389258
2015-01-20,144.0,144.0,144.0,144.0,54.3,-0.006896551724137945,-0.006920442844573795,-0.03355704697986572
2015-01-21,148.99,148.99,145.0,145.1,13.4,0.007638888888888751,0.007609860314141405,-0.026174496644295386
2015-01-22,144.1,149.84,144.1,149.84,4.95,0.0326671261199174,0.03214489824569101,0.0056375838926174815
2015-01-23,148.92,148.92,144.0,144.0,206.93,-0.03897490656700486,-0.039754758559832515,-0.033557046979865834
2015-01-26,148.99,148.99,144.01,144.01,7.76,6.94444444444553e-05,6.944203329065004e-05,-0.03348993288590607
2015-01-27,148.0,148.4,145.0,145.0,4.99,0.006874522602597022,0.006851000811283123,-0.02684563758389269
2015-01-28,144.01,145.0,144.0,144.0,19.59,-0.006896551724137945,-0.006920442844573795,-0.033557046979865834
2015-01-29,148.2,148.2,144.0,147.99,17.7,0.027708333333333446,0.027331404337756063,-0.006778523489932797
2015-01-30,145.0,147.98,145.0,147.98,4.06,-6.757213325236933e-05,-6.757441635181532e-05,-0.006845637583892672
2015-02-02,144.0,146.5,144.25,146.0,6.49,-0.013380186511690706,-0.013470507789068378,-0.020134228187919434
2015-02-03,145.0,144.5,144.5,144.5,23.55,-0.010273972602739767,-0.010327114155849628,-0.030201342281879207
2015-02-04,149.0,149.97,141.02,149.97,21.13,0.03785467128027675,0.03715576654110177,0.006510067114093854
2015-02-05,145.0,149.96,144.5,147.01,5.44,-0.01973728078949133,-0.019934662417713907,-0.013355704697986748
2015-02-06,149.9,0.0,0.0,144.5,8.42,-0.017073668457928015,-0.01722110412338801,-0.030201342281879318
2015-02-09,140.01,140.01,138.1,138.1,10.41,-0.04429065743944638,-0.04530144713724043,-0.07315436241610751
2015-02-10,145.0,145.0,138.1,138.1,3.43,0.0,0.0,-0.07315436241610751
2015-02-11,143.92,143.92,140.0,140.0,0.1,0.013758146270818283,0.0136643621940579,-0.060402684563758524
2015-02-12,137.28,137.28,137.28,137.28,20.15,-0.01942857142857146,-0.01961978686965218,-0.07865771812080558
2015-02-13,140.0,141.0,134.05,134.05,147.33,-0.023528554778554756,-0.023809771057683827,-0.1003355704697988
2015-02-16,139.97,139.97,134.02,135.0,13.41,0.007086907870197612,0.007061913756461072,-0.09395973154362436
2015-02-17,140.0,140.0,140.0,140.0,46.26,0.03703703703703698,0.03636764417087479,-0.060402684563758635
2015-02-18,140.0,143.4,140.0,140.01,4.16,7.142857142850012e-05,7.142602052956262e-05,-0.06033557046979898
2015-02-19,144.46,144.46,144.46,144.46,16.53,0.03178344403971156,0.03128880399286693,-0.030469798657718372
2015-02-20,144.45,144.45,140.0,140.0,14.96,-0.03087359822788316,-0.03136023001339646,-0.060402684563758635
2015-02-23,140.01,143.0,140.01,140.11,3.31,0.0007857142857143895,0.0007854057738358852,-0.05966442953020146
2015-02-24,141.0,141.0,140.5,140.5,42.11,0.0027835272286060864,0.0027796603906603667,-0.057046979865771896
2015-02-25,140.01,140.01,140.01,140.01,37.82,-0.003487544483985805,-0.003493640143966563,-0.06033557046979876
2015-02-26,143.0,143.0,135.3,140.0,15.43,-7.142346975208547e-05,-7.142602052955882e-05,-0.06040268456375841
2015-02-27,133.02,140.0,133.02,139.99,22.74,-7.142857142850012e-05,-7.143112257039195e-05,-0.060469798657718066
2015-03-02,140.0,143.0,138.01,142.0,30.13,0.014358168440602892,0.014256066114526888,-0.04697986577181201
2015-03-03,140.0,140.0,140.0,140.0,116.1,-0.014084507042253502,-0.014184634991956413,-0.0604026845637583
2015-03-04,140.0,140.0,138.11,140.0,16.4,0.0,0.0,-0.0604026845637583
2015-03-05,144.49,144.49,139.5,140.0,14.19,0.0,0.0,-0.0604026845637583
2015-03-06,141.0,144.5,141.0,144.5,37.8,0.03214285714285725,0.03163708494318266,-0.030201342281878985
2015-03-09,140.05,144.48,140.0,144.0,17.83,-0.0034602076124568004,-0.003466207976486284,-0.03355704697986561
2015-03-10,144.5,144.5,140.0,140.0,19.92,-0.02777777777777779,-0.028170876966696335,-0.06040268456375819
2015-03-11,144.5,144.5,144.5,144.5,52.18,0.03214285714285725,0.03163708494318266,-0.030201342281878873
2015-03-12,141.0,144.48,141.0,141.0,2.31,-0.02422145328719727,-0.024519617174318612,-0.053691275167784935
2015-03-13,140.0,143.99,140.0,140.5,0.65,-0.0035460992907800915,-0.003552401604367772,-0.05704697986577145
2015-03-16,140.0,140.0,140.0,140.0,33.13,-0.003558718861209953,-0.003565066164496146,-0.06040268456375797
2015-03-17,143.98,143.98,143.98,143.98,0.02,0.028428571428571248,0.028031978431852376,-0.03369127516778492
2015-03-18,143.99,143.99,136.0,136.0,14.96,-0.05542436449506871,-0.05701951530510479,-0.08724832214765066
2015-03-19,142.0,142.0,134.02,134.02,9.43,-0.014558823529411735,-0.014665843191027317,-0.10053691275167753
2015-03-20,134.0,140.0,134.0,135.0,9.05,0.007312341441575887,0.007285735893404791,-0.0939597315436238
2015-03-23,135.0,143.95,135.0,136.0,15.41,0.007407407407407307,0.00738010729762246,-0.08724832214765077
2015-03-24,137.01,140.0,137.01,137.02,8.68,0.007500000000000062,0.0074720148387010564,-0.0804026845637581
2015-03-25,144.0,144.0,144.0,144.0,12.29,0.05094146839877389,0.049686399001247605,-0.0335570469798655
2015-03-26,145.0,0.0,0.0,144.0,21.42,0.0,0.0,-0.0335570469798655
2015-03-27,151.19,158.74,158.74,158.74,69.0,0.10236111111111112,0.09745434408672887,0.06536912751677892
2015-03-30,166.67,166.67,165.0,165.0,80.81,0.03943555499559026,0.03867783023785111,0.10738255033557098
2015-03-31,173.25,180.0,180.0,180.0,40.45,0.09090909090909083,0.08701137698962969,0.20805369127516826
2015-04-01,179.9,188.89,180.0,180.01,612.57,5.555555555547542e-05,5.5554012402752426e-05,0.20812080536912791
2015-04-02,188.0,185.0,180.07,180.07,572.71,0.00033331481584353284,0.00033325927880083916,0.20852348993288627
2015-04-07,180.0,182.0,180.0,182.0,741.24,0.010718054090076201,0.01066102289538139,0.22147651006711455
2015-04-08,185.0,185.0,172.9,180.0,6.64,-0.01098901098901095,-0.011049836186584935,0.20805369127516826
2015-04-09,174.0,180.0,173.05,179.98,14.03,-0.00011111111111117289,-0.00011111728440796455,0.20791946308724873
2015-04-10,180.0,180.0,180.0,180.0,25.98,0.00011112345816211011,0.00011111728440799486,0.20805369127516826
2015-04-13,175.0,180.0,175.0,180.0,35.64,0.0,0.0,0.20805369127516826
2015-04-14,172.0,172.0,172.0,172.0,45.92,-0.0444444444444444,-0.04546237407675729,0.1543624161073831
2015-04-15,180.0,180.0,180.0,180.0,54.66,0.04651162790697683,0.04546237407675741,0.20805369127516848
2015-04-16,180.0,180.0,180.0,180.0,71.27,0.0,0.0,0.20805369127516848
2015-04-17,188.9,188.9,179.0,180.0,15.4,0.0,0.0,0.20805369127516848
2015-04-20,163.0,171.0,162.45,163.0,22.79,-0.09444444444444444,-0.09920665008344803,0.09395973154362469
2015-04-21,171.0,171.0,162.47,162.47,5.23,-0.003251533742331336,-0.0032568314651034054,0.09040268456375888
2015-04-22,162.46,170.94,162.45,162.85,27.86,0.0023388933341539353,0.002336162380583458,0.09295302013422857
2015-04-23,169.97,169.97,163.04,165.0,1.28,0.013202333435677005,0.013115942178338114,0.10738255033557076
2015-04-24,162.45,162.45,162.45,162.45,102.17,-0.015454545454545499,-0.015575211785471346,0.09026845637583913
2015-04-27,155.5,155.5,155.5,155.5,21.2,-0.042782394582948524,-0.0437245304958204,0.04362416107382572
2015-04-28,155.5,162.45,155.5,156.02,27.33,0.003344051446945384,0.0033384725408782965,0.04711409395973187
2015-04-29,162.0,163.27,156.51,163.27,12.44,0.04646840148698894,0.04542106797790606,0.09577181208053731
2015-04-30,155.11,162.0,155.11,162.0,5.49,-0.007778526367366978,-0.007808936905689006,0.08724832214765144
