Symbol,Start_Date,End_Date,Total_Days,Missing_Volume,Zero_Volume_Days,Mean_Price,Max_Price,Min_Price,Mean_Return,Volatility
DANGCEM,2015-01-05,2025-12-31,2721,0,0,271.8341087835355,763.0,116.8,0.16281464219969216,0.33148708558736645
DANGSUG,2015-01-05,2025-12-31,2722,0,0,20.87072005878031,82.65,5.1,0.3209519973708439,0.46660661298923445
ETI,2015-01-05,2025-12-31,2721,1,0,15.191800808526278,42.0,3.9,0.1893766841959132,0.46072773101677117
FCMB,2015-01-05,2025-12-31,2722,3,0,3.742296105804555,12.05,0.71,0.2750964512849492,0.510304169754187
FIDELIT,2015-01-05,2025-12-31,2722,2,0,4.921524614254225,21.7,0.76,0.34655737908891243,0.4871688349928029
FIRSTHOLD,2015-01-05,2025-12-31,2721,1,0,11.754145534729878,53.0,2.95,0.27624324761739455,0.4879622039573005
GTCO,2015-01-05,2025-12-31,2718,1,0,34.87455481972039,101.95,13.37,0.1881458612840773,0.37215210976531043
GUINNES,2015-01-05,2025-12-31,2722,1,0,75.32705731080088,349.9,13.0,0.16342140276585843,0.4343328198765998
IBTC,2015-01-05,2025-12-31,2720,4,0,41.00720588235294,118.0,12.23,0.1945574655749535,0.3913465207146976
INTBREW,2015-01-05,2025-12-31,2708,56,0,14.89780280649926,64.0,2.75,0.09947337648983694,0.534756820554798
NB,2015-01-05,2025-12-31,2722,0,0,64.06630051432771,154.4,17.6,0.034326567919914695,0.41340231893876367
NESTLE,2015-01-05,2025-12-31,2721,1,0,1169.7009004042632,1958.0,570.0,0.11079415470741452,0.3110732649457714
OKOMUOI,2015-01-05,2025-12-31,2721,4,0,176.01149944873208,1110.0,19.6,0.4258878431280978,0.3907484821764552
PRESCO,2015-01-05,2025-12-31,2689,17,2,198.98243956861285,1550.0,24.5,0.457773345754026,0.3888354908648995
SEPLAT,2015-01-05,2025-12-31,2687,1,5,1423.939728321548,5917.2,151.74,0.3269430873526121,0.35840715952971103
STERLINGNG,2015-01-05,2025-12-31,2716,6,0,2.433133284241532,8.4,0.67,0.2253415219587642,0.5031974951681008
TOTAL,2015-01-05,2025-12-31,2720,8,0,266.5049154411765,745.0,79.1,0.19484419659641777,0.3467057907306535
TRANSCO,2015-01-05,2025-12-31,2725,16,0,11.03725871559633,76.8,0.56,0.7875684338279046,1.5061384138548122
UBA,2015-01-05,2025-12-31,2722,2,0,12.116010286554005,50.46,2.59,0.3063070348653746,0.4386986015550305
UCAP,2015-01-05,2025-12-31,2717,0,0,6.096413323518587,23.85,1.1,0.38261946584819784,0.5261469319328772
WAPCO,2015-01-05,2025-12-31,2721,1,0,43.132568908489525,151.0,8.95,0.20433607645492188,0.5451976100681727
ZENITHB,2015-01-05,2025-12-31,2723,1,0,26.306907822254864,76.9,9.0,0.19066802146395537,0.3897235345462149
