"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","609.00","609.00","609.00","609.00","290.55K","0.00%"
"30/12/2025","609.00","609.00","609.00","609.00","599.94K","0.00%"
"29/12/2025","609.00","609.00","609.00","609.00","370.51K","0.00%"
"24/12/2025","609.00","610.00","609.00","609.00","613.28K","-0.16%"
"23/12/2025","610.00","610.00","610.00","610.00","338.20K","0.00%"
"22/12/2025","610.00","610.00","610.00","610.00","989.67K","0.00%"
"19/12/2025","610.00","614.90","610.00","610.00","1.02M","-0.80%"
"18/12/2025","614.90","614.90","614.90","614.90","517.76K","0.00%"
"17/12/2025","614.90","614.90","614.90","614.90","1.05M","0.00%"
"16/12/2025","614.90","614.90","614.90","614.90","352.47K","0.00%"
"15/12/2025","614.90","614.90","614.90","614.90","506.27K","0.00%"
"12/12/2025","614.90","614.90","614.90","614.90","573.94K","0.00%"
"11/12/2025","614.90","614.90","614.90","614.90","281.94K","0.00%"
"10/12/2025","614.90","614.90","614.90","614.90","959.43K","0.00%"
"09/12/2025","614.90","614.90","614.90","614.90","738.17K","0.00%"
"08/12/2025","614.90","614.90","614.90","614.90","533.35K","0.00%"
"05/12/2025","614.90","588.00","614.90","614.90","239.47K","4.57%"
"04/12/2025","588.00","588.00","588.00","588.00","213.91K","0.00%"
"03/12/2025","588.00","588.00","588.00","588.00","165.48K","0.00%"
"02/12/2025","588.00","534.60","588.00","588.00","713.13K","9.99%"
"01/12/2025","534.60","534.60","534.60","534.60","312.33K","0.00%"
"28/11/2025","534.60","534.60","534.60","534.60","436.55K","0.00%"
"27/11/2025","534.60","534.60","534.60","534.60","545.73K","0.00%"
"26/11/2025","534.60","534.60","534.60","534.60","132.89K","0.00%"
"25/11/2025","534.60","534.60","534.60","534.60","243.83K","0.00%"
"24/11/2025","534.60","534.60","534.60","534.60","402.92K","0.00%"
"21/11/2025","534.60","534.60","534.60","534.60","208.96K","0.00%"
"20/11/2025","534.60","534.60","534.60","534.60","225.12K","0.00%"
"19/11/2025","534.60","534.60","534.60","534.60","320.28K","0.00%"
"18/11/2025","534.60","534.60","534.60","534.60","126.73K","0.00%"
"17/11/2025","534.60","594.00","534.60","534.60","537.17K","-10.00%"
"14/11/2025","594.00","594.00","594.00","594.00","343.19K","0.00%"
"13/11/2025","594.00","594.00","594.00","594.00","3.38M","0.00%"
"12/11/2025","594.00","594.00","594.00","594.00","2.13M","0.00%"
"11/11/2025","594.00","660.00","600.00","594.00","1.77M","-10.00%"
"10/11/2025","660.00","660.00","660.00","660.00","3.63M","0.00%"
"07/11/2025","660.00","660.00","660.00","660.00","1.77M","0.00%"
"06/11/2025","660.00","660.00","660.00","660.00","2.52M","0.00%"
"05/11/2025","660.00","660.00","660.00","660.00","211.30K","0.00%"
"04/11/2025","660.00","660.00","660.00","660.00","129.20K","0.00%"
"03/11/2025","660.00","660.00","660.00","660.00","109.33K","0.00%"
"31/10/2025","660.00","660.00","660.00","660.00","583.99K","0.00%"
"30/10/2025","660.00","660.00","660.00","660.00","411.13K","0.00%"
"29/10/2025","660.00","665.00","660.00","660.00","398.65K","-0.75%"
"28/10/2025","665.00","665.00","665.00","665.00","7.54M","0.00%"
"27/10/2025","665.00","665.00","665.00","665.00","2.52M","0.00%"
"24/10/2025","665.00","649.30","665.00","665.00","1.21M","2.42%"
"23/10/2025","649.30","639.00","649.30","640.00","886.82K","1.61%"
"22/10/2025","639.00","600.00","639.00","639.00","847.59K","6.50%"
"21/10/2025","600.00","600.00","656.00","600.00","3.40M","0.00%"
"20/10/2025","600.00","600.00","600.00","600.00","3.36M","0.00%"
"17/10/2025","600.00","599.80","600.00","600.00","4.40M","0.03%"
"16/10/2025","599.80","585.60","599.80","599.80","1.70M","2.42%"
"15/10/2025","585.60","585.60","585.60","585.60","336.90K","0.00%"
"14/10/2025","585.60","585.00","585.60","585.30","4.01M","0.10%"
"13/10/2025","585.00","575.00","585.00","585.00","1.36M","1.74%"
"10/10/2025","575.00","540.00","575.00","575.00","2.02M","6.48%"
"09/10/2025","540.00","530.00","540.00","540.00","20.92M","1.89%"
"08/10/2025","530.00","530.00","530.00","530.00","482.68K","0.00%"
"07/10/2025","530.00","525.10","530.00","527.00","2.98M","0.93%"
"06/10/2025","525.10","525.10","525.10","525.10","459.90K","0.00%"
"03/10/2025","525.10","525.10","525.10","525.10","314.52K","0.00%"
"02/10/2025","525.10","525.10","525.10","525.10","181.54K","0.00%"
"30/09/2025","525.10","525.10","525.10","525.10","83.99K","0.00%"
"29/09/2025","525.10","525.10","525.10","525.10","158.53K","0.00%"
"26/09/2025","525.10","516.20","525.10","525.10","928.47K","1.72%"
"25/09/2025","516.20","516.20","516.20","516.20","288.63K","0.00%"
