"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","60.00","60.00","60.00","60.00","961.02K","0.00%"
"30/12/2025","60.00","60.00","60.10","60.00","2.27M","0.00%"
"29/12/2025","60.00","59.65","60.00","59.80","5.52M","0.59%"
"24/12/2025","59.65","59.50","59.65","59.65","845.52K","0.25%"
"23/12/2025","59.50","60.00","59.50","59.20","1.13M","-0.83%"
"22/12/2025","60.00","59.00","60.00","60.00","1.78M","1.69%"
"19/12/2025","59.00","60.00","59.00","59.00","1.13M","-1.67%"
"18/12/2025","60.00","60.00","60.00","60.00","1.27M","0.00%"
"17/12/2025","60.00","60.00","60.00","60.00","2.85M","0.00%"
"16/12/2025","60.00","60.00","60.00","60.00","1.63M","0.00%"
"15/12/2025","60.00","60.00","60.00","60.00","1.50M","0.00%"
"12/12/2025","60.00","57.50","62.90","60.00","6.88M","4.35%"
"11/12/2025","57.50","54.30","57.50","55.00","2.11M","5.89%"
"10/12/2025","54.30","54.20","54.30","54.30","1.13M","0.18%"
"09/12/2025","54.20","54.20","54.20","54.20","1.16M","0.00%"
"08/12/2025","54.20","53.95","54.50","53.95","2.73M","0.46%"
"05/12/2025","53.95","53.85","53.95","53.90","1.75M","0.19%"
"04/12/2025","53.85","54.10","53.85","53.85","2.71M","-0.46%"
"03/12/2025","54.10","54.10","54.10","54.10","440.59K","0.00%"
"02/12/2025","54.10","55.00","54.10","54.10","786.38K","-1.64%"
"01/12/2025","55.00","55.90","55.00","53.55","1.59M","-1.61%"
"28/11/2025","55.90","55.90","55.90","55.90","1.48M","0.00%"
"27/11/2025","55.90","55.90","55.90","55.90","690.28K","0.00%"
"26/11/2025","55.90","55.90","55.90","55.90","1.70M","0.00%"
"25/11/2025","55.90","55.90","55.90","55.90","2.07M","0.00%"
"24/11/2025","55.90","55.90","55.90","55.90","1.80M","0.00%"
"21/11/2025","55.90","56.00","55.90","55.90","1.61M","-0.18%"
"20/11/2025","56.00","56.00","56.70","56.00","2.55M","0.00%"
"19/11/2025","56.00","58.00","58.50","56.00","1.50M","-3.45%"
"18/11/2025","58.00","58.00","58.00","58.00","1.22M","0.00%"
"17/11/2025","58.00","58.00","58.05","58.00","1.83M","0.00%"
"14/11/2025","58.00","57.90","58.00","58.00","1.71M","0.17%"
"13/11/2025","57.90","57.00","57.90","57.90","1.23M","1.58%"
"12/11/2025","57.00","55.50","59.00","55.50","6.88M","2.52%"
"11/11/2025","55.60","55.60","55.60","55.60","1.53M","0.00%"
"10/11/2025","55.60","55.60","55.60","55.60","1.35M","0.00%"
"07/11/2025","55.60","55.60","55.60","55.60","977.43K","0.00%"
"06/11/2025","55.60","55.60","55.60","55.60","1.49M","0.00%"
"05/11/2025","55.60","58.00","55.60","55.60","3.64M","-4.14%"
"04/11/2025","58.00","58.95","58.00","56.00","1.79M","-1.61%"
"03/11/2025","58.95","60.50","58.95","58.95","1.40M","-2.56%"
"31/10/2025","60.50","62.80","60.50","60.50","2.20M","-3.66%"
"30/10/2025","62.80","62.80","62.80","62.80","787.16K","0.00%"
"29/10/2025","62.80","64.55","62.80","62.80","1.49M","-2.71%"
"28/10/2025","64.55","64.55","64.55","64.55","1.45M","0.00%"
"27/10/2025","64.55","64.30","64.55","64.30","3.11M","0.39%"
"24/10/2025","64.30","61.50","64.30","63.60","2.94M","4.55%"
"23/10/2025","61.50","64.45","64.40","60.05","7.83M","-4.58%"
"22/10/2025","64.45","61.00","64.45","63.50","3.00M","5.66%"
"21/10/2025","61.00","61.00","61.00","61.00","1.89M","0.00%"
"20/10/2025","61.00","59.85","61.00","61.00","1.52M","1.92%"
"17/10/2025","59.85","58.20","59.85","58.30","2.40M","2.84%"
"16/10/2025","58.20","59.70","58.65","58.20","3.37M","-2.51%"
"15/10/2025","59.70","60.00","59.70","59.70","3.37M","-0.50%"
"14/10/2025","60.00","61.00","61.10","60.00","6.41M","-1.64%"
"13/10/2025","61.00","61.00","61.00","61.00","1.44M","0.00%"
"10/10/2025","61.00","61.00","61.00","61.00","1.25M","0.00%"
"09/10/2025","61.00","60.00","61.00","60.85","1.03M","1.67%"
"08/10/2025","60.00","63.90","60.25","60.00","3.90M","-6.10%"
"07/10/2025","63.90","63.50","63.90","63.90","3.76M","0.63%"
"06/10/2025","63.50","61.80","64.50","63.00","3.49M","2.75%"
"03/10/2025","61.80","61.00","61.80","61.80","1.24M","1.31%"
"02/10/2025","61.00","61.00","61.00","60.50","3.32M","0.00%"
"30/09/2025","61.00","61.00","61.00","60.95","2.52M","0.00%"
"29/09/2025","61.00","62.50","62.00","61.00","4.45M","-2.40%"
"26/09/2025","62.50","62.00","62.50","62.50","2.34M","0.81%"
"25/09/2025","62.00","59.40","62.00","61.85","2.73M","4.38%"
"24/09/2025","59.40","54.00","59.40","58.95","1.46M","10.00%"
"23/09/2025","54.00","60.00","60.00","54.00","4.46M","-10.00%"
"22/09/2025","60.00","60.15","60.00","60.00","1.27M","-0.25%"
"19/09/2025","60.15","62.00","60.15","60.15","1.37M","-2.98%"
"18/09/2025","62.00","60.00","62.00","62.00","706.11K","3.33%"
"17/09/2025","60.00","60.00","60.00","60.00","1.14M","0.00%"
"16/09/2025","60.00","60.35","60.45","60.00","3.46M","-0.58%"
"15/09/2025","60.35","60.00","60.35","60.00","3.13M","0.58%"
"12/09/2025","60.00","60.00","60.00","60.00","713.88K","0.00%"
"11/09/2025","60.00","60.00","60.00","60.00","562.69K","0.00%"
"10/09/2025","60.00","60.00","60.00","60.00","866.52K","0.00%"
"09/09/2025","60.00","60.00","60.00","60.00","768.54K","0.00%"
"08/09/2025","60.00","55.00","60.00","58.45","23.59M","9.09%"
"04/09/2025","55.00","55.00","55.00","55.00","687.06K","0.00%"
"03/09/2025","55.00","55.00","55.00","55.00","1.12M","0.00%"
"02/09/2025","55.00","58.00","55.00","55.00","2.92M","-5.17%"
"01/09/2025","58.00","58.00","58.00","58.00","1.65M","0.00%"
"29/08/2025","58.00","58.00","58.00","58.00","570.36K","0.00%"
"28/08/2025","58.00","61.40","58.00","58.00","1.65M","-5.54%"
"27/08/2025","61.40","61.40","61.40","61.40","1.23M","0.00%"
"26/08/2025","61.40","60.00","61.40","59.00","3.63M","2.33%"
"25/08/2025","60.00","60.00","60.00","60.00","1.68M","0.00%"
"22/08/2025","60.00","59.00","60.00","60.00","1.22M","1.69%"
"21/08/2025","59.00","59.00","59.00","59.00","879.38K","0.00%"
"20/08/2025","59.00","61.90","61.40","59.00","5.27M","-4.68%"
"19/08/2025","61.90","61.40","62.00","61.50","12.39M","0.81%"
"18/08/2025","61.40","55.95","61.40","56.00","8.61M","9.74%"
"15/08/2025","55.95","52.50","56.00","54.60","3.19M","6.57%"
"14/08/2025","52.50","57.00","55.50","51.30","6.37M","-7.89%"
"13/08/2025","57.00","57.00","57.00","57.00","1.69M","0.00%"
"12/08/2025","57.00","59.00","57.00","56.35","3.79M","-3.39%"
"11/08/2025","59.00","59.50","59.20","59.00","2.37M","-0.84%"
"08/08/2025","59.50","60.80","59.50","59.50","2.94M","-2.14%"
"07/08/2025","60.80","61.50","60.80","60.80","3.11M","-1.14%"
"06/08/2025","61.50","62.00","61.50","61.50","2.92M","-0.81%"
"05/08/2025","62.00","62.00","64.80","62.00","11.94M","0.00%"
"04/08/2025","62.00","66.15","62.60","59.60","5.46M","-6.27%"
"01/08/2025","66.15","73.50","73.50","66.15","4.68M","-10.00%"
"31/07/2025","73.50","71.15","75.60","71.15","9.17M","3.30%"
"30/07/2025","71.15","64.70","71.15","70.00","7.69M","9.97%"
"29/07/2025","64.70","58.85","64.70","59.00","8.39M","9.94%"
"28/07/2025","58.85","58.60","59.00","58.40","3.60M","0.43%"
"25/07/2025","58.60","59.50","59.50","58.60","4.18M","-1.84%"
"24/07/2025","59.70","57.10","59.90","54.00","13.47M","-0.50%"
"23/07/2025","60.00","56.10","61.35","58.90","6.08M","6.95%"
"22/07/2025","56.10","51.00","56.10","51.00","9.02M","10.00%"
"21/07/2025","51.00","51.25","51.00","50.10","7.59M","-0.49%"
"18/07/2025","51.25","51.05","51.25","51.05","8.69M","0.39%"
"17/07/2025","51.05","50.00","52.00","51.00","4.60M","2.10%"
"16/07/2025","50.00","49.90","50.00","49.60","3.86M","0.20%"
"14/07/2025","49.90","51.00","50.00","49.60","4.53M","-2.16%"
"11/07/2025","51.00","51.90","51.00","50.00","4.62M","-1.73%"
"10/07/2025","51.90","52.00","51.90","51.90","2.96M","-0.19%"
"09/07/2025","52.00","51.90","52.50","52.00","4.50M","0.19%"
"08/07/2025","51.90","47.95","51.90","48.50","5.70M","8.24%"
"07/07/2025","47.95","47.00","47.95","47.35","2.43M","2.02%"
"04/07/2025","47.00","47.00","47.00","47.00","1.33M","0.00%"
"03/07/2025","47.00","44.50","47.00","45.50","4.17M","5.62%"
"02/07/2025","44.50","47.00","47.00","44.50","3.26M","-5.32%"
"01/07/2025","47.00","47.85","48.00","47.00","4.77M","-1.78%"
"30/06/2025","47.85","47.65","48.00","47.80","3.78M","0.42%"
"27/06/2025","47.65","47.00","48.50","47.20","4.58M","1.38%"
"26/06/2025","47.00","48.40","52.00","47.00","11.26M","-2.89%"
"25/06/2025","48.40","48.00","48.40","48.00","10.46M","10.00%"
"24/06/2025","44.00","40.00","44.00","44.00","5.38M","10.00%"
"23/06/2025","40.00","40.00","40.00","40.00","1.50M","0.00%"
"20/06/2025","40.00","41.50","41.90","40.00","2.52M","-3.61%"
"19/06/2025","41.50","40.00","41.60","40.65","2.37M","3.75%"
"18/06/2025","40.00","40.00","40.00","40.00","1.97M","0.00%"
"17/06/2025","40.00","40.00","41.00","40.00","2.48M","0.00%"
"16/06/2025","40.00","41.10","41.10","40.00","3.59M","-2.68%"
"13/06/2025","41.10","40.20","41.50","41.00","7.48M","2.24%"
"11/06/2025","40.20","40.00","40.20","40.00","4.07M","0.50%"
"10/06/2025","40.00","39.00","40.00","40.00","3.31M","2.56%"
"05/06/2025","39.00","39.00","39.00","39.00","962.87K","0.00%"
"04/06/2025","39.00","39.00","39.00","39.00","558.60K","0.00%"
"03/06/2025","39.00","39.20","39.00","39.00","937.93K","-0.51%"
"02/06/2025","39.20","38.05","39.20","39.20","819.51K","3.02%"
"30/05/2025","38.05","39.90","38.90","38.05","3.14M","-4.64%"
"29/05/2025","39.90","39.80","39.90","39.90","1.36M","0.25%"
"28/05/2025","39.80","38.00","39.80","39.00","1.43M","4.74%"
"27/05/2025","38.00","38.00","38.00","37.90","2.71M","0.00%"
"26/05/2025","38.00","39.00","39.00","38.00","2.43M","-2.56%"
"23/05/2025","39.00","39.00","39.00","39.00","1.01M","0.00%"
"22/05/2025","39.00","41.45","39.00","39.00","3.22M","-5.91%"
"21/05/2025","41.45","41.45","41.45","41.45","1.22M","0.00%"
"20/05/2025","41.45","41.45","41.45","41.45","1.60M","0.00%"
"19/05/2025","41.45","38.00","41.80","38.50","3.88M","9.08%"
"16/05/2025","38.00","38.00","38.00","38.00","585.76K","0.00%"
"15/05/2025","38.00","38.00","38.00","38.00","808.25K","0.00%"
"14/05/2025","38.00","38.60","38.00","37.90","1.33M","-1.55%"
"13/05/2025","38.60","39.00","39.00","38.60","1.20M","-1.03%"
"12/05/2025","39.00","39.90","39.00","39.00","1.46M","-2.26%"
"09/05/2025","39.90","37.80","39.90","38.00","2.51M","5.56%"
"08/05/2025","37.80","37.80","37.80","37.80","1.30M","0.00%"
"07/05/2025","37.80","37.00","37.80","37.00","2.12M","2.16%"
"06/05/2025","37.00","37.00","37.00","37.00","1.80M","0.00%"
"05/05/2025","37.00","35.00","38.00","37.00","1.24M","5.71%"
"02/05/2025","35.00","36.75","35.00","33.20","2.70M","-4.76%"
"30/04/2025","36.75","39.00","37.00","36.75","2.23M","-5.77%"
"29/04/2025","39.00","39.00","39.00","39.00","2.07M","0.00%"
"28/04/2025","39.00","38.55","39.00","39.00","2.22M","1.17%"
"25/04/2025","38.55","39.35","42.95","38.55","2.65M","-2.03%"
"24/04/2025","39.35","35.80","39.35","37.50","5.17M","9.92%"
"23/04/2025","35.80","33.00","35.80","33.30","1.59M","8.48%"
"22/04/2025","33.00","33.30","33.00","33.00","591.35K","-0.90%"
"17/04/2025","33.30","33.70","33.30","33.00","1.87M","-1.19%"
"16/04/2025","33.70","33.70","33.70","33.70","616.52K","0.00%"
"15/04/2025","33.70","33.70","33.70","33.70","1.13M","0.00%"
"14/04/2025","33.70","33.70","33.70","33.70","319.78K","0.00%"
"11/04/2025","33.70","33.70","33.70","33.70","507.91K","0.00%"
"10/04/2025","33.70","32.60","33.70","33.00","1.11M","3.37%"
"09/04/2025","32.60","31.80","32.60","32.50","827.91K","2.52%"
"08/04/2025","31.80","32.65","31.80","31.10","1.93M","-2.60%"
"07/04/2025","32.65","32.00","32.70","32.65","1.74M","2.03%"
"04/04/2025","32.00","33.50","32.00","32.00","1.44M","-4.48%"
"03/04/2025","33.50","33.50","34.00","33.50","1.05M","0.00%"
"02/04/2025","33.50","33.10","33.60","33.50","1.19M","1.21%"
"28/03/2025","33.10","34.50","33.10","33.10","1.57M","-4.06%"
"27/03/2025","34.50","34.70","34.70","34.50","2.68M","-0.58%"
"26/03/2025","34.70","35.00","34.70","34.70","2.61M","-0.86%"
"25/03/2025","35.00","36.00","35.00","35.00","4.03M","-2.78%"
"24/03/2025","36.00","36.00","36.00","36.00","813.45K","0.00%"
"21/03/2025","36.00","36.70","36.00","36.00","736.65K","-1.91%"
"20/03/2025","36.70","36.70","36.70","36.70","1.02M","0.00%"
"19/03/2025","36.70","36.70","36.70","36.70","1.21M","0.00%"
"18/03/2025","36.70","36.70","36.70","36.70","1.23M","0.00%"
"17/03/2025","36.70","35.05","36.70","36.70","936.10K","4.71%"
"14/03/2025","35.05","38.00","35.05","35.05","1.05M","-7.76%"
"13/03/2025","38.00","38.80","38.00","38.00","1.22M","-2.06%"
"12/03/2025","38.80","40.00","38.80","38.00","1.36M","-3.00%"
"11/03/2025","40.00","40.00","40.00","38.40","4.23M","0.00%"
