"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","41.90","42.00","41.90","41.90","424.91K","-0.24%"
"30/12/2025","42.00","41.80","42.00","42.00","3.26M","0.48%"
"29/12/2025","41.80","38.00","41.80","41.80","1.20M","10.00%"
"24/12/2025","38.00","38.00","38.00","38.00","223.75K","0.00%"
"23/12/2025","38.00","38.00","38.00","38.00","285.65K","0.00%"
"22/12/2025","38.00","37.90","38.00","37.90","7.87M","0.26%"
"19/12/2025","37.90","37.90","37.90","37.90","285.80K","0.00%"
"18/12/2025","37.90","36.50","37.90","37.90","571.19K","3.84%"
"17/12/2025","36.50","36.50","36.50","36.50","213.09K","0.00%"
"16/12/2025","36.50","36.50","36.50","36.50","129.96K","0.00%"
"15/12/2025","36.50","36.50","36.50","36.50","83.70K","0.00%"
"12/12/2025","36.50","36.50","36.50","36.50","79.18K","0.00%"
"11/12/2025","36.50","36.50","36.50","36.50","81.81K","0.00%"
"10/12/2025","36.50","36.50","36.50","36.50","328.65K","0.00%"
"09/12/2025","36.50","36.50","37.00","36.50","670.71K","0.00%"
"08/12/2025","36.50","36.50","36.50","36.50","240.54K","0.00%"
"05/12/2025","36.50","36.90","36.50","36.50","588.17K","-1.08%"
"04/12/2025","36.90","34.00","36.90","34.00","21.88M","8.53%"
"03/12/2025","34.00","34.65","34.00","34.00","20.96M","-1.88%"
"02/12/2025","34.65","34.65","34.65","34.65","42.16K","0.00%"
"01/12/2025","34.65","34.65","34.65","34.65","241.81K","0.00%"
"28/11/2025","34.65","34.65","34.65","34.65","135.51K","0.00%"
"27/11/2025","34.65","34.65","34.65","34.65","353.84K","0.00%"
"26/11/2025","34.65","34.65","34.65","34.65","345.92K","0.00%"
"25/11/2025","34.65","34.65","34.65","34.65","140.36K","0.00%"
"24/11/2025","34.65","34.65","34.65","34.65","101.90K","0.00%"
"21/11/2025","34.65","34.65","34.65","34.65","72.73K","0.00%"
"20/11/2025","34.65","34.65","34.65","34.65","95.35K","0.00%"
"19/11/2025","34.65","34.65","34.65","34.65","302.54K","0.00%"
"18/11/2025","34.65","34.65","34.65","34.65","98.21K","0.00%"
"17/11/2025","34.65","34.65","34.65","34.65","283.64K","0.00%"
"14/11/2025","34.65","34.65","34.65","34.65","1.22M","0.00%"
"13/11/2025","34.65","34.65","34.65","34.65","104.17K","0.00%"
"12/11/2025","34.65","34.50","34.65","33.65","1.08M","10.00%"
"11/11/2025","31.50","34.50","34.00","31.50","960.32K","-8.70%"
"10/11/2025","34.50","35.50","34.50","34.50","454.58K","-2.82%"
"07/11/2025","35.50","36.00","36.00","35.50","475.46K","-1.39%"
"06/11/2025","36.00","37.50","37.00","36.00","1.67M","-4.00%"
"05/11/2025","37.50","38.20","37.50","37.50","1.77M","-1.83%"
"04/11/2025","38.20","39.00","38.20","38.20","3.51M","-2.05%"
"03/11/2025","39.00","38.95","39.00","38.00","2.82M","0.13%"
"31/10/2025","38.95","39.90","39.00","38.70","2.14M","-2.38%"
"30/10/2025","39.90","38.20","39.90","38.55","1.26M","4.45%"
"29/10/2025","38.20","37.45","38.95","37.45","3.84M","2.00%"
"28/10/2025","37.45","36.00","37.70","36.10","4.66M","4.03%"
"27/10/2025","36.00","36.00","36.00","36.00","339.90K","0.00%"
"24/10/2025","36.00","36.20","36.00","36.00","1.11M","-0.55%"
"23/10/2025","36.20","36.00","36.20","36.00","1.15M","0.56%"
"22/10/2025","36.00","36.00","36.00","36.00","1.24M","0.00%"
"21/10/2025","36.00","36.00","36.00","36.00","137.24K","0.00%"
"20/10/2025","36.00","36.00","36.00","36.00","205.33K","0.00%"
"17/10/2025","36.00","35.30","36.00","36.00","1.91M","1.98%"
"16/10/2025","35.30","35.30","35.30","35.30","400.92K","0.00%"
"15/10/2025","35.30","35.50","35.30","35.30","1.69M","-0.56%"
"14/10/2025","35.50","35.50","35.50","35.50","547.60K","0.00%"
"13/10/2025","35.50","35.50","35.50","35.50","222.12K","0.00%"
"10/10/2025","35.50","35.50","35.50","35.50","171.01K","0.00%"
"09/10/2025","35.50","35.50","35.50","35.50","100.90K","0.00%"
"08/10/2025","35.50","35.50","35.50","35.50","637.69K","0.00%"
"07/10/2025","35.50","35.30","35.50","35.50","459.14K","0.57%"
