"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","12.050","11.000","12.050","10.900","44.06M","9.05%"
"30/12/2025","11.050","10.900","11.150","10.700","302.35M","1.38%"
"29/12/2025","10.900","10.600","10.900","10.600","116.61M","2.83%"
"24/12/2025","10.600","10.600","10.750","10.600","1.55M","0.00%"
"23/12/2025","10.600","10.550","10.600","10.550","4.40M","0.47%"
"22/12/2025","10.550","10.600","10.600","10.450","3.02M","-0.47%"
"19/12/2025","10.600","10.600","10.600","10.400","75.64M","0.00%"
"18/12/2025","10.600","10.550","10.600","10.450","76.00M","0.47%"
"17/12/2025","10.550","10.600","10.600","10.450","74.28M","-0.47%"
"16/12/2025","10.600","10.800","10.600","10.300","74.69M","-1.85%"
"15/12/2025","10.800","10.550","10.800","10.100","92.04M","2.37%"
"12/12/2025","10.550","10.500","10.600","10.500","3.22M","-4.09%"
"11/12/2025","11.000","11.000","11.000","10.550","74.54M","0.00%"
"10/12/2025","11.000","10.950","11.000","10.650","80.67M","0.46%"
"09/12/2025","10.950","11.050","11.000","10.450","78.09M","-0.90%"
"08/12/2025","11.050","10.900","11.100","10.400","129.65M","1.38%"
"05/12/2025","10.900","10.500","10.900","10.250","27.89M","3.81%"
"04/12/2025","10.500","10.500","10.500","10.050","6.16M","0.00%"
"03/12/2025","10.500","10.500","10.500","10.250","17.29M","0.00%"
"02/12/2025","10.500","10.800","10.500","10.150","21.14M","-2.78%"
"01/12/2025","10.800","10.800","10.800","10.250","5.52M","0.00%"
"28/11/2025","10.800","10.700","10.800","10.450","9.26M","0.93%"
"27/11/2025","10.700","10.650","10.700","10.250","8.02M","0.47%"
"26/11/2025","10.650","10.500","10.650","10.200","2.82M","1.43%"
"25/11/2025","10.500","10.500","10.500","10.100","38.03M","0.00%"
"24/11/2025","10.500","10.700","10.750","10.000","37.99M","-1.87%"
"21/11/2025","10.700","10.700","10.700","10.300","5.09M","0.00%"
"20/11/2025","10.700","10.550","10.700","10.300","30.34M","1.42%"
"19/11/2025","10.550","10.600","10.550","10.300","8.01M","-0.47%"
"18/11/2025","10.600","10.700","10.600","10.250","12.79M","-0.93%"
"17/11/2025","10.700","11.000","10.750","10.400","5.26M","-2.73%"
"14/11/2025","11.000","10.500","11.000","10.300","57.56M","4.76%"
"13/11/2025","10.500","10.600","10.600","10.150","4.07M","-0.94%"
"12/11/2025","10.600","10.250","10.600","10.150","35.51M","0.95%"
"11/11/2025","10.500","10.400","10.500","10.050","14.68M","0.96%"
"10/11/2025","10.400","10.400","10.400","10.000","11.44M","0.00%"
"07/11/2025","10.400","10.800","10.800","10.200","7.40M","-3.70%"
"06/11/2025","10.800","10.000","10.850","10.050","149.99M","8.00%"
"05/11/2025","10.000","10.500","10.500","10.000","40.40M","-4.76%"
"04/11/2025","10.500","10.400","10.500","10.100","110.10M","0.96%"
"03/11/2025","10.400","10.750","10.750","10.400","7.37M","-3.26%"
"31/10/2025","10.750","10.600","10.750","10.600","4.84M","1.42%"
"30/10/2025","10.600","10.600","10.600","10.450","6.51M","0.00%"
"29/10/2025","10.600","10.750","10.850","10.500","8.72M","-1.40%"
"28/10/2025","10.750","10.600","10.750","10.450","11.51M","1.42%"
"27/10/2025","10.600","10.600","10.600","10.600","3.94M","0.00%"
"24/10/2025","10.600","10.500","10.600","10.450","7.45M","0.95%"
"23/10/2025","10.500","10.550","10.650","10.500","7.37M","-0.47%"
"22/10/2025","10.550","10.600","10.700","10.450","7.58M","-0.47%"
"21/10/2025","10.600","10.600","10.800","10.600","5.77M","0.00%"
"20/10/2025","10.600","10.550","10.850","10.600","6.75M","0.47%"
"17/10/2025","10.550","10.400","10.650","10.550","3.54M","1.44%"
"16/10/2025","10.400","10.450","10.500","10.400","14.12M","-0.48%"
