"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","19.000","19.000","19.000","18.900","14.11M","0.00%"
"30/12/2025","19.000","19.000","19.000","18.850","22.51M","0.00%"
"29/12/2025","19.000","19.000","19.050","19.000","44.01M","0.00%"
"24/12/2025","19.000","19.000","19.100","19.000","4.66M","0.00%"
"23/12/2025","19.000","19.050","19.150","19.000","21.92M","-0.26%"
"22/12/2025","19.050","19.000","19.750","19.000","3.39M","0.26%"
"19/12/2025","19.000","19.000","19.000","19.000","4.51M","0.00%"
"18/12/2025","19.000","19.000","19.100","19.000","9.15M","0.00%"
"17/12/2025","19.000","19.000","19.200","18.900","14.29M","0.00%"
"16/12/2025","19.000","18.800","19.000","18.800","10.48M","1.06%"
"15/12/2025","18.800","18.800","18.900","18.750","35.76M","0.00%"
"12/12/2025","18.800","18.950","19.000","18.800","5.47M","-0.79%"
"11/12/2025","18.950","18.950","19.000","18.900","42.94M","0.00%"
"10/12/2025","18.950","19.000","19.050","18.900","63.84M","-0.26%"
"09/12/2025","19.000","19.000","19.200","19.000","54.56M","0.00%"
"08/12/2025","19.000","19.200","19.100","18.550","36.91M","-1.04%"
"05/12/2025","19.200","19.000","19.200","19.000","29.41M","1.05%"
"04/12/2025","19.000","19.000","19.050","19.000","31.01M","0.00%"
"03/12/2025","19.000","19.000","19.050","19.000","20.99M","0.00%"
"02/12/2025","19.000","19.000","19.100","19.000","38.17M","0.00%"
"01/12/2025","19.000","19.100","19.050","18.900","59.87M","-0.52%"
"28/11/2025","19.100","19.150","19.100","19.100","8.45M","-0.26%"
"27/11/2025","19.150","19.050","19.150","19.050","32.20M","0.52%"
"26/11/2025","19.050","19.100","19.100","19.050","26.35M","-0.26%"
"25/11/2025","19.100","19.050","19.100","19.050","41.79M","0.26%"
"24/11/2025","19.050","19.050","19.050","18.500","131.51M","0.00%"
"21/11/2025","19.050","19.000","19.100","19.050","37.72M","0.26%"
"20/11/2025","19.000","19.150","19.200","19.000","54.26M","-0.78%"
"19/11/2025","19.150","19.150","19.150","19.050","10.81M","0.00%"
"18/11/2025","19.150","19.200","19.150","19.050","13.19M","-0.26%"
"17/11/2025","19.200","19.050","19.200","19.050","14.89M","0.79%"
"14/11/2025","19.050","19.050","19.100","19.000","63.08M","-0.26%"
"13/11/2025","19.100","19.050","19.100","19.000","41.20M","0.26%"
"12/11/2025","19.050","18.000","19.600","18.000","27.57M","6.42%"
"11/11/2025","17.900","19.600","19.600","17.850","38.48M","-8.67%"
"10/11/2025","19.600","18.700","19.600","17.100","11.22M","4.81%"
"07/11/2025","18.700","18.750","18.750","18.400","7.29M","-0.27%"
"06/11/2025","18.750","19.000","18.900","18.700","25.99M","-1.32%"
"05/11/2025","19.000","19.000","19.000","18.800","8.16M","0.00%"
"04/11/2025","19.000","19.100","19.500","18.800","55.14M","-0.52%"
"03/11/2025","19.100","19.000","19.100","18.800","4.25M","0.53%"
"31/10/2025","19.000","19.000","19.050","18.800","25.49M","0.00%"
"30/10/2025","19.000","18.800","19.000","18.800","4.30M","1.06%"
"29/10/2025","18.800","19.000","19.150","18.800","13.32M","-1.05%"
"28/10/2025","19.000","18.850","19.050","18.800","41.97M","0.80%"
"27/10/2025","18.850","19.850","19.000","18.500","10.52M","-5.04%"
"24/10/2025","19.850","19.800","19.900","19.350","820.91M","0.25%"
"23/10/2025","19.800","19.800","19.950","19.700","77.30M","0.00%"
"22/10/2025","19.800","19.850","19.850","19.750","94.74M","-0.25%"
"21/10/2025","19.850","19.900","20.000","19.850","59.12M","-0.25%"
"20/10/2025","19.900","19.800","20.000","19.800","49.46M","-0.50%"
"17/10/2025","20.000","20.100","20.100","20.000","46.99M","-0.50%"
"16/10/2025","20.100","20.150","20.200","20.050","11.73M","-0.25%"
"15/10/2025","20.150","20.100","20.500","20.100","46.87M","0.25%"
"14/10/2025","20.100","20.050","20.100","20.050","50.90M","0.25%"
"13/10/2025","20.050","20.300","20.150","20.050","47.47M","-1.23%"
"10/10/2025","20.300","20.500","20.450","20.250","47.34M","-0.98%"
"09/10/2025","20.500","21.000","20.850","20.150","42.01M","-2.38%"
"08/10/2025","21.000","20.050","21.000","20.000","18.60M","4.74%"
"07/10/2025","20.050","20.950","20.200","20.000","10.84M","-4.30%"
"06/10/2025","20.950","20.500","20.950","20.000","9.94M","2.20%"
"03/10/2025","20.500","20.500","20.500","20.100","5.74M","0.00%"
"02/10/2025","20.500","20.000","20.500","20.000","6.44M","-2.38%"
"30/09/2025","21.000","19.950","21.000","19.950","793.04M","5.26%"
"29/09/2025","19.950","18.450","20.000","19.950","4.31M","8.13%"
"26/09/2025","18.450","20.500","20.750","18.450","10.18M","-10.00%"
"25/09/2025","20.500","20.600","20.500","20.450","26.12M","-0.49%"
"24/09/2025","20.600","20.750","20.650","20.500","42.33M","-0.72%"
"23/09/2025","20.750","20.500","20.750","20.450","52.54M","0.48%"
"22/09/2025","20.650","20.750","20.650","20.500","6.38M","-0.48%"
"19/09/2025","20.750","20.750","20.800","20.550","14.39M","0.00%"
"18/09/2025","20.750","20.700","20.900","20.700","20.51M","0.24%"
"17/09/2025","20.700","20.550","20.700","20.550","254.81M","0.73%"
"16/09/2025","20.550","21.000","21.000","20.550","7.77M","-2.14%"
"15/09/2025","21.000","21.050","21.000","20.750","20.10M","-0.24%"
"12/09/2025","21.050","20.650","21.400","20.800","18.98M","1.94%"
"11/09/2025","20.650","20.600","20.750","20.550","10.51M","0.24%"
"10/09/2025","20.600","20.550","20.600","20.500","17.81M","0.24%"
"09/09/2025","20.550","20.400","20.700","20.450","6.26M","0.74%"
"08/09/2025","20.400","21.000","21.250","20.050","13.65M","-2.86%"
"04/09/2025","21.000","21.050","21.050","21.000","30.56M","-0.24%"
"03/09/2025","21.050","21.050","21.100","20.950","40.13M","-0.47%"
"02/09/2025","21.150","21.000","21.200","21.000","12.79M","0.71%"
"01/09/2025","21.000","21.300","21.000","20.900","26.15M","-1.41%"
"29/08/2025","21.300","21.300","21.500","21.250","5.69M","0.00%"
"28/08/2025","21.300","21.400","21.500","21.000","33.50M","-0.47%"
"27/08/2025","21.400","21.250","21.450","21.300","11.69M","0.71%"
"26/08/2025","21.250","20.850","21.450","20.850","14.52M","1.92%"
"25/08/2025","20.850","20.900","21.000","20.700","10.87M","-0.24%"
"22/08/2025","20.900","20.750","20.900","20.850","20.93M","0.72%"
"21/08/2025","20.750","20.700","20.950","20.600","96.07M","0.24%"
"20/08/2025","20.700","20.850","21.000","20.700","7.32M","-0.72%"
"19/08/2025","20.850","20.650","20.950","20.550","29.18M","0.97%"
"18/08/2025","20.650","20.950","21.000","20.500","12.57M","-1.43%"
"15/08/2025","20.950","21.000","21.150","20.800","19.39M","-0.24%"
"14/08/2025","21.000","21.000","21.000","20.550","12.42M","0.00%"
"13/08/2025","21.000","21.000","21.000","20.800","13.68M","0.00%"
"12/08/2025","21.000","21.200","21.150","20.950","24.42M","-0.94%"
"11/08/2025","21.200","21.100","21.400","21.000","9.42M","0.47%"
"08/08/2025","21.100","21.100","21.150","21.000","45.96M","0.00%"
"07/08/2025","21.100","21.400","21.500","21.000","55.03M","-1.40%"
"06/08/2025","21.400","21.500","21.500","21.000","45.40M","-0.47%"
"05/08/2025","21.500","21.200","21.500","21.000","59.21M","1.42%"
"04/08/2025","21.200","21.200","21.550","20.700","45.43M","0.00%"
"01/08/2025","21.200","21.050","21.500","21.000","85.55M","0.71%"
"31/07/2025","21.050","21.000","21.400","21.000","81.12M","0.24%"
"30/07/2025","21.000","20.500","21.500","20.500","90.40M","2.44%"
"29/07/2025","20.500","21.000","21.500","20.500","111.27M","-2.38%"
"28/07/2025","21.000","21.200","21.250","20.950","123.01M","-0.94%"
"25/07/2025","21.200","20.600","21.350","20.650","17.72M","2.91%"
"24/07/2025","20.600","21.300","21.000","20.500","15.70M","-3.29%"
"23/07/2025","21.300","21.700","21.500","21.300","6.26M","-1.84%"
"22/07/2025","21.700","21.500","21.750","21.500","29.95M","0.93%"
"21/07/2025","21.500","20.850","21.700","20.550","21.88M","3.12%"
"18/07/2025","20.850","21.100","21.200","20.500","10.47M","-1.18%"
"17/07/2025","21.100","21.550","22.450","20.500","40.00M","-2.09%"
"16/07/2025","21.550","21.000","21.550","20.500","14.29M","2.62%"
"14/07/2025","21.000","21.200","21.400","20.500","25.18M","-0.94%"
"11/07/2025","21.200","20.300","21.200","20.500","12.35M","4.43%"
"10/07/2025","20.300","20.150","20.700","20.000","25.97M","1.00%"
"09/07/2025","20.100","20.000","20.100","19.950","11.86M","0.50%"
"08/07/2025","20.000","20.000","20.400","20.000","21.01M","0.00%"
"07/07/2025","20.000","20.000","20.500","19.700","22.14M","0.00%"
"04/07/2025","20.000","20.000","20.000","19.650","20.67M","0.00%"
"03/07/2025","20.000","20.000","20.000","19.950","25.13M","0.00%"
"02/07/2025","20.000","20.000","20.000","19.650","17.28M","0.00%"
"01/07/2025","20.000","20.000","20.000","19.600","19.53M","0.00%"
"30/06/2025","20.000","20.000","20.000","19.600","19.51M","0.00%"
"27/06/2025","20.000","20.000","20.000","19.800","24.17M","0.00%"
"26/06/2025","20.000","20.000","20.000","19.550","25.62M","0.00%"
"25/06/2025","20.000","19.750","20.450","19.400","82.98M","1.27%"
"24/06/2025","19.750","19.000","19.750","19.250","83.93M","3.95%"
"23/06/2025","19.000","19.400","19.350","18.500","141.71M","-2.06%"
"20/06/2025","19.400","19.200","19.500","19.050","38.29M","1.04%"
"19/06/2025","19.200","18.550","19.300","18.700","33.19M","3.50%"
"18/06/2025","18.550","18.200","18.600","18.050","30.84M","1.92%"
"17/06/2025","18.200","18.300","18.950","17.900","45.68M","-0.55%"
"16/06/2025","18.300","18.000","18.500","17.350","49.99M","-4.94%"
"13/06/2025","19.250","19.700","19.700","19.200","24.81M","-2.28%"
"11/06/2025","19.700","19.750","19.900","19.500","14.24M","-0.25%"
"10/06/2025","19.750","19.250","19.800","19.450","42.92M","2.60%"
