"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","47.90","44.40","47.90","41.00","28.08M","7.88%"
"30/12/2025","44.40","49.00","49.00","44.40","25.75M","-9.94%"
"29/12/2025","49.30","52.90","52.90","48.20","51.53M","-6.98%"
"24/12/2025","53.00","50.30","55.30","50.30","40.88M","5.37%"
"23/12/2025","50.30","45.00","50.35","45.00","45.81M","9.35%"
"22/12/2025","46.00","44.95","46.80","44.95","32.62M","2.34%"
"19/12/2025","44.95","42.65","46.90","42.65","52.15M","5.39%"
"18/12/2025","42.65","39.60","43.55","36.80","385.62M","7.70%"
"17/12/2025","39.60","36.00","39.60","36.00","108.15M","10.00%"
"16/12/2025","36.00","34.55","36.90","32.35","51.92M","4.20%"
"15/12/2025","34.55","31.45","34.55","30.15","28.59M","9.86%"
"12/12/2025","31.45","31.35","31.60","31.00","14.94M","0.32%"
"11/12/2025","31.35","31.70","31.35","31.05","20.20M","-1.10%"
"10/12/2025","31.70","31.65","31.70","31.55","5.47M","0.16%"
"09/12/2025","31.65","31.55","31.95","31.55","7.38M","0.32%"
"08/12/2025","31.55","31.50","31.55","31.50","6.38M","0.16%"
"05/12/2025","31.50","31.55","31.55","31.50","9.67M","-0.16%"
"04/12/2025","31.55","31.45","31.55","31.50","6.29M","0.32%"
"03/12/2025","31.45","31.05","31.45","31.45","2.71M","1.29%"
"02/12/2025","31.05","31.05","31.05","31.00","6.62M","0.00%"
"01/12/2025","31.05","31.05","31.05","30.85","3.71M","0.00%"
"28/11/2025","31.05","31.10","31.50","31.00","8.77M","-0.16%"
"27/11/2025","31.10","31.05","31.15","30.60","9.84M","0.16%"
"26/11/2025","31.05","31.00","31.10","31.00","62.78M","0.16%"
"25/11/2025","31.00","30.55","31.10","31.00","93.72M","1.47%"
"24/11/2025","30.55","30.60","30.60","30.10","5.93M","-0.16%"
"21/11/2025","30.60","30.10","30.60","30.15","3.89M","1.66%"
"20/11/2025","30.10","30.00","30.70","30.00","3.67M","0.33%"
"19/11/2025","30.00","30.15","30.05","30.00","2.26M","-0.50%"
"18/11/2025","30.15","30.00","30.15","30.00","5.46M","0.50%"
"17/11/2025","30.00","30.85","30.85","30.00","14.35M","-2.76%"
"14/11/2025","30.85","30.85","30.85","30.85","1.26M","0.00%"
"13/11/2025","30.85","31.00","31.55","30.85","6.49M","-0.48%"
"12/11/2025","31.00","31.55","31.70","31.00","4.78M","0.32%"
"11/11/2025","30.90","31.50","31.50","29.85","68.27M","-1.90%"
"10/11/2025","31.50","31.50","32.95","31.25","8.07M","0.00%"
"07/11/2025","31.50","31.50","31.65","31.10","8.65M","0.00%"
"06/11/2025","31.50","31.50","31.55","31.15","21.26M","0.00%"
"05/11/2025","31.50","31.50","31.50","31.50","7.55M","0.00%"
"04/11/2025","31.50","31.45","31.50","31.00","29.83M","0.16%"
