"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","349.90","349.90","349.90","349.90","761.33K","0.00%"
"30/12/2025","349.90","349.90","349.90","349.90","108.80K","0.00%"
"29/12/2025","349.90","318.60","349.90","335.00","1.27M","9.82%"
"24/12/2025","318.60","289.70","318.60","318.60","501.39K","9.98%"
"23/12/2025","289.70","289.70","289.70","289.70","424.41K","0.00%"
"22/12/2025","289.70","289.70","289.70","289.70","449.07K","0.00%"
"19/12/2025","289.70","289.70","289.70","289.70","894.73K","0.00%"
"18/12/2025","289.70","263.40","289.70","289.70","1.28M","9.98%"
"17/12/2025","263.40","263.40","263.40","263.40","512.50K","0.00%"
"16/12/2025","263.40","239.50","263.40","263.40","1.74M","9.98%"
"15/12/2025","239.50","217.80","239.50","239.50","337.56K","9.96%"
"12/12/2025","217.80","198.00","217.80","217.80","2.25M","10.00%"
"11/12/2025","198.00","198.00","198.00","198.00","1.16M","0.00%"
"10/12/2025","198.00","198.00","198.00","198.00","50.27K","0.00%"
"09/12/2025","198.00","198.00","198.00","198.00","2.10M","0.00%"
"08/12/2025","198.00","198.00","198.00","198.00","166.91K","0.00%"
"05/12/2025","198.00","198.00","198.00","198.00","912.19K","0.00%"
"04/12/2025","198.00","198.00","198.00","198.00","442.36K","0.00%"
"03/12/2025","198.00","180.00","198.00","198.00","2.83M","10.00%"
"02/12/2025","180.00","167.00","180.00","180.00","444.53K","7.78%"
"01/12/2025","167.00","167.00","167.00","167.00","39.47K","0.00%"
"28/11/2025","167.00","167.00","167.00","167.00","834.40K","0.00%"
"27/11/2025","167.00","167.00","167.00","167.00","42.14K","0.00%"
"26/11/2025","167.00","167.00","167.00","167.00","66.23K","0.00%"
"25/11/2025","167.00","167.00","167.00","167.00","187.42K","0.00%"
"24/11/2025","167.00","167.00","167.00","167.00","33.78K","0.00%"
"21/11/2025","167.00","167.00","167.00","167.00","71.51K","0.00%"
"20/11/2025","167.00","167.00","167.00","167.00","112.76K","0.00%"
"19/11/2025","167.00","170.00","167.00","153.00","385.72K","-1.76%"
"18/11/2025","170.00","170.00","170.00","170.00","46.90K","0.00%"
"17/11/2025","170.00","170.00","170.00","170.00","65.59K","0.00%"
"14/11/2025","170.00","166.00","170.00","170.00","7.19M","2.41%"
"13/11/2025","166.00","175.00","166.00","166.00","7.19M","-5.14%"
"12/11/2025","175.00","175.00","175.00","175.00","8.61M","2.94%"
"11/11/2025","170.00","176.70","170.00","170.00","8.64M","-3.79%"
"10/11/2025","176.70","176.70","176.70","176.70","1.15M","0.00%"
"07/11/2025","176.70","170.00","176.70","176.70","9.71M","3.94%"
"06/11/2025","170.00","176.00","170.00","168.00","9.45M","-3.41%"
"05/11/2025","176.00","176.00","176.00","176.00","22.63K","0.00%"
"04/11/2025","176.00","176.00","176.00","176.00","195.23K","0.00%"
"03/11/2025","176.00","172.95","176.00","176.00","7.89M","1.76%"
"31/10/2025","172.95","174.00","172.95","172.95","7.67M","-0.60%"
"30/10/2025","174.00","174.00","174.00","174.00","101.80K","0.00%"
"29/10/2025","174.00","183.75","174.00","174.00","1.17M","-5.31%"
"28/10/2025","183.75","183.75","183.75","183.75","340.45K","0.00%"
"27/10/2025","183.75","183.75","183.75","183.75","238.39K","0.00%"
"24/10/2025","183.75","183.75","183.75","183.75","145.99K","0.00%"
"23/10/2025","183.75","183.75","183.75","183.75","363.10K","0.00%"
"22/10/2025","183.75","183.75","183.75","183.75","225.72K","0.00%"
"21/10/2025","183.75","183.75","183.75","183.75","183.42K","0.00%"
"20/10/2025","183.75","183.75","183.75","183.75","233.73K","0.00%"
"17/10/2025","183.75","183.75","183.75","183.75","41.92K","0.00%"
"16/10/2025","183.75","183.75","183.75","183.75","150.44K","0.00%"
"15/10/2025","183.75","183.75","183.75","183.75","151.42K","0.00%"
"14/10/2025","183.75","183.75","183.75","183.75","176.62K","0.00%"
"13/10/2025","183.75","183.75","183.75","183.75","523.42K","0.00%"
"10/10/2025","183.75","183.75","183.75","183.75","278.99K","0.00%"
"09/10/2025","183.75","183.75","183.75","183.75","171.66K","0.00%"
"08/10/2025","183.75","183.75","183.75","183.75","38.72K","0.00%"
"07/10/2025","183.75","183.75","183.75","183.75","197.26K","0.00%"
"06/10/2025","183.75","183.75","183.75","183.75","53.63K","0.00%"
"03/10/2025","183.75","183.75","183.75","183.75","147.33K","0.00%"
"02/10/2025","183.75","183.90","183.75","182.75","616.04K","-0.08%"
"30/09/2025","183.90","183.90","183.90","183.90","58.86K","0.00%"
"29/09/2025","183.90","183.90","183.90","183.90","388.64K","0.00%"
"26/09/2025","183.90","183.90","183.90","183.90","506.82K","0.00%"
"25/09/2025","183.90","183.90","183.90","183.90","219.60K","0.00%"
"24/09/2025","183.90","183.90","183.90","183.90","592.13K","0.00%"
"23/09/2025","183.90","183.90","183.90","183.90","514.86K","0.00%"
"22/09/2025","183.90","183.90","183.90","183.90","254.17K","0.00%"
"19/09/2025","183.90","176.00","183.90","183.90","437.51K","4.49%"
"18/09/2025","176.00","160.00","176.00","176.00","412.92K","10.00%"
"17/09/2025","160.00","152.90","160.00","160.00","1.30M","4.64%"
"16/09/2025","152.90","143.00","152.90","144.90","3.81M","6.92%"
"15/09/2025","143.00","143.00","143.00","143.00","67.86K","0.00%"
"12/09/2025","143.00","143.00","143.00","143.00","94.65K","0.00%"
"11/09/2025","143.00","130.00","143.00","141.90","8.67M","10.00%"
"10/09/2025","130.00","130.00","130.00","130.00","392.71K","0.00%"
"09/09/2025","130.00","130.00","130.00","130.00","232.04K","0.00%"
"08/09/2025","130.00","130.00","130.00","130.00","436.39K","0.00%"
"04/09/2025","130.00","130.00","130.00","130.00","213.78K","0.00%"
"03/09/2025","130.00","130.00","130.00","130.00","358.75K","0.00%"
"02/09/2025","130.00","130.00","130.00","130.00","350.47K","0.00%"
"01/09/2025","130.00","130.00","130.00","130.00","44.96K","0.00%"
"29/08/2025","130.00","130.00","130.00","130.00","526.89K","0.00%"
"28/08/2025","130.00","130.00","130.00","130.00","298.43K","0.00%"
"27/08/2025","130.00","140.20","130.00","130.00","462.25K","-7.28%"
"26/08/2025","140.20","140.20","140.20","140.20","191.53K","0.00%"
"25/08/2025","140.20","140.20","140.20","140.20","105.31K","0.00%"
"22/08/2025","140.20","140.20","140.20","140.20","92.80K","0.00%"
"21/08/2025","140.20","140.20","140.20","140.20","348.24K","0.00%"
"20/08/2025","140.20","155.75","140.20","140.20","243.57K","-9.98%"
"19/08/2025","155.75","155.75","155.75","155.75","434.86K","0.00%"
"18/08/2025","155.75","155.75","155.75","155.75","213.21K","0.00%"
"15/08/2025","155.75","155.75","155.75","155.75","94.55K","0.00%"
"14/08/2025","155.75","155.75","155.75","155.75","183.63K","0.00%"
"13/08/2025","155.75","155.75","155.75","155.75","165.73K","0.00%"
"12/08/2025","155.75","155.75","155.75","155.75","151.42K","0.00%"
"11/08/2025","155.75","155.75","155.75","155.75","325.66K","0.00%"
"08/08/2025","155.75","141.60","155.75","155.75","1.48M","9.99%"
"07/08/2025","141.60","128.75","141.60","141.60","329.81K","9.98%"
"06/08/2025","128.75","117.05","128.75","128.75","191.23K","10.00%"
"05/08/2025","117.05","117.05","117.05","117.05","80.27K","0.00%"
"04/08/2025","117.05","117.05","117.05","117.05","76.46K","0.00%"
"01/08/2025","117.05","117.05","117.05","117.05","127.53K","0.00%"
"31/07/2025","117.05","106.45","117.05","117.05","13.30M","9.96%"
"30/07/2025","106.45","106.45","106.45","106.45","40.99K","0.00%"
"29/07/2025","106.45","106.45","106.45","106.45","42.21K","0.00%"
"28/07/2025","106.45","106.45","106.45","106.45","160.75K","0.00%"
"25/07/2025","106.45","106.45","106.45","106.45","55.55K","0.00%"
"24/07/2025","106.45","96.80","106.45","106.45","120.14K","9.97%"
"23/07/2025","96.80","96.80","96.80","96.80","134.72K","0.00%"
"22/07/2025","96.80","96.80","96.80","96.80","213.88K","0.00%"
