"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","100.00","96.00","100.00","97.10","3.67M","4.17%"
"30/12/2025","96.00","96.00","98.00","96.00","8.34M","0.00%"
"29/12/2025","96.00","96.00","96.00","96.00","233.47K","0.00%"
"24/12/2025","96.00","96.00","96.00","96.00","171.21K","0.00%"
"23/12/2025","96.00","95.20","97.00","96.00","2.43M","0.84%"
"22/12/2025","95.20","95.20","95.20","95.20","364.73K","0.00%"
"19/12/2025","95.20","95.20","95.20","95.20","389.28K","0.00%"
"18/12/2025","95.20","105.00","105.00","94.60","1.92M","-9.33%"
"17/12/2025","105.00","105.00","105.00","105.00","2.30M","0.00%"
"16/12/2025","105.00","105.00","105.00","105.00","90.52K","0.00%"
"15/12/2025","105.00","105.00","105.00","105.00","129.34K","0.00%"
"12/12/2025","105.00","105.00","105.00","105.00","791.30K","0.00%"
"11/12/2025","105.00","105.00","105.00","105.00","259.44K","0.00%"
"10/12/2025","105.00","105.00","105.00","105.00","285.99K","0.00%"
"09/12/2025","105.00","105.00","105.00","105.00","38.55M","0.00%"
"08/12/2025","105.00","105.00","105.00","105.00","187.52K","0.00%"
"05/12/2025","105.00","105.00","105.00","105.00","1.80M","0.00%"
"04/12/2025","105.00","105.00","105.00","105.00","73.86K","0.00%"
"03/12/2025","105.00","105.00","105.00","105.00","226.62K","0.00%"
"02/12/2025","105.00","105.00","105.05","105.00","6.47M","0.00%"
"01/12/2025","105.00","105.00","105.00","105.00","205.12K","0.00%"
"28/11/2025","105.00","105.00","105.00","105.00","393.68K","0.00%"
"27/11/2025","105.00","105.00","105.00","105.00","188.01K","0.00%"
"26/11/2025","105.00","105.00","105.00","105.00","31.45M","0.00%"
"25/11/2025","105.00","105.00","105.00","105.00","30.56M","0.00%"
"24/11/2025","105.00","105.00","105.00","104.00","6.49M","0.00%"
"21/11/2025","105.00","105.00","105.00","105.00","15.43M","0.00%"
"20/11/2025","105.00","105.00","105.00","105.00","99.43K","0.00%"
"19/11/2025","105.00","105.00","105.00","105.00","259.75K","0.00%"
"18/11/2025","105.00","105.00","105.00","105.00","86.25K","0.00%"
"17/11/2025","105.00","105.00","105.00","105.00","134.75K","0.00%"
"14/11/2025","105.00","110.00","110.00","105.00","40.06M","-4.55%"
