"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","14.00","14.65","14.60","14.00","3.15M","-4.44%"
"30/12/2025","14.65","15.70","15.50","14.65","4.75M","-6.69%"
"29/12/2025","15.70","14.50","15.95","15.50","8.35M","8.28%"
"24/12/2025","14.50","13.20","14.50","13.20","8.43M","9.85%"
"23/12/2025","13.20","12.50","13.20","13.05","2.17M","5.60%"
"22/12/2025","12.50","12.00","12.50","12.50","863.31K","4.17%"
"19/12/2025","12.00","12.00","12.00","11.95","5.99M","0.00%"
"18/12/2025","12.00","11.80","12.00","11.85","6.72M","1.69%"
"17/12/2025","11.80","11.80","11.80","11.80","425.21K","0.00%"
"16/12/2025","11.80","11.80","11.80","11.80","1.05M","0.00%"
"15/12/2025","11.80","11.95","11.80","11.80","1.15M","-1.26%"
"12/12/2025","11.95","11.40","11.95","11.40","6.25M","4.82%"
"11/12/2025","11.40","11.40","11.40","11.40","354.17K","0.00%"
"10/12/2025","11.40","11.40","11.40","11.40","510.07K","0.00%"
"09/12/2025","11.40","11.40","11.40","11.40","2.88M","0.00%"
"08/12/2025","11.40","11.35","11.50","11.40","3.13M","0.44%"
"05/12/2025","11.35","11.35","12.00","11.35","2.11M","0.00%"
"04/12/2025","11.35","11.35","11.40","11.35","2.16M","0.00%"
"03/12/2025","11.35","11.35","11.35","11.35","541.37K","0.00%"
"02/12/2025","11.35","10.35","11.35","11.35","426.81K","9.66%"
"01/12/2025","10.35","11.50","12.00","10.35","2.79M","-10.00%"
"28/11/2025","11.50","11.00","11.50","11.50","792.01K","4.55%"
"27/11/2025","11.00","11.00","11.00","11.00","972.20K","0.00%"
"26/11/2025","11.00","12.00","11.10","11.00","1.47M","-8.33%"
"25/11/2025","12.00","12.00","12.00","12.00","564.56K","0.00%"
"24/11/2025","12.00","12.00","12.00","12.00","352.98K","0.00%"
"21/11/2025","12.00","12.00","12.00","11.95","2.24M","0.00%"
"20/11/2025","12.00","12.10","12.00","12.00","934.95K","-0.83%"
"19/11/2025","12.10","11.95","12.10","12.10","940.83K","1.26%"
"18/11/2025","11.95","11.95","11.95","11.95","184.07K","0.00%"
"17/11/2025","11.95","11.95","11.95","11.95","414.83K","0.00%"
"14/11/2025","11.95","11.95","11.95","11.95","550.99K","0.00%"
"13/11/2025","11.95","11.05","11.95","11.05","3.15M","9.63%"
"12/11/2025","10.90","9.95","10.90","9.20","3.64M","9.55%"
"11/11/2025","9.95","11.00","10.50","9.90","1.81M","-9.55%"
"10/11/2025","11.00","12.00","11.00","11.00","1.58M","-8.33%"
"07/11/2025","12.00","12.00","12.00","12.00","2.67M","0.00%"
"06/11/2025","12.00","12.00","12.60","11.00","5.13M","0.00%"
"05/11/2025","12.00","13.05","12.55","12.00","1.78M","-8.05%"
"04/11/2025","13.05","13.40","13.30","13.05","2.36M","-2.61%"
"03/11/2025","13.40","12.60","13.40","13.05","2.44M","6.35%"
"31/10/2025","12.60","12.60","12.60","12.60","563.74K","0.00%"
"30/10/2025","12.60","14.00","12.60","12.60","3.86M","-10.00%"
"29/10/2025","14.00","14.00","14.25","14.00","5.11M","0.00%"
"28/10/2025","14.00","14.50","14.45","13.25","5.18M","-3.45%"
"27/10/2025","14.50","14.45","14.50","14.30","4.60M","0.35%"
"24/10/2025","14.45","14.45","14.45","14.45","1.41M","0.00%"
"23/10/2025","14.45","14.50","14.45","14.45","924.15K","-0.34%"
"22/10/2025","14.50","14.50","14.50","14.50","4.03M","0.00%"
"21/10/2025","14.50","14.50","14.50","14.35","1.95M","0.00%"
"20/10/2025","14.50","14.50","14.50","14.50","430.19K","0.00%"
"17/10/2025","14.50","15.00","14.50","14.50","463.92K","-3.33%"
"16/10/2025","15.00","14.75","15.00","14.70","4.46M","1.69%"
"15/10/2025","14.75","14.50","14.75","14.50","1.45M","1.72%"
"14/10/2025","14.50","14.00","14.55","14.50","7.05M","3.57%"
"13/10/2025","14.00","14.00","14.00","14.00","3.41M","0.00%"
"10/10/2025","14.00","14.00","14.00","14.00","2.59M","0.00%"
"09/10/2025","14.00","13.70","14.00","13.85","2.20M","2.19%"
"08/10/2025","13.70","13.50","13.70","13.70","1.94M","1.48%"
"07/10/2025","13.50","13.50","13.50","13.00","2.24M","0.00%"
"06/10/2025","13.50","13.50","13.50","13.20","6.80M","0.00%"
"03/10/2025","13.50","13.50","13.50","13.50","1.09M","0.00%"
"02/10/2025","13.50","13.50","13.50","13.50","770.43K","0.00%"
"30/09/2025","13.50","13.95","13.50","13.50","4.52M","-3.23%"
"29/09/2025","13.95","13.65","13.95","13.95","2.54M","2.20%"
"26/09/2025","13.65","13.50","13.65","13.55","2.92M","1.11%"
"25/09/2025","13.50","13.35","13.55","13.50","1.81M","1.12%"
"24/09/2025","13.35","13.10","13.35","13.35","2.99M","1.91%"
"23/09/2025","13.10","12.80","13.10","13.00","2.31M","2.34%"
"22/09/2025","12.80","12.40","12.80","12.70","2.77M","3.23%"
"19/09/2025","12.40","12.50","12.40","12.25","3.52M","-0.80%"
"18/09/2025","12.50","12.30","12.50","12.50","748.44K","1.63%"
