"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","75.30","75.30","75.30","75.10","916.79K","0.00%"
"30/12/2025","75.30","79.00","75.30","75.30","1.88M","-4.68%"
"29/12/2025","79.00","79.35","79.00","79.00","10.46M","-0.44%"
"24/12/2025","79.35","78.35","79.35","79.00","12.05M","1.28%"
"23/12/2025","78.35","79.50","78.35","78.35","6.34M","-1.45%"
"22/12/2025","79.50","79.50","79.50","79.50","1.65M","0.00%"
"19/12/2025","79.50","76.70","79.50","79.00","1.66M","3.65%"
"18/12/2025","76.70","76.70","76.70","76.70","1.29M","0.00%"
"17/12/2025","76.70","76.70","76.70","76.70","921.29K","0.00%"
"16/12/2025","76.70","76.75","77.00","76.70","3.99M","-0.07%"
"15/12/2025","76.75","82.40","76.75","76.75","670.40K","-6.86%"
"12/12/2025","82.40","79.60","82.40","79.60","6.02M","3.52%"
"11/12/2025","79.60","74.00","79.60","75.00","4.01M","7.57%"
"10/12/2025","74.00","75.00","74.00","74.00","1.09M","-1.33%"
"09/12/2025","75.00","75.00","75.40","75.00","1.62M","0.00%"
"08/12/2025","75.00","75.00","75.00","75.00","3.12M","0.00%"
"05/12/2025","75.00","70.00","75.00","75.00","1.45M","7.14%"
"04/12/2025","70.00","68.10","70.00","70.00","2.10M","2.79%"
"03/12/2025","68.10","67.05","68.10","67.50","2.86M","1.57%"
"02/12/2025","67.05","66.75","67.05","67.05","2.98M","0.45%"
"01/12/2025","66.75","66.75","66.75","66.75","392.58K","0.00%"
"28/11/2025","66.75","66.60","66.75","66.75","8.56M","0.23%"
"27/11/2025","66.60","66.00","66.60","66.60","1.09M","0.91%"
"26/11/2025","66.00","68.50","66.00","66.00","37.99M","-3.65%"
"25/11/2025","68.50","68.50","68.50","68.50","1.30M","0.00%"
"24/11/2025","68.50","68.50","68.50","68.50","837.11K","0.00%"
"21/11/2025","68.50","68.50","68.50","68.50","670.00K","0.00%"
"20/11/2025","68.50","70.00","68.50","68.50","752.79K","-2.14%"
"19/11/2025","70.00","70.00","70.00","70.00","918.32K","0.00%"
"18/11/2025","70.00","70.00","70.00","70.00","2.15M","0.00%"
"17/11/2025","70.00","70.00","70.00","70.00","1.85M","0.00%"
"14/11/2025","70.00","69.95","70.05","70.00","1.35M","0.07%"
"13/11/2025","69.95","66.00","69.95","69.80","951.20K","5.98%"
"12/11/2025","66.00","66.00","66.00","66.00","1.75M","10.00%"
"11/11/2025","60.00","65.20","65.00","60.00","23.88M","-7.98%"
"10/11/2025","65.20","67.00","65.20","65.20","1.40M","-2.69%"
"07/11/2025","67.00","70.00","67.00","67.00","1.32M","-4.29%"
"06/11/2025","70.00","70.00","70.00","70.00","386.18K","0.00%"
"05/11/2025","70.00","70.00","70.00","70.00","1.11M","0.00%"
"04/11/2025","70.00","71.50","70.00","70.00","1.95M","-2.10%"
"03/11/2025","71.50","71.50","71.50","71.50","897.93K","0.00%"
"31/10/2025","71.50","71.20","71.50","71.50","14.97M","0.42%"
"30/10/2025","71.20","71.00","71.20","71.05","1.11M","0.28%"
"29/10/2025","71.00","71.00","71.00","71.00","682.78K","0.00%"
"28/10/2025","71.00","71.00","71.05","71.00","3.92M","0.00%"
"27/10/2025","71.00","74.50","71.00","70.00","3.65M","-4.70%"
"24/10/2025","74.50","70.00","74.50","69.80","5.83M","6.43%"
"23/10/2025","70.00","75.95","70.00","69.00","13.90M","-7.83%"
"22/10/2025","75.95","76.05","76.05","75.50","4.83M","-0.13%"
