"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","1,095.00","1,095.00","1,095.00","1,095.00","101.63K","0.00%"
"30/12/2025","1,095.00","1,095.00","1,095.00","1,095.00","102.98K","0.00%"
"29/12/2025","1,095.00","1,095.00","1,095.00","1,095.00","191.92K","0.00%"
"24/12/2025","1,095.00","1,109.00","1,095.00","1,095.00","268.59K","-1.26%"
"23/12/2025","1,109.00","1,109.00","1,109.00","1,109.00","128.17K","0.00%"
"22/12/2025","1,109.00","1,109.00","1,109.00","1,109.00","297.86K","0.00%"
"19/12/2025","1,109.00","1,109.00","1,109.00","1,109.00","58.02K","0.00%"
"18/12/2025","1,109.00","1,109.00","1,109.00","1,109.00","76.85K","0.00%"
"17/12/2025","1,109.00","1,038.00","1,109.00","1,109.00","342.95K","6.84%"
"16/12/2025","1,038.00","1,038.00","1,038.00","1,038.00","75.73K","0.00%"
"15/12/2025","1,038.00","1,038.00","1,038.00","1,038.00","447.80K","0.00%"
"12/12/2025","1,038.00","1,038.00","1,038.00","1,038.00","177.42K","0.00%"
"11/12/2025","1,038.00","1,038.00","1,038.00","1,038.00","103.20K","0.00%"
"10/12/2025","1,038.00","1,038.00","1,038.00","1,038.00","95.23K","0.00%"
"09/12/2025","1,038.00","1,110.00","1,038.00","1,038.00","344.76K","-6.49%"
"08/12/2025","1,110.00","1,110.00","1,110.00","1,110.00","294.06K","0.00%"
"05/12/2025","1,110.00","1,110.00","1,110.00","1,110.00","301.74K","0.00%"
"04/12/2025","1,110.00","1,110.00","1,110.00","1,110.00","262.98K","0.00%"
"03/12/2025","1,110.00","1,110.00","1,110.00","1,110.00","101.38K","0.00%"
"02/12/2025","1,110.00","1,110.00","1,110.00","1,110.00","136.97K","0.00%"
"01/12/2025","1,110.00","1,110.00","1,110.00","1,110.00","215.76K","0.00%"
"28/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","257.40K","0.00%"
"27/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","216.67K","0.00%"
"26/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","164.04K","0.00%"
"25/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","231.18K","0.00%"
"24/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","245.07K","0.00%"
"21/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","65.76K","0.00%"
"20/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","110.85K","0.00%"
"19/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","104.56K","0.00%"
"18/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","126.93K","0.00%"
"17/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","182.16K","0.00%"
"14/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","417.82K","0.00%"
"13/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","115.52K","0.00%"
"12/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","287.94K","0.00%"
"11/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","94.55K","0.00%"
"10/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","127.60K","0.00%"
"07/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","90.66K","0.00%"
"06/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","196.92K","0.00%"
"05/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","152.61K","0.00%"
"04/11/2025","1,110.00","1,110.00","1,110.00","1,110.00","103.02K","0.00%"
"03/11/2025","1,110.00","1,070.00","1,110.00","1,110.00","2.14M","2.78%"
"31/10/2025","1,080.00","1,080.00","1,080.00","1,080.00","521.05K","0.00%"
"30/10/2025","1,080.00","1,080.20","1,080.00","1,080.00","565.43K","-0.02%"
"29/10/2025","1,080.20","1,050.00","1,080.20","1,050.00","670.41K","5.90%"
"28/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","402.36K","0.00%"
"27/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","234.46K","0.00%"
"24/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","211.74K","0.00%"
"23/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","148.74K","0.00%"
"22/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","130.71K","0.00%"
"21/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","250.14K","0.00%"
"20/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","593.68K","0.00%"
"17/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","63.49K","0.00%"
"16/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","298.25K","0.00%"
"15/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","84.56K","0.00%"
"14/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","214.11K","0.00%"
"13/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","85.82K","0.00%"
"10/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","36.43K","0.00%"
"09/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","51.64K","0.00%"
"08/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","84.23K","0.00%"
"07/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","147.21K","0.00%"
"06/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","119.19K","0.00%"
"03/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","458.84K","0.00%"
"02/10/2025","1,020.00","1,020.00","1,020.00","1,020.00","163.17K","0.00%"
"30/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","190.36K","0.00%"
"29/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","115.73K","0.00%"
"26/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","685.67K","0.00%"
"25/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","90.52K","0.00%"
"24/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","96.54K","0.00%"
"23/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","78.45K","0.00%"
"22/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","77.69K","0.00%"
"19/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","47.38K","0.00%"
"18/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","65.99K","0.00%"
"17/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","41.94K","0.00%"
"16/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","111.80K","0.00%"
"15/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","79.90K","0.00%"
"12/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","175.50K","0.00%"
"11/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","48.82K","0.00%"
"10/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","157.97K","0.00%"
"09/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","67.66K","0.00%"
"08/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","81.26K","0.00%"
"04/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","83.65K","0.00%"
"03/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","136.17K","0.00%"
"02/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","89.84K","0.00%"
"01/09/2025","1,020.00","1,020.00","1,020.00","1,020.00","59.99K","0.00%"
"29/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","55.45K","0.00%"
"28/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","110.52K","0.00%"
"27/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","542.10K","0.00%"
"26/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","169.75K","0.00%"
"25/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","155.31K","0.00%"
"22/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","133.95K","0.00%"
"21/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","296.47K","0.00%"
"20/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","160.40K","0.00%"
"19/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","97.02K","0.00%"
"18/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","48.59K","0.00%"
"15/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","98.75K","0.00%"
"14/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","127.00K","0.00%"
"13/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","176.38K","0.00%"
"12/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","71.70K","0.00%"
"11/08/2025","1,020.00","1,020.00","1,020.00","1,020.00","478.26K","-2.86%"
"08/08/2025","1,050.00","1,050.00","1,050.00","1,050.00","444.53K","0.00%"
"07/08/2025","1,050.00","1,050.00","1,050.00","1,050.00","1.39M","0.00%"
"06/08/2025","1,050.00","1,050.00","1,120.00","1,050.00","1.19M","0.00%"
"05/08/2025","1,050.00","1,050.00","1,050.00","1,050.00","416.51K","0.00%"
"04/08/2025","1,050.00","1,050.00","1,050.00","1,050.00","543.44K","0.00%"
"01/08/2025","1,050.00","1,050.00","1,050.00","1,050.00","134.22K","0.00%"
"31/07/2025","1,050.00","1,050.00","1,050.00","1,050.00","625.85K","0.00%"
"30/07/2025","1,050.00","1,050.00","1,050.00","1,050.00","385.41K","0.00%"
"29/07/2025","1,050.00","1,000.00","1,050.00","1,000.00","2.97M","5.00%"
"28/07/2025","1,000.00","998.00","1,000.00","1,000.00","1.59M","0.20%"
"25/07/2025","998.00","950.00","998.00","998.00","2.58M","5.05%"
"24/07/2025","950.00","930.00","950.00","950.00","843.59K","2.15%"
"23/07/2025","930.00","930.00","930.00","930.00","352.23K","0.00%"
"22/07/2025","930.00","930.00","930.00","930.00","158.65K","0.00%"
"21/07/2025","930.00","930.00","930.00","930.00","261.13K","0.00%"
"18/07/2025","930.00","930.00","930.00","930.00","308.05K","0.00%"
"17/07/2025","930.00","930.00","930.00","930.00","964.11K","0.00%"
"16/07/2025","930.00","890.00","930.00","930.00","1.79M","4.49%"
"14/07/2025","890.00","835.00","890.00","890.00","1.40M","6.59%"
"11/07/2025","835.00","835.00","835.00","835.00","1.06M","0.00%"
"10/07/2025","835.00","800.00","835.00","835.00","273.63K","4.38%"
"09/07/2025","800.00","800.00","800.00","800.00","130.17K","0.00%"
"08/07/2025","800.00","790.00","800.00","800.00","713.28K","1.27%"
"07/07/2025","790.00","790.00","790.00","790.00","70.63K","0.00%"
"04/07/2025","790.00","790.00","790.00","790.00","124.22K","0.00%"
"03/07/2025","790.00","790.00","790.00","790.00","122.20K","0.00%"
"02/07/2025","790.00","790.00","790.00","790.00","190.70K","0.00%"
"01/07/2025","790.00","790.00","790.00","790.00","98.83K","0.00%"
"30/06/2025","790.00","790.00","790.00","790.00","309.69K","0.00%"
"27/06/2025","790.00","790.00","790.00","790.00","336.16K","0.00%"
"26/06/2025","790.00","790.00","790.00","790.00","369.31K","0.00%"
"25/06/2025","790.00","748.00","790.00","785.00","1.50M","5.61%"
"24/06/2025","748.00","680.00","748.00","700.00","4.53M","10.00%"
"23/06/2025","680.00","680.00","680.00","680.00","5.05M","0.00%"
"20/06/2025","680.00","650.00","680.00","660.00","7.84M","4.62%"
"19/06/2025","650.00","650.00","650.00","650.00","293.40K","0.00%"
"18/06/2025","650.00","650.00","650.00","650.00","123.23K","0.00%"
"17/06/2025","650.00","650.00","650.00","650.00","238.14K","0.00%"
