"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","78.19K","0.00%"
"30/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","82.41K","0.00%"
"29/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","267.88K","0.00%"
"24/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","51.76K","0.00%"
"23/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","33.74K","0.00%"
"22/12/2025","1,450.00","1,430.00","1,450.00","1,450.00","279.65K","1.40%"
"19/12/2025","1,430.00","1,450.00","1,430.00","1,425.00","606.39K","-1.38%"
"18/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","125.50K","0.00%"
"17/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","196.85K","0.00%"
"16/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","167.67K","0.00%"
"15/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","236.59K","0.00%"
"12/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","40.55K","0.00%"
"11/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","52.30K","0.00%"
"10/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","266.68K","0.00%"
"09/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","162.90K","0.00%"
"08/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","127.42K","0.00%"
"05/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","249.68K","0.00%"
"04/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","114.52K","0.00%"
"03/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","225.34K","0.00%"
"02/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","129.16K","0.00%"
"01/12/2025","1,450.00","1,450.00","1,450.00","1,450.00","111.08K","0.00%"
"28/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","369.61K","0.00%"
"27/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","269.11K","0.00%"
"26/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","160.10K","0.00%"
"25/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","115.88K","0.00%"
"24/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","333.92K","0.00%"
"21/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","144.81K","0.00%"
"20/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","109.54K","0.00%"
"19/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","177.27K","0.00%"
"18/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","262.18K","0.00%"
"17/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","866.63K","0.00%"
"14/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","411.97K","0.00%"
"13/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","209.69K","0.00%"
"12/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","116.81K","0.00%"
"11/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","786.04K","0.00%"
"10/11/2025","1,450.00","1,450.00","1,450.00","1,450.00","237.61K","-2.03%"
"07/11/2025","1,480.00","1,480.00","1,480.00","1,480.00","115.71K","0.00%"
"06/11/2025","1,480.00","1,480.00","1,480.00","1,480.00","79.32K","0.00%"
"05/11/2025","1,480.00","1,480.00","1,480.00","1,480.00","276.22K","0.00%"
"04/11/2025","1,480.00","1,480.00","1,480.00","1,480.00","235.55K","0.00%"
"03/11/2025","1,480.00","1,480.00","1,480.00","1,480.00","172.02K","0.00%"
"31/10/2025","1,480.00","1,480.00","1,480.00","1,480.00","66.35K","0.00%"
"30/10/2025","1,480.00","1,480.00","1,480.00","1,480.00","128.95K","0.00%"
"29/10/2025","1,480.00","1,480.00","1,480.00","1,480.00","86.16K","0.00%"
"28/10/2025","1,480.00","1,480.00","1,480.00","1,480.00","89.37K","0.00%"
"27/10/2025","1,480.00","1,480.00","1,480.00","1,480.00","1.52M","0.00%"
"24/10/2025","1,480.00","1,480.00","1,480.00","1,480.00","223.47K","0.00%"
"23/10/2025","1,480.00","1,479.90","1,480.00","1,480.00","1.18M","0.01%"
"22/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","204.03K","0.00%"
"21/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","536.20K","0.00%"
"20/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","230.11K","0.00%"
"17/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","51.88K","0.00%"
"16/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","110.30K","0.00%"
"15/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","57.84K","0.00%"
"14/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","87.05K","0.58%"
"13/10/2025","1,471.34","1,471.34","1,471.34","1,471.34","70.14K","0.00%"
"10/10/2025","1,471.34","1,471.34","1,471.34","1,471.34","44.59K","0.00%"
"09/10/2025","1,471.34","1,471.34","1,471.34","1,471.34","49.09K","0.00%"
"08/10/2025","1,471.34","1,471.34","1,471.34","1,471.34","144.14K","0.00%"
"07/10/2025","1,471.34","1,471.34","1,471.34","1,471.34","67.22K","-0.58%"
"06/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","144.97K","0.00%"
"03/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","295.38K","0.00%"
"02/10/2025","1,479.90","1,479.90","1,479.90","1,479.90","98.60K","0.00%"
"30/09/2025","1,479.90","1,479.90","1,479.90","1,479.90","111.94K","0.00%"
"29/09/2025","1,479.90","1,479.90","1,479.90","1,479.90","69.08K","0.00%"
"26/09/2025","1,479.90","1,479.90","1,479.90","1,479.90","47.25K","0.00%"
"25/09/2025","1,479.90","1,480.00","1,479.90","1,479.90","1.66M","-0.01%"
"24/09/2025","1,480.00","1,480.00","1,480.00","1,480.00","443.96K","0.00%"
