"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","1.23M","0.00%"
"30/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","35.60K","0.00%"
"29/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","22.52K","0.00%"
"24/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","125.51K","0.00%"
"23/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","11.46K","0.00%"
"22/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","83.51K","0.00%"
"19/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","18.03K","0.00%"
"18/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","9.45K","0.00%"
"17/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","10.26K","0.00%"
"16/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","19.66K","0.00%"
"15/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","5.97K","0.00%"
"12/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","47.30K","0.00%"
"11/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","19.19K","0.00%"
"10/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","12.68K","0.00%"
"09/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","6.94K","0.00%"
"08/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","14.78K","0.00%"
"05/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","63.46K","0.00%"
"04/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","45.24K","0.00%"
"03/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","181.33K","0.00%"
"02/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","4.98K","0.00%"
"01/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","87.62K","0.00%"
"28/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","67.92K","0.00%"
"27/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","108.72K","0.00%"
"26/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","168.52K","0.00%"
"25/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","4.74K","0.00%"
"24/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","4.83K","0.00%"
"21/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","7.30K","0.00%"
"20/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","14.85K","0.00%"
"19/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","7.99K","0.00%"
"18/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","105.60K","0.00%"
"17/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","103.81K","0.00%"
"14/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","18.34K","-1.16%"
"13/11/2025","5,877.17","5,877.17","5,877.17","5,877.17","93.07K","-0.68%"
"12/11/2025","5,917.20","5,917.20","5,917.20","5,917.20","58.92K","0.68%"
"11/11/2025","5,877.17","5,877.17","5,877.17","5,877.17","7.68K","0.00%"
"10/11/2025","5,877.17","5,877.17","5,877.17","5,877.17","5.97K","0.00%"
"07/11/2025","5,877.17","5,877.17","5,877.17","5,877.17","131.00K","-0.68%"
"06/11/2025","5,917.20","5,917.20","5,917.20","5,917.20","46.85K","0.00%"
"05/11/2025","5,917.20","5,917.20","5,917.20","5,917.20","29.32K","0.00%"
"04/11/2025","5,917.20","5,917.20","5,917.20","5,917.20","87.31K","0.00%"
"03/11/2025","5,917.20","5,917.20","5,917.20","5,917.20","61.09K","0.00%"
"31/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","25.17K","0.00%"
"30/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","112.70K","0.00%"
"29/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","5.13K","0.00%"
"28/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","166.80K","0.00%"
"27/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","252.81K","0.00%"
"24/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","39.71K","0.00%"
"23/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","399.06K","0.00%"
"22/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","160.32K","0.00%"
"21/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","154.45K","0.00%"
"20/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","108.75K","0.00%"
"17/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","32.27K","0.00%"
"16/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","41.54K","0.00%"
"15/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","3.26K","0.00%"
"14/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","61.35K","0.00%"
"13/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","27.98K","0.00%"
"10/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","214.91K","0.00%"
"09/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","7.02K","0.00%"
"08/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","22.14K","0.00%"
"07/10/2025","5,917.20","5,917.20","5,917.20","5,917.20","14.25K","0.00%"
"06/10/2025","5,917.20","5,379.30","5,917.20","5,917.20","278.03K","10.00%"
"03/10/2025","5,379.30","5,379.30","5,379.30","5,379.30","11.53K","0.00%"
"02/10/2025","5,379.30","5,379.30","5,379.30","5,379.30","7.73K","0.00%"
"30/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","34.75K","0.00%"
"29/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","17.07K","0.00%"
"26/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","2.65K","0.00%"
"25/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","3.79K","0.00%"
"24/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","11.63K","0.00%"
"23/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","21.10K","0.00%"
"22/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","12.14K","0.00%"
"19/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","152.31K","0.00%"
"18/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","32.92K","0.00%"
"17/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","3.45K","0.00%"
"16/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","39.98K","0.00%"
"15/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","35.98K","0.00%"
"12/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","6.34K","0.00%"
"11/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","3.26K","0.00%"
"10/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","22.59K","0.00%"
"09/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","88.27K","0.00%"
"08/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","6.64K","0.00%"
"04/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","19.76K","0.00%"
"03/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","20.37K","0.00%"
"02/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","26.76K","0.00%"
"01/09/2025","5,379.30","5,379.30","5,379.30","5,379.30","147.46K","0.00%"
"29/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","29.89K","0.00%"
"28/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","51.02K","0.00%"
"27/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","489.84K","0.00%"
"26/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","12.78K","0.00%"
"25/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","4.63K","0.00%"
"22/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","25.88K","0.00%"
"21/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","40.22K","0.00%"
"20/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","18.63K","0.00%"
"19/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","96.59K","0.00%"
"18/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","7.07K","0.00%"
"15/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","76.53K","0.00%"
"14/08/2025","5,379.30","5,379.30","5,379.30","5,379.30","98.37K","-1.30%"
"13/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","147.52K","0.00%"
"12/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","14.64K","0.00%"
"11/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","17.69K","0.00%"
"08/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","257.89K","0.00%"
"07/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","8.04K","0.00%"
"06/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","42.08K","0.00%"
"05/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","10.94K","0.00%"
"04/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","61.67K","0.00%"
"01/08/2025","5,450.00","5,450.00","5,450.00","5,450.00","35.51K","0.00%"
"31/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","80.24K","0.00%"
"30/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","185.37K","0.00%"
"29/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","79.31K","0.00%"
"28/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","33.06K","0.00%"
"25/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","337.85K","0.00%"
"24/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","93.09K","0.00%"
"23/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","10.07K","0.00%"
"22/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","76.53K","0.00%"
"21/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","30.63K","0.00%"
"18/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","7.24K","0.00%"
"17/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","8.66K","0.00%"
"16/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","30.31K","0.00%"
"14/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","1.09M","0.00%"
"11/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","21.87K","0.00%"
"10/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","17.30K","0.00%"
"09/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","14.79K","0.00%"
"08/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","4.01K","0.00%"
"07/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","3.51K","0.00%"
"04/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","1.44K","0.00%"
"03/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","2.61M","0.00%"
"02/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","10.54K","0.00%"
"01/07/2025","5,450.00","5,450.00","5,450.00","5,450.00","114.86K","0.00%"
"30/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","19.53K","0.00%"
"27/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","81.76K","0.00%"
"26/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","61.53K","0.00%"
"25/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","44.67K","0.00%"
"24/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","227.34K","0.00%"
"23/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","33.48K","0.00%"
"20/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","53.08K","0.00%"
"19/06/2025","5,450.00","5,450.00","5,450.00","5,450.00","24.63K","0.00%"
"18/06/2025","5,450.00","4,964.40","5,450.00","5,450.00","372.81K","9.78%"
"17/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","16.87K","0.00%"
"16/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","185.29K","0.00%"
"13/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","43.22K","0.00%"
"11/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","337.38K","0.00%"
"10/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","49.88K","0.00%"
"06/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","","0.00%"
"05/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","48.38K","0.00%"
"04/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","41.96K","0.00%"
"03/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","87.36K","0.00%"
"02/06/2025","4,964.40","4,964.40","4,964.40","4,964.40","15.41K","0.00%"
"30/05/2025","4,964.40","4,964.40","4,964.40","4,964.40","130.00K","0.00%"
"29/05/2025","4,964.40","5,516.00","4,964.40","4,964.40","112.25K","-10.00%"
"28/05/2025","5,516.00","5,516.00","5,516.00","5,516.00","15.60K","0.00%"
"27/05/2025","5,516.00","5,516.00","5,516.00","5,516.00","4.07K","0.00%"
"26/05/2025","5,516.00","5,516.00","5,516.00","5,516.00","5.92K","-1.30%"
"23/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","8.08K","0.00%"
"22/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","6.27K","0.00%"
"21/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","4.96K","0.00%"
"20/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","2.19K","0.00%"
"19/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","25.53K","0.00%"
"16/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","34.86K","0.00%"
"15/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","5.45K","0.00%"
"14/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","3.54K","0.00%"
"13/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","3.24K","0.00%"
"12/05/2025","5,588.90","5,588.90","5,588.90","5,588.90","8.54K","-1.03%"
"09/05/2025","5,646.88","5,646.88","5,646.88","5,646.88","12.65K","0.00%"
"08/05/2025","5,646.88","5,646.88","5,646.88","5,646.88","8.88K","0.00%"
"07/05/2025","5,646.88","5,646.88","5,646.88","5,646.88","26.31K","0.00%"
"06/05/2025","5,646.88","5,646.88","5,646.88","5,646.88","114.53K","0.00%"
"05/05/2025","5,646.88","5,646.88","5,646.88","5,646.88","34.99K","-0.93%"
"02/05/2025","5,700.00","5,700.00","5,700.00","5,700.00","32.96K","0.00%"
"30/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","8.47K","0.00%"
"29/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","9.65K","0.00%"
"28/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","4.84K","0.00%"
"25/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.86K","0.00%"
"24/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","0.87K","0.00%"
"23/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.95K","0.00%"
"22/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.03K","0.00%"
"17/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.55K","0.00%"
"16/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","0.43K","0.00%"
"15/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.63K","0.00%"
"14/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.47K","0.00%"
"11/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","61.48K","0.00%"
"10/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.22K","0.00%"
"09/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","0.57K","0.00%"
"08/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.25K","0.00%"
"07/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.97K","0.00%"
"04/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.23K","0.00%"
"03/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","0.74K","0.00%"
"02/04/2025","5,700.00","5,700.00","5,700.00","5,700.00","12.49K","0.00%"
"28/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.12K","0.00%"
"27/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.99K","0.00%"
"26/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","687.29K","0.00%"
"25/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","1.58K","0.00%"
"24/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","0.55K","0.00%"
"21/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","4.89K","0.00%"
"20/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","54.10K","0.00%"
"19/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","7.07K","0.00%"
"18/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","7.34K","0.00%"
"17/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","9.61K","0.00%"
"14/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","2.45K","0.00%"
"13/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","13.17K","0.00%"
"12/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","3.55K","0.00%"
"11/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","79.77K","0.00%"
"10/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","4.44K","0.00%"
"07/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","4.50K","0.00%"
"06/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","17.11K","0.00%"
"05/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","13.08K","0.00%"
"04/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","2.05K","0.00%"
"03/03/2025","5,700.00","5,700.00","5,700.00","5,700.00","2.42K","0.00%"
"28/02/2025","5,700.00","5,700.00","5,700.00","5,700.00","12.36K","0.00%"
