"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","7.050","7.000","7.050","7.050","2.05M","0.71%"
"30/12/2025","7.000","7.000","7.000","6.850","5.98M","0.00%"
"29/12/2025","7.000","7.100","7.200","6.800","49.22M","-1.41%"
"24/12/2025","7.100","7.150","7.150","7.000","127.08M","-0.70%"
"23/12/2025","7.150","7.300","7.150","6.900","4.73M","-2.05%"
"22/12/2025","7.300","7.100","7.300","7.000","3.38M","2.82%"
"19/12/2025","7.100","7.000","7.100","7.000","278.72M","2.90%"
"18/12/2025","6.900","7.350","7.150","6.900","5.09M","-6.12%"
"17/12/2025","7.350","7.100","7.350","6.850","87.31M","3.52%"
"16/12/2025","7.100","7.050","7.100","6.700","85.49M","0.71%"
"15/12/2025","7.050","7.050","7.100","7.000","3.65M","0.00%"
"12/12/2025","7.050","7.050","7.050","7.050","1.19M","0.00%"
"11/12/2025","7.050","7.000","7.300","7.050","3.25M","0.71%"
"10/12/2025","7.000","7.000","7.100","7.000","3.12M","0.00%"
"09/12/2025","7.000","7.250","7.350","7.000","6.08M","-3.45%"
"08/12/2025","7.250","7.100","7.350","7.200","2.91M","2.11%"
"05/12/2025","7.100","7.100","7.100","7.000","3.53M","0.00%"
"04/12/2025","7.100","7.350","7.100","7.050","2.20M","-3.40%"
"03/12/2025","7.350","7.100","7.450","7.000","25.08M","3.52%"
"02/12/2025","7.100","7.100","7.100","7.100","924.42K","0.00%"
"01/12/2025","7.100","7.150","7.150","7.050","8.28M","-0.70%"
"28/11/2025","7.150","7.150","7.200","7.150","2.89M","0.00%"
"27/11/2025","7.150","7.800","7.900","7.150","8.51M","-8.33%"
"26/11/2025","7.800","7.300","7.800","7.100","4.89M","6.85%"
"25/11/2025","7.300","6.700","7.300","6.550","8.14M","8.96%"
"24/11/2025","6.700","7.200","6.900","6.550","5.01M","-6.94%"
"21/11/2025","7.200","7.550","7.500","7.200","3.98M","-4.64%"
"20/11/2025","7.550","7.550","7.550","7.200","5.51M","0.00%"
"19/11/2025","7.550","7.450","7.900","7.500","14.78M","1.34%"
"18/11/2025","7.450","7.400","8.000","7.400","31.41M","0.68%"
"17/11/2025","7.400","7.450","7.500","7.200","15.50M","-0.67%"
"14/11/2025","7.450","7.300","7.700","7.350","77.21M","2.05%"
"13/11/2025","7.300","7.750","7.750","7.300","3.30M","-5.81%"
"12/11/2025","7.750","7.200","7.750","7.200","4.82M","9.15%"
"11/11/2025","7.100","7.500","7.700","7.100","8.65M","-5.33%"
"10/11/2025","7.500","7.500","7.700","7.400","5.49M","0.00%"
"07/11/2025","7.500","8.000","8.000","6.750","7.33M","0.00%"
"06/11/2025","7.500","7.900","8.300","7.400","38.50M","-5.06%"
"05/11/2025","7.900","8.000","7.900","7.250","81.66M","-1.25%"
"04/11/2025","8.000","7.850","8.000","7.650","12.13M","1.91%"
"03/11/2025","7.850","7.750","8.000","7.750","4.30M","1.29%"
"31/10/2025","7.750","7.600","7.750","7.700","4.16M","1.97%"
"30/10/2025","7.600","7.600","8.100","7.500","4.10M","0.00%"
"29/10/2025","7.600","7.700","8.000","7.600","13.38M","-1.30%"
"28/10/2025","7.700","7.700","7.800","7.600","7.05M","0.00%"
"27/10/2025","7.700","8.000","7.950","7.700","4.67M","-3.75%"
"24/10/2025","8.000","8.000","8.000","8.000","4.49M","0.00%"
"23/10/2025","8.000","7.950","8.200","7.750","3.42M","0.63%"
"22/10/2025","7.950","7.800","8.100","7.600","6.09M","1.92%"
"21/10/2025","7.800","8.100","8.150","7.800","15.84M","-3.70%"
"20/10/2025","8.100","7.800","8.150","7.800","6.91M","3.85%"
"17/10/2025","7.800","8.200","8.200","7.800","8.72M","-4.88%"
"16/10/2025","8.200","7.700","8.200","7.700","7.78M","6.49%"
"15/10/2025","7.700","7.700","8.000","7.700","10.26M","0.00%"
"14/10/2025","7.700","7.700","8.150","7.700","4.93M","0.00%"
"13/10/2025","7.700","7.550","7.950","7.650","8.78M","1.99%"
"10/10/2025","7.550","8.350","8.250","7.550","16.71M","-9.58%"
"09/10/2025","8.350","8.000","8.550","8.000","19.82M","4.38%"
"08/10/2025","8.000","8.050","8.500","8.000","8.96M","-0.62%"
"07/10/2025","8.050","8.400","8.700","8.000","19.60M","-4.17%"
"06/10/2025","8.400","8.000","8.600","8.050","24.74M","5.00%"
"03/10/2025","8.000","7.850","8.500","7.850","25.45M","1.91%"
"02/10/2025","7.850","7.600","8.250","7.700","21.47M","3.29%"
"30/09/2025","7.600","7.500","7.950","7.550","28.29M","1.33%"
"29/09/2025","7.500","7.550","7.550","7.450","10.99M","-0.66%"
"26/09/2025","7.550","7.300","7.600","7.300","5.22M","3.42%"
"25/09/2025","7.300","7.450","7.750","7.250","104.91M","-2.01%"
"24/09/2025","7.450","7.350","7.700","7.300","8.05M","1.36%"
"23/09/2025","7.350","7.450","7.450","7.250","7.32M","-1.34%"
"22/09/2025","7.450","7.400","7.900","7.250","9.64M","0.68%"
"19/09/2025","7.400","7.500","7.500","7.400","3.91M","-1.33%"
"18/09/2025","7.500","7.300","7.550","7.000","8.59M","2.74%"
"17/09/2025","7.300","7.500","7.500","7.300","6.16M","-2.67%"
"16/09/2025","7.500","7.550","7.900","7.500","6.16M","-0.66%"
"15/09/2025","7.550","7.900","7.900","7.550","5.13M","-4.43%"
"12/09/2025","7.900","7.500","7.900","7.500","37.15M","5.33%"
"11/09/2025","7.500","7.500","7.500","7.350","3.30M","0.00%"
"10/09/2025","7.500","7.500","7.600","7.500","2.85M","0.00%"
"09/09/2025","7.500","7.500","7.550","7.350","6.00M","0.00%"
"08/09/2025","7.500","7.500","7.500","7.450","4.40M","0.00%"
"04/09/2025","7.500","7.550","7.500","7.500","12.66M","-0.66%"
"03/09/2025","7.550","7.500","7.700","7.500","4.34M","0.67%"
"02/09/2025","7.500","7.500","7.600","7.500","9.02M","0.00%"
"01/09/2025","7.500","7.800","7.550","7.500","4.00M","-3.85%"
"29/08/2025","7.800","8.000","8.050","7.800","3.65M","-2.50%"
"28/08/2025","8.000","8.000","8.000","8.000","90.82M","0.00%"
"27/08/2025","8.000","7.950","8.000","7.900","86.04M","0.63%"
"26/08/2025","7.950","7.700","7.950","7.650","10.29M","3.25%"
"25/08/2025","7.700","7.550","7.900","7.550","8.49M","1.99%"
"22/08/2025","7.550","7.600","7.850","7.500","3.60M","-0.66%"
"21/08/2025","7.600","7.800","7.800","7.520","6.57M","-2.56%"
"20/08/2025","7.800","7.800","8.000","7.510","11.14M","0.00%"
"19/08/2025","7.800","8.050","8.450","7.700","18.54M","-3.11%"
"18/08/2025","8.050","7.500","8.100","7.850","26.91M","7.33%"
"15/08/2025","7.500","7.900","7.950","7.400","20.66M","-5.06%"
"14/08/2025","7.900","8.090","8.000","7.600","58.32M","-2.35%"
"13/08/2025","8.090","8.090","8.500","8.000","68.20M","0.00%"
"12/08/2025","8.090","8.250","8.150","8.000","97.83M","-1.94%"
"11/08/2025","8.250","8.200","8.450","8.050","120.20M","-1.20%"
"08/08/2025","8.350","7.800","8.350","8.000","115.27M","7.05%"
"07/08/2025","7.800","8.160","8.970","7.600","121.02M","-4.41%"
"06/08/2025","8.160","7.420","8.160","8.000","183.77M","9.97%"
"05/08/2025","7.420","6.800","7.420","6.800","10.86M","9.93%"
"04/08/2025","6.750","6.500","7.150","6.750","24.78M","3.85%"
"01/08/2025","6.500","7.000","7.110","6.500","58.37M","-7.14%"
"31/07/2025","7.000","6.980","7.000","6.750","17.50M","4.48%"
"30/07/2025","6.700","6.700","6.900","6.600","12.60M","0.00%"
"29/07/2025","6.700","6.650","6.980","6.700","6.28M","0.75%"
"28/07/2025","6.650","6.600","6.800","6.500","11.28M","0.76%"
"25/07/2025","6.600","6.400","6.650","6.400","20.38M","3.12%"
"24/07/2025","6.400","6.220","6.440","6.180","8.01M","2.89%"
"23/07/2025","6.220","6.220","6.450","6.200","13.37M","0.00%"
