"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","640.00","640.00","640.00","640.00","3.04K","0.00%"
"30/12/2025","640.00","640.00","640.00","640.00","4.38K","0.00%"
"29/12/2025","640.00","640.00","640.00","640.00","436.68K","0.00%"
"24/12/2025","640.00","640.00","640.00","640.00","1.91K","0.00%"
"23/12/2025","640.00","640.00","640.00","640.00","3.05K","0.00%"
"22/12/2025","640.00","640.00","640.00","640.00","8.04K","0.00%"
"19/12/2025","640.00","640.00","640.00","640.00","9.24K","0.00%"
"18/12/2025","640.00","640.00","640.00","640.00","32.00K","0.00%"
"17/12/2025","640.00","640.00","640.00","640.00","7.36K","0.00%"
"16/12/2025","640.00","640.00","640.00","640.00","106.35K","0.00%"
"15/12/2025","640.00","640.00","640.00","640.00","21.65K","0.00%"
"12/12/2025","640.00","640.00","640.00","640.00","261.37K","0.00%"
"11/12/2025","640.00","640.00","640.00","640.00","14.93K","0.00%"
"10/12/2025","640.00","640.00","640.00","640.00","6.19K","0.00%"
"09/12/2025","640.00","640.00","640.00","640.00","5.08K","0.00%"
"08/12/2025","640.00","640.00","640.00","640.00","4.59K","0.00%"
"05/12/2025","640.00","640.00","640.00","640.00","10.85K","0.00%"
"04/12/2025","640.00","640.00","640.00","640.00","4.40K","0.00%"
"03/12/2025","640.00","640.00","640.00","640.00","4.45K","0.00%"
"02/12/2025","640.00","640.00","640.00","640.00","10.11K","0.00%"
"01/12/2025","640.00","640.00","640.00","640.00","3.78K","0.00%"
"28/11/2025","640.00","640.00","640.00","640.00","5.54K","0.00%"
"27/11/2025","640.00","640.00","640.00","640.00","2.04K","0.00%"
"26/11/2025","640.00","640.00","640.00","640.00","7.66K","0.00%"
"25/11/2025","640.00","640.00","640.00","640.00","1.40K","0.00%"
"24/11/2025","640.00","640.00","640.00","640.00","3.57K","0.00%"
"21/11/2025","640.00","640.00","640.00","640.00","1.16K","0.00%"
"20/11/2025","640.00","640.00","640.00","640.00","13.35K","0.00%"
"19/11/2025","640.00","640.00","640.00","640.00","1.63K","0.00%"
"18/11/2025","640.00","640.00","640.00","640.00","3.12K","0.00%"
"17/11/2025","640.00","640.00","640.00","640.00","3.96K","0.00%"
"14/11/2025","640.00","640.00","640.00","640.00","12.76K","0.00%"
"13/11/2025","640.00","640.00","640.00","640.00","1.32K","0.00%"
"12/11/2025","640.00","640.00","640.00","640.00","6.07K","0.00%"
"11/11/2025","640.00","640.00","576.00","576.00","207.11K","0.00%"
"10/11/2025","640.00","640.00","640.00","640.00","3.60K","0.00%"
"07/11/2025","640.00","640.00","640.00","640.00","6.61K","0.00%"
"06/11/2025","640.00","640.00","640.00","640.00","2.13K","0.00%"
"05/11/2025","640.00","640.00","640.00","640.00","1.97K","0.00%"
