"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","45.400","44.500","45.400","43.950","5.45M","2.02%"
"30/12/2025","44.500","41.500","44.500","42.000","8.75M","7.23%"
"29/12/2025","41.500","41.000","41.500","41.250","1.06M","1.22%"
"24/12/2025","41.000","41.000","41.000","41.000","329.03K","0.00%"
"23/12/2025","41.000","41.000","41.000","41.000","709.91K","0.00%"
"22/12/2025","41.000","41.000","41.000","41.000","1.11M","0.00%"
"19/12/2025","41.000","40.950","41.000","41.000","1.59M","0.12%"
"18/12/2025","40.950","41.000","41.000","40.950","1.80M","-0.12%"
"17/12/2025","41.000","42.200","41.400","41.000","1.68M","-2.84%"
"16/12/2025","42.200","42.200","42.200","42.200","488.84K","0.00%"
"15/12/2025","42.200","42.200","42.200","42.200","752.51K","0.00%"
"12/12/2025","42.200","43.300","42.800","42.200","1.72M","-2.54%"
"11/12/2025","43.300","43.300","43.300","43.300","556.70K","0.00%"
"10/12/2025","43.300","43.300","43.300","43.300","1.18M","0.00%"
"09/12/2025","43.300","42.000","43.950","42.650","2.33M","3.10%"
"08/12/2025","42.000","41.000","42.000","41.000","3.95M","0.00%"
"05/12/2025","42.000","40.950","42.000","42.000","1.18M","2.56%"
"04/12/2025","40.950","40.100","40.950","40.950","1.86M","2.12%"
"03/12/2025","40.100","40.100","40.100","40.100","587.83K","0.00%"
"02/12/2025","40.100","42.000","42.000","40.100","1.06M","-4.52%"
"01/12/2025","42.000","42.000","42.000","42.000","1.02M","0.00%"
"28/11/2025","42.000","41.000","42.000","42.000","4.34M","2.44%"
"27/11/2025","41.000","41.000","41.000","40.950","2.28M","0.00%"
"26/11/2025","41.000","40.050","41.000","40.050","6.92M","2.37%"
"25/11/2025","40.050","40.550","40.550","40.050","3.42M","-1.23%"
"24/11/2025","40.550","41.000","40.700","40.550","4.48M","-1.10%"
"21/11/2025","41.000","40.700","41.000","40.500","6.73M","0.74%"
"20/11/2025","40.700","41.200","41.250","40.700","2.20M","-1.21%"
"19/11/2025","41.200","45.000","42.000","40.700","1.94M","-8.44%"
"18/11/2025","45.000","43.000","45.000","45.000","640.61K","4.65%"
"17/11/2025","43.000","45.100","45.100","42.600","1.05M","-4.66%"
"14/11/2025","45.100","45.100","45.100","45.100","1.18M","0.00%"
"13/11/2025","45.100","43.550","47.850","45.100","2.03M","3.56%"
"12/11/2025","43.550","42.000","43.550","42.000","2.85M","9.97%"
"11/11/2025","39.600","44.000","40.000","39.600","4.91M","-10.00%"
"10/11/2025","44.000","44.000","44.000","44.000","458.25K","0.00%"
"07/11/2025","44.000","45.000","44.000","44.000","668.18K","-2.22%"
"06/11/2025","45.000","45.000","45.000","45.000","2.05M","0.00%"
"05/11/2025","45.000","50.000","45.000","45.000","1.81M","-10.00%"
"04/11/2025","50.000","50.000","50.000","50.000","863.84K","0.00%"
"03/11/2025","50.000","50.000","50.000","50.000","999.95K","0.00%"
"31/10/2025","50.000","47.000","50.000","45.150","5.81M","6.38%"
"30/10/2025","47.000","48.050","47.000","46.000","2.64M","-2.19%"
"29/10/2025","48.050","48.050","48.150","48.000","3.04M","0.00%"
"28/10/2025","48.050","47.900","48.200","48.050","3.50M","0.31%"
"27/10/2025","47.900","48.150","48.200","47.800","4.52M","-0.52%"
"24/10/2025","48.150","48.150","48.150","48.150","981.35K","0.00%"
"23/10/2025","48.150","48.500","49.000","48.000","1.31M","-0.72%"
"22/10/2025","48.500","48.500","48.500","48.500","1.43M","0.00%"
"21/10/2025","48.500","47.800","48.500","46.000","2.23M","1.46%"
"20/10/2025","47.800","47.800","47.800","47.000","1.05M","0.00%"
"17/10/2025","47.800","48.500","47.800","47.800","775.94K","-1.44%"
"16/10/2025","48.500","48.500","48.500","48.500","584.06K","0.00%"
"15/10/2025","48.500","46.550","48.850","48.500","2.31M","4.19%"
"14/10/2025","46.550","46.550","46.550","46.550","997.89K","0.00%"
"13/10/2025","46.550","46.100","46.550","46.550","1.43M","0.98%"
"10/10/2025","46.100","49.000","46.100","46.100","823.36K","-5.92%"
"09/10/2025","49.000","49.000","49.000","49.000","483.66K","0.00%"
"08/10/2025","49.000","49.500","49.000","49.000","1.97M","-1.01%"
"07/10/2025","49.500","49.000","49.500","49.500","1.71M","1.02%"
"06/10/2025","49.000","47.600","49.000","48.000","10.36M","2.94%"
"03/10/2025","47.600","49.900","47.600","47.600","737.83K","-4.61%"
"02/10/2025","49.900","49.900","49.900","49.900","587.50K","0.00%"
"30/09/2025","49.900","46.000","50.000","45.050","4.94M","8.48%"
"29/09/2025","46.000","46.050","46.000","46.000","1.05M","-0.11%"
"26/09/2025","46.050","46.050","46.050","46.000","1.93M","0.00%"
"25/09/2025","46.050","45.850","46.050","46.050","824.61K","0.44%"
"24/09/2025","45.850","45.850","45.850","45.850","1.06M","0.00%"
"23/09/2025","45.850","46.000","45.850","45.850","1.07M","-0.33%"
"22/09/2025","46.000","46.000","46.000","46.000","1.23M","0.00%"
"19/09/2025","46.000","46.150","46.050","45.100","4.30M","-0.33%"
"18/09/2025","46.150","46.200","46.150","46.150","1.13M","-0.11%"
"17/09/2025","46.200","46.200","47.400","46.200","1.39M","0.00%"
"16/09/2025","46.200","46.200","46.200","46.200","1.46M","0.22%"
"15/09/2025","46.100","46.100","47.000","46.100","2.61M","0.00%"
"12/09/2025","46.100","46.100","46.100","46.100","634.86K","0.00%"
"11/09/2025","46.100","46.100","46.100","46.100","366.87K","0.00%"
"10/09/2025","46.100","46.000","46.100","46.100","3.07M","0.22%"
"09/09/2025","46.000","46.050","46.000","46.000","2.82M","-0.11%"
"08/09/2025","46.050","49.700","46.150","46.050","1.43M","-7.34%"
"04/09/2025","49.700","46.000","49.700","49.700","1.26M","8.04%"
"03/09/2025","46.000","45.000","46.000","46.000","803.67K","2.22%"
"02/09/2025","45.000","47.000","45.000","45.000","1.40M","-4.26%"
"01/09/2025","47.000","47.000","47.000","47.000","599.85K","0.00%"
"29/08/2025","47.000","47.950","47.000","47.000","1.25M","-1.98%"
"28/08/2025","47.950","47.550","47.950","47.000","5.36M","0.84%"
"27/08/2025","47.550","48.050","47.550","47.500","2.97M","-1.04%"
"26/08/2025","48.050","48.200","48.300","48.000","6.21M","-0.31%"
"25/08/2025","48.200","48.050","48.200","48.050","2.47M","0.31%"
"22/08/2025","48.050","47.000","48.050","48.050","1.31M","2.23%"
"21/08/2025","47.000","47.000","47.000","47.000","782.05K","0.00%"
"20/08/2025","47.000","49.850","47.000","47.000","1.51M","-5.72%"
"19/08/2025","49.850","49.850","49.850","49.850","2.43M","0.00%"
"18/08/2025","49.850","50.100","50.000","49.850","3.62M","-0.50%"
"15/08/2025","50.100","50.050","50.100","50.050","2.33M","0.10%"
"14/08/2025","50.050","51.250","51.800","50.000","3.60M","-2.34%"
"13/08/2025","51.250","51.800","51.800","51.250","2.67M","-1.06%"
"12/08/2025","51.800","51.600","51.800","50.600","8.06M","-0.38%"
"11/08/2025","52.000","51.500","52.000","51.250","2.86M","0.97%"
"08/08/2025","51.500","50.500","51.500","51.000","1.82M","1.98%"
"07/08/2025","50.500","50.300","50.950","50.350","3.13M","0.40%"
"06/08/2025","50.300","50.700","50.800","50.000","5.73M","-0.79%"
"05/08/2025","50.700","50.000","51.000","50.700","5.49M","1.40%"
"04/08/2025","50.000","50.000","50.000","50.000","1.21M","0.00%"
"01/08/2025","50.000","53.000","50.500","50.000","5.26M","-5.66%"
"31/07/2025","53.000","51.000","53.800","50.000","9.26M","3.92%"
"30/07/2025","51.000","51.500","51.500","50.000","5.84M","-2.95%"
"29/07/2025","52.550","49.500","53.850","50.000","10.74M","6.16%"
"28/07/2025","49.500","50.900","49.500","49.150","4.06M","-2.75%"
"25/07/2025","50.900","50.000","50.900","50.500","10.56M","1.80%"
"24/07/2025","50.000","49.500","50.000","49.850","9.23M","1.01%"
"23/07/2025","49.500","49.000","49.500","49.500","2.70M","1.02%"
"22/07/2025","49.000","49.000","49.000","49.000","846.84K","0.00%"
"21/07/2025","49.000","50.000","49.050","49.000","4.47M","-2.00%"
"18/07/2025","50.000","50.800","51.500","49.850","3.19M","-1.57%"
"17/07/2025","50.800","50.750","51.000","50.000","9.48M","0.10%"
"16/07/2025","50.750","53.000","50.900","50.750","3.09M","-4.25%"
"14/07/2025","53.000","49.300","53.000","49.000","4.88M","7.51%"
"11/07/2025","49.300","48.450","49.300","49.300","1.72M","1.75%"
"10/07/2025","48.450","48.450","49.100","48.300","3.90M","0.00%"
"09/07/2025","48.450","47.100","48.450","47.100","2.97M","2.98%"
"08/07/2025","47.050","47.150","47.100","47.000","1.82M","-0.21%"
"07/07/2025","47.150","49.400","48.800","47.000","2.26M","-4.55%"
"04/07/2025","49.400","49.400","49.400","49.400","561.30K","0.00%"
"03/07/2025","49.400","48.550","49.450","49.400","2.26M","1.75%"
"02/07/2025","48.550","48.350","48.550","48.450","5.15M","0.41%"
"01/07/2025","48.350","48.300","48.500","48.350","2.89M","0.10%"
"30/06/2025","48.300","48.300","49.000","48.300","3.22M","0.00%"
"27/06/2025","48.300","48.350","48.500","48.250","2.46M","-0.10%"
"26/06/2025","48.350","48.050","48.350","48.100","4.44M","0.62%"
"25/06/2025","48.050","49.700","51.000","48.050","2.11M","-3.32%"
"24/06/2025","49.700","48.000","52.800","49.550","7.21M","3.54%"
"23/06/2025","48.000","47.000","48.000","47.000","3.68M","2.13%"
"20/06/2025","47.000","46.600","47.900","47.000","6.55M","0.86%"
"19/06/2025","46.600","46.000","47.000","46.600","2.25M","1.30%"
"18/06/2025","46.000","46.000","46.000","46.000","2.26M","0.00%"
"17/06/2025","46.000","46.050","46.000","46.000","9.00M","-0.11%"
"16/06/2025","46.050","46.050","46.050","46.050","919.99K","0.00%"
"13/06/2025","46.050","45.500","47.200","46.050","1.74M","1.21%"
