"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","41.65","40.85","41.70","41.00","5.33M","1.96%"
"30/12/2025","40.85","41.00","42.00","40.85","7.81M","-0.37%"
"29/12/2025","41.00","42.00","41.95","41.00","11.64M","-2.38%"
"24/12/2025","42.00","39.40","42.00","39.10","7.20M","6.60%"
"23/12/2025","39.40","39.00","39.50","39.00","7.49M","1.03%"
"22/12/2025","39.00","40.30","40.30","39.00","10.19M","-2.50%"
"19/12/2025","40.00","41.60","41.20","40.00","6.60M","-3.85%"
"18/12/2025","41.60","39.80","41.60","40.30","3.71M","4.52%"
"17/12/2025","39.80","39.70","40.00","39.50","12.61M","0.25%"
"16/12/2025","39.70","40.00","40.00","39.50","10.49M","-0.75%"
"15/12/2025","40.00","39.70","40.10","39.70","11.41M","0.76%"
"12/12/2025","39.70","40.00","40.00","39.00","17.37M","-0.75%"
"11/12/2025","40.00","40.25","40.40","40.00","5.73M","-0.62%"
"10/12/2025","40.25","40.00","40.50","40.00","8.27M","0.63%"
"09/12/2025","40.00","40.00","40.50","40.00","10.42M","0.00%"
"08/12/2025","40.00","40.00","41.00","40.00","13.55M","0.00%"
"05/12/2025","40.00","39.15","40.95","39.45","5.74M","2.17%"
"04/12/2025","39.15","39.60","39.60","39.10","8.10M","-1.14%"
"03/12/2025","39.60","38.40","39.95","38.30","16.47M","3.12%"
"02/12/2025","38.40","37.00","38.80","37.30","8.51M","3.78%"
"01/12/2025","37.00","36.45","37.00","36.50","9.13M","1.51%"
"28/11/2025","36.45","36.00","36.50","36.00","26.43M","1.25%"
"27/11/2025","36.00","35.90","36.90","36.00","28.22M","0.28%"
"26/11/2025","35.90","35.90","37.40","35.90","39.27M","0.00%"
"25/11/2025","35.90","35.85","36.50","35.80","31.95M","0.14%"
"24/11/2025","35.85","36.90","36.90","35.60","20.14M","-2.85%"
"21/11/2025","36.90","37.00","38.00","36.90","7.10M","-0.27%"
"20/11/2025","37.00","38.00","37.50","37.00","9.61M","-2.63%"
"19/11/2025","38.00","38.90","38.50","38.00","9.88M","-2.31%"
"18/11/2025","38.90","39.90","39.75","38.85","3.61M","-2.51%"
"17/11/2025","39.90","40.00","40.05","39.00","5.68M","-0.25%"
"14/11/2025","40.00","41.00","41.50","38.40","10.79M","-2.44%"
"13/11/2025","41.00","42.15","42.15","40.75","52.97M","6.91%"
"12/11/2025","38.35","38.35","38.35","38.35","19.35M","9.89%"
"11/11/2025","34.90","38.05","38.15","34.25","20.58M","-8.28%"
"10/11/2025","38.05","40.00","40.00","38.05","7.88M","-4.88%"
"07/11/2025","40.00","41.00","41.00","40.00","15.92M","-2.44%"
"06/11/2025","41.00","40.45","41.00","39.95","21.67M","1.36%"
"05/11/2025","40.45","39.50","40.50","39.95","22.59M","2.41%"
"04/11/2025","39.50","40.50","40.50","39.50","18.99M","-2.47%"
"03/11/2025","40.50","40.05","40.85","40.50","136.84M","1.12%"
"31/10/2025","40.05","39.75","40.05","39.75","7.90M","0.75%"
"30/10/2025","39.75","39.00","40.55","39.75","12.65M","1.92%"
"29/10/2025","39.00","39.60","39.60","39.00","8.63M","-1.52%"
"28/10/2025","39.60","40.20","40.35","39.50","9.23M","-1.49%"
"27/10/2025","40.20","42.00","41.70","40.00","15.31M","-4.29%"
"24/10/2025","42.00","42.60","42.85","42.00","5.55M","-1.41%"
"23/10/2025","42.60","42.80","43.20","42.60","10.38M","-0.47%"
"22/10/2025","42.80","42.95","42.95","42.60","12.36M","-0.35%"
"21/10/2025","42.95","42.95","43.20","42.70","13.38M","0.00%"
"20/10/2025","42.95","42.00","43.60","42.00","13.20M","2.26%"
"17/10/2025","42.00","42.00","42.20","42.00","59.18M","0.00%"
"16/10/2025","42.00","42.40","42.30","42.00","14.80M","-0.94%"
"15/10/2025","42.40","42.30","42.45","42.25","12.96M","0.24%"
"14/10/2025","42.30","42.80","43.00","42.10","13.94M","-1.17%"
"13/10/2025","42.80","42.80","43.00","42.80","8.07M","0.00%"
"10/10/2025","42.80","42.25","43.00","42.25","10.39M","1.30%"
"09/10/2025","42.25","42.40","42.35","42.25","5.12M","-0.35%"
"08/10/2025","42.40","42.45","42.50","42.25","9.75M","-0.12%"
"07/10/2025","42.45","42.15","42.45","42.15","9.97M","0.71%"
"06/10/2025","42.15","42.75","42.85","42.15","9.29M","-1.98%"
"03/10/2025","43.00","43.00","43.15","42.85","80.10M","0.00%"
"02/10/2025","43.00","43.20","43.35","42.95","152.14M","-0.46%"
"30/09/2025","43.20","44.40","44.45","42.95","17.33M","-2.70%"
"29/09/2025","44.40","44.90","44.90","44.00","15.04M","-1.11%"
"26/09/2025","44.90","43.80","45.00","44.80","17.54M","2.51%"
"25/09/2025","43.80","43.75","43.80","43.60","21.16M","0.11%"
"24/09/2025","43.75","43.00","44.00","42.90","16.91M","1.74%"
"23/09/2025","43.00","43.00","43.00","42.75","23.27M","0.00%"
"22/09/2025","43.00","44.20","44.65","43.00","31.98M","-2.71%"
