"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","18.700","18.400","18.700","18.400","2.93M","1.63%"
"30/12/2025","18.400","18.200","18.400","18.250","4.29M","1.10%"
"29/12/2025","18.200","18.000","18.300","18.000","2.73M","1.11%"
"24/12/2025","18.000","18.400","18.000","18.000","899.34K","-2.17%"
"23/12/2025","18.400","18.050","18.400","18.000","5.68M","1.94%"
"22/12/2025","18.050","17.850","18.350","18.050","1.59M","1.12%"
"19/12/2025","17.850","17.600","17.850","17.000","2.35M","1.42%"
"18/12/2025","17.600","17.550","17.600","17.000","2.61M","0.28%"
"17/12/2025","17.550","17.000","17.550","17.050","4.57M","3.24%"
"16/12/2025","17.000","17.450","17.300","17.000","4.30M","-2.58%"
"15/12/2025","17.450","17.200","17.450","17.050","4.72M","1.45%"
"12/12/2025","17.200","17.300","17.200","17.100","3.72M","-0.58%"
"11/12/2025","17.300","17.450","17.450","17.300","2.28M","-0.86%"
"10/12/2025","17.450","17.100","17.450","17.000","4.06M","2.05%"
"09/12/2025","17.100","17.100","17.150","17.000","5.43M","0.00%"
"08/12/2025","17.100","17.000","17.300","17.050","4.67M","0.59%"
"05/12/2025","17.000","17.050","17.800","17.000","4.13M","-0.29%"
"04/12/2025","17.050","17.250","17.300","17.050","3.68M","-1.16%"
"03/12/2025","17.250","16.950","17.450","17.250","1.54M","1.77%"
"02/12/2025","16.950","17.300","17.350","16.950","8.28M","-2.02%"
"01/12/2025","17.300","17.350","17.500","17.050","11.03M","-0.29%"
"28/11/2025","17.350","17.200","17.350","17.350","2.18M","0.87%"
"27/11/2025","17.200","16.450","17.200","17.000","2.90M","4.56%"
"26/11/2025","16.450","16.250","16.500","16.400","4.61M","1.23%"
"25/11/2025","16.250","16.500","16.500","16.250","3.61M","-1.52%"
"24/11/2025","16.500","16.900","16.850","16.500","3.78M","-2.37%"
"21/11/2025","16.900","17.000","17.200","16.900","3.84M","-0.59%"
"20/11/2025","17.000","17.150","17.150","17.000","10.72M","-0.87%"
"19/11/2025","17.150","17.350","17.250","17.150","2.20M","-1.15%"
"18/11/2025","17.350","17.650","17.600","17.350","4.19M","-1.70%"
"17/11/2025","17.650","17.800","18.000","17.650","5.90M","-0.84%"
"14/11/2025","17.800","18.400","18.100","17.800","1.78M","-3.26%"
"13/11/2025","18.400","17.600","18.700","18.000","2.41M","4.55%"
"12/11/2025","17.600","16.200","17.700","16.200","27.86M","9.32%"
"11/11/2025","16.100","17.200","17.300","15.550","6.71M","-6.40%"
"10/11/2025","17.200","18.000","17.700","17.200","8.01M","-4.44%"
"07/11/2025","18.000","18.100","18.100","17.850","6.12M","-0.55%"
