"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","61.80","62.85","62.95","60.00","58.76M","-1.67%"
"30/12/2025","62.85","62.70","63.00","62.50","36.11M","0.24%"
"29/12/2025","62.70","63.00","63.20","62.60","50.57M","-0.48%"
"24/12/2025","63.00","62.50","63.05","62.65","33.93M","0.80%"
"23/12/2025","62.50","63.00","62.95","61.00","19.91M","-0.79%"
"22/12/2025","63.00","63.30","63.40","63.00","18.09M","-0.47%"
"19/12/2025","63.30","63.50","63.50","63.30","19.28M","-0.31%"
"18/12/2025","63.50","63.50","63.50","63.40","10.50M","0.00%"
"17/12/2025","63.50","63.50","64.00","62.75","32.22M","0.00%"
"16/12/2025","63.50","64.05","64.50","63.50","14.29M","-0.86%"
"15/12/2025","64.05","64.00","64.50","64.05","8.67M","0.08%"
"12/12/2025","64.00","64.00","64.00","63.75","37.67M","-0.70%"
"11/12/2025","64.45","64.50","64.65","64.40","20.33M","-0.08%"
"10/12/2025","64.50","64.50","64.95","64.40","10.60M","0.00%"
"09/12/2025","64.50","65.00","65.30","64.50","16.24M","-0.77%"
"08/12/2025","65.00","62.20","65.95","63.00","41.99M","4.50%"
"05/12/2025","62.20","60.50","62.20","60.80","59.46M","2.81%"
"04/12/2025","60.50","60.00","60.85","60.00","27.10M","0.83%"
"03/12/2025","60.00","59.70","60.10","59.95","52.66M","0.50%"
"02/12/2025","59.70","60.00","60.00","59.50","40.33M","-0.50%"
"01/12/2025","60.00","60.00","60.10","59.80","25.02M","0.00%"
"28/11/2025","60.00","60.00","60.50","60.00","15.07M","0.00%"
"27/11/2025","60.00","60.30","61.00","60.00","24.56M","-0.50%"
"26/11/2025","60.30","59.75","61.10","60.00","36.13M","0.92%"
"25/11/2025","59.75","59.50","60.10","59.50","9.84M","0.42%"
"24/11/2025","59.50","59.75","59.75","59.00","13.13M","-0.42%"
"21/11/2025","59.75","60.00","60.00","59.05","91.50M","-0.17%"
"20/11/2025","59.85","59.50","59.95","59.50","13.72M","0.59%"
"19/11/2025","59.50","61.00","60.25","59.50","34.54M","-2.46%"
"18/11/2025","61.00","62.95","61.60","60.10","12.12M","-3.10%"
"17/11/2025","62.95","64.00","64.00","62.75","13.24M","-1.64%"
"14/11/2025","64.00","64.40","64.55","63.10","25.50M","-0.62%"
"13/11/2025","64.40","65.00","65.00","62.15","40.77M","8.42%"
"12/11/2025","59.40","59.40","59.40","59.40","86.81M","10.00%"
"11/11/2025","54.00","59.60","59.60","53.70","41.92M","-9.40%"
"10/11/2025","59.60","60.00","60.00","59.45","21.94M","-0.67%"
"07/11/2025","60.00","59.90","60.20","59.90","22.46M","0.17%"
"06/11/2025","59.90","60.80","60.10","59.60","41.89M","-1.48%"
"05/11/2025","60.80","61.55","62.00","60.50","53.67M","-1.22%"
"04/11/2025","61.55","63.00","62.95","60.40","38.28M","-2.30%"
"03/11/2025","63.00","63.00","63.25","62.90","31.81M","0.00%"
"31/10/2025","63.00","63.00","63.40","63.00","21.54M","0.00%"
"30/10/2025","63.00","63.70","64.00","63.00","13.28M","-1.10%"
"29/10/2025","63.70","63.40","64.00","63.00","17.02M","0.47%"
"28/10/2025","63.40","65.50","65.00","62.15","28.14M","-3.21%"
"27/10/2025","65.50","67.20","67.25","65.00","18.18M","-2.53%"
"24/10/2025","67.20","67.55","67.55","67.20","15.06M","-0.52%"
"23/10/2025","67.55","67.55","68.00","67.10","12.09M","0.00%"
"22/10/2025","67.55","68.50","68.45","67.50","23.98M","-1.39%"
"21/10/2025","68.50","68.60","68.80","68.50","14.22M","-0.15%"
"20/10/2025","68.60","68.20","68.60","68.05","14.78M","0.59%"
"17/10/2025","68.20","68.05","68.50","68.20","5.15M","0.22%"
"16/10/2025","68.05","68.10","68.50","68.00","25.05M","-0.07%"
"15/10/2025","68.10","68.00","68.25","68.00","20.85M","0.15%"
"14/10/2025","68.00","68.00","68.15","68.00","17.90M","0.00%"
"13/10/2025","68.00","68.50","68.50","67.80","21.10M","-0.73%"
"10/10/2025","68.50","69.20","69.35","68.50","18.22M","-1.01%"
"09/10/2025","69.20","69.00","69.90","69.00","5.82M","0.29%"
"08/10/2025","69.00","68.60","69.00","68.80","18.57M","0.58%"
"07/10/2025","68.60","69.00","69.00","68.40","6.77M","-0.58%"
"06/10/2025","69.00","68.15","69.00","68.40","16.24M","-0.58%"
"03/10/2025","69.40","69.00","69.45","69.20","29.87M","0.58%"
"02/10/2025","69.00","69.00","69.50","69.00","47.09M","0.00%"
"30/09/2025","69.00","69.60","69.60","69.00","49.41M","-0.86%"
"29/09/2025","69.60","69.85","70.00","69.50","18.75M","-0.36%"
"26/09/2025","69.85","69.45","70.00","69.50","38.97M","0.58%"
"25/09/2025","69.45","68.80","69.45","69.00","45.53M","0.94%"
"24/09/2025","68.80","67.90","69.50","68.50","68.99M","1.33%"
"23/09/2025","67.90","65.70","68.00","65.70","104.43M","3.35%"
"22/09/2025","65.70","64.00","66.50","64.50","58.60M","2.66%"
"19/09/2025","64.00","66.00","66.65","63.20","27.93M","-3.03%"
"18/09/2025","66.00","66.95","67.00","64.00","24.27M","-1.42%"
"17/09/2025","66.95","67.80","67.75","64.00","9.82M","-1.25%"
"16/09/2025","67.80","68.00","68.00","67.00","18.44M","-0.29%"
"15/09/2025","68.00","68.00","68.40","67.90","17.11M","0.00%"
"12/09/2025","68.00","67.00","68.00","67.15","15.96M","1.49%"
"11/09/2025","67.00","66.00","68.00","66.00","27.91M","1.52%"
"10/09/2025","66.00","66.00","66.20","65.75","29.06M","0.00%"
"09/09/2025","66.00","65.75","66.00","65.70","9.96M","0.38%"
"08/09/2025","65.75","64.90","65.75","64.00","26.73M","1.31%"
"04/09/2025","64.90","64.25","65.00","64.30","26.35M","1.01%"
"03/09/2025","64.25","65.00","64.70","64.00","18.17M","-1.15%"
"02/09/2025","65.00","64.40","65.75","64.40","19.20M","0.93%"
"01/09/2025","64.40","66.00","68.00","64.00","16.79M","-2.42%"
"29/08/2025","66.00","69.00","69.10","65.20","17.35M","-4.35%"
"28/08/2025","69.00","69.90","69.90","68.55","6.67M","-1.29%"
"27/08/2025","69.90","70.60","70.50","69.55","7.69M","-0.99%"
"26/08/2025","70.60","70.00","70.95","70.00","8.65M","0.86%"
"25/08/2025","70.00","70.00","70.00","67.10","10.18M","0.00%"
"22/08/2025","70.00","68.30","70.50","68.30","10.06M","2.49%"
"21/08/2025","68.30","68.00","69.75","68.00","9.10M","0.44%"
"20/08/2025","68.00","67.05","70.00","68.00","18.31M","1.42%"
"19/08/2025","67.05","72.30","71.80","67.05","12.78M","-7.26%"
"18/08/2025","72.30","72.40","73.00","71.80","13.67M","-0.14%"
"15/08/2025","72.40","72.00","72.40","71.05","13.81M","0.56%"
"14/08/2025","72.00","72.55","72.60","72.00","15.85M","-0.76%"
"13/08/2025","72.55","74.00","73.75","72.55","25.40M","-1.96%"
"12/08/2025","74.00","74.00","74.00","73.70","27.39M","0.00%"
"11/08/2025","74.00","74.65","74.65","73.85","16.05M","-0.87%"
"08/08/2025","74.65","74.70","74.70","73.10","28.81M","-0.07%"
"07/08/2025","74.70","74.40","74.70","73.15","38.33M","0.40%"
"06/08/2025","74.40","75.90","75.90","74.20","60.35M","-1.98%"
"05/08/2025","75.90","76.90","76.90","75.30","16.14M","-1.30%"
"04/08/2025","76.90","76.50","77.00","75.10","24.00M","0.52%"
