,DANGCEM,DANGSUG,ETI,FCMB,FIDELIT,FIRSTHOLD,GTCO,GUINNES,IBTC,INTBREW,NB,NESTLE,OKOMUOI,PRESCO,SEPLAT,STERLINGNG,TOTAL,TRANSCO,UBA,UCAP,WAPCO,ZENITHB
DANGCEM,1.0,0.06861751099148393,0.08190873139384955,0.06212354805098271,0.056964849940986925,0.10926381662756396,0.11884886428182552,0.086687206540446,0.10028580638033889,0.0457646333433139,0.10923976949712531,0.0993204927396446,0.06035825541842826,0.04018689878914215,0.029346867333194283,0.09569140373499686,0.038222540316486225,0.03938539116555782,0.11103028654706064,0.05084786847467184,0.06453327492655801,0.13915891040779496
DANGSUG,0.06861751099148393,1.0,0.15797151484861824,0.17294609683115122,0.17328768286465113,0.1635177707062233,0.22569888358645593,0.06340036633872287,0.0797016099033877,0.08084684645896525,0.12530738283254564,0.050800693379486846,0.014216087000149081,0.061213687731129715,0.034874931302426235,0.1353678870468154,0.027186073705756826,0.06632470539251178,0.20680394364706595,0.1432268482104122,0.14500191508571283,0.23048667092830852
ETI,0.08190873139384955,0.15797151484861824,1.0,0.1621023311652206,0.2068390301438169,0.19914059630341163,0.25675685874725307,0.10101343651824488,0.11912125752347881,0.09369002871293604,0.15138912033264723,0.09289165409784955,0.06188150098003222,0.02472180584434785,0.04756815564585848,0.1500263269872006,0.0634492289634572,0.05606033287935049,0.2219769703630056,0.14362917979540563,0.144859606611581,0.25505885801354927
FCMB,0.06212354805098271,0.17294609683115122,0.1621023311652206,1.0,0.3317966593995286,0.30971578214300793,0.27569524392043215,0.07034130584064664,0.10341858916001283,0.046607365970978615,0.12170572425328653,0.047052187591425196,0.04864916816281242,0.07949420670360702,0.06662569021238103,0.23600641704572595,0.032859570216371294,0.08853089295092464,0.3079217882029851,0.15884065546456805,0.12453796394224265,0.3126249643966167
FIDELIT,0.056964849940986925,0.17328768286465113,0.2068390301438169,0.3317966593995286,1.0,0.30423133399987795,0.28205250718806557,0.087124545477415,0.1055857582132482,0.06129852326922717,0.12083442391272874,0.048561049977517,0.011656828697576836,0.06818332481249538,0.01769960808583822,0.22417828794136177,0.029652469988666035,0.10813540010433392,0.3645838775034774,0.22308277926566977,0.13139109573087993,0.33184195819001955
FIRSTHOLD,0.10926381662756396,0.1635177707062233,0.19914059630341163,0.30971578214300793,0.30423133399987795,1.0,0.28955627912142134,0.12212899871621523,0.15574276232070947,0.0844678193790832,0.1562064148988419,0.09346599615388587,0.05405781496720986,0.06646223642201673,0.04439826067646272,0.20529996368246906,0.054459936887290394,0.06622758484295062,0.397176168390144,0.19991901096410064,0.14337075466088608,0.3502586324215049
GTCO,0.11884886428182552,0.22569888358645593,0.25675685874725307,0.27569524392043215,0.28205250718806557,0.28955627912142134,1.0,0.11794318692188471,0.18736990510180365,0.1130468471174883,0.2068845478621173,0.09076764114249669,0.06545549271321428,0.10634873345674435,0.0974595226218588,0.175400438959606,0.05546978260408227,0.0735612775143922,0.392860948164061,0.25383947606659957,0.18525088984899965,0.5809119996381827
GUINNES,0.086687206540446,0.06340036633872287,0.10101343651824488,0.07034130584064664,0.087124545477415,0.12212899871621523,0.11794318692188471,1.0,0.06126304955952314,0.07055231722111192,0.08620536429250694,0.043747678331629486,0.026782481097170224,0.02220571145031014,0.026026388571838293,0.08587866848250571,0.03927764003822443,0.03748558757756241,0.12231927350635995,0.0690330253264373,0.04422941145592153,0.12725659084376825
IBTC,0.10028580638033889,0.0797016099033877,0.11912125752347881,0.10341858916001283,0.1055857582132482,0.15574276232070947,0.18736990510180365,0.06126304955952314,1.0,0.0664224835012764,0.1451064852911255,0.07220612115011378,0.08939610458577299,0.08296840289474902,0.028107982525067,0.09055939184179121,0.03144047978476222,0.03531818611268723,0.18469980492639917,0.08444423554226652,0.06701620734935872,0.17712363873757045
INTBREW,0.0457646333433139,0.08084684645896525,0.09369002871293604,0.046607365970978615,0.06129852326922717,0.0844678193790832,0.1130468471174883,0.07055231722111192,0.0664224835012764,1.0,0.10088972676674608,0.026512075410595942,0.04350324495825217,0.05014446967770188,0.0367083382027986,0.07524855168517532,0.02763173260744537,0.011517996565525115,0.11473832639891417,0.08534846548590878,0.0671519878999003,0.1075617862790355
NB,0.10923976949712531,0.12530738283254564,0.15138912033264723,0.12170572425328653,0.12083442391272874,0.1562064148988419,0.2068845478621173,0.08620536429250694,0.1451064852911255,0.10088972676674608,1.0,0.11125360276198797,0.042212168760927864,0.07019195958032183,0.052185906579368974,0.10769346236922976,0.025633245616075363,0.07365570331920987,0.19078582469867608,0.12867821786968825,0.08664190140927018,0.22461337256463837
NESTLE,0.0993204927396446,0.050800693379486846,0.09289165409784955,0.047052187591425196,0.048561049977517,0.09346599615388587,0.09076764114249669,0.043747678331629486,0.07220612115011378,0.026512075410595942,0.11125360276198797,1.0,0.016056061201785966,0.026159063854582762,0.051374305954860235,0.054955919201743954,0.058143718327264934,-0.041135374191181344,0.08541892628647399,0.025425774819114493,0.03940088560312958,0.09821782786279648
OKOMUOI,0.06035825541842826,0.014216087000149081,0.06188150098003222,0.04864916816281242,0.011656828697576836,0.05405781496720986,0.06545549271321428,0.026782481097170224,0.08939610458577299,0.04350324495825217,0.042212168760927864,0.016056061201785966,1.0,0.1167801179822202,0.03232317329346616,0.03767746432878067,0.027323899039719834,0.007625104697982264,0.030281494147437485,0.005557046958297256,0.03471256534744955,0.06428671090552436
PRESCO,0.04018689878914215,0.061213687731129715,0.02472180584434785,0.07949420670360702,0.06818332481249538,0.06646223642201673,0.10634873345674435,0.02220571145031014,0.08296840289474902,0.05014446967770188,0.07019195958032183,0.026159063854582762,0.1167801179822202,1.0,0.01809458683589146,0.06726690759724333,0.06686385164597486,0.012821105021142639,0.08254378485602004,0.04245245674308569,0.10121880459022554,0.09324350783199119
SEPLAT,0.029346867333194283,0.034874931302426235,0.04756815564585848,0.06662569021238103,0.01769960808583822,0.04439826067646272,0.0974595226218588,0.026026388571838293,0.028107982525067,0.0367083382027986,0.052185906579368974,0.051374305954860235,0.03232317329346616,0.01809458683589146,1.0,0.01178978003873575,0.0445084172891852,0.011163074098356013,0.07021947533528751,0.03994942290173751,0.01661228052837069,0.06255686036971862
STERLINGNG,0.09569140373499686,0.1353678870468154,0.1500263269872006,0.23600641704572595,0.22417828794136177,0.20529996368246906,0.175400438959606,0.08587866848250571,0.09055939184179121,0.07524855168517532,0.10769346236922976,0.054955919201743954,0.03767746432878067,0.06726690759724333,0.01178978003873575,1.0,0.01984675676978078,0.08243388354519934,0.24103745914179373,0.12516083284933552,0.1322142418170427,0.24285936202617767
TOTAL,0.038222540316486225,0.027186073705756826,0.0634492289634572,0.032859570216371294,0.029652469988666035,0.054459936887290394,0.05546978260408227,0.03927764003822443,0.03144047978476222,0.02763173260744537,0.025633245616075363,0.058143718327264934,0.027323899039719834,0.06686385164597486,0.0445084172891852,0.01984675676978078,1.0,0.009290439724960646,0.02495848014542401,0.02093587818012158,0.017011744484929283,0.024706305914637745
TRANSCO,0.03938539116555782,0.06632470539251178,0.05606033287935049,0.08853089295092464,0.10813540010433392,0.06622758484295062,0.0735612775143922,0.03748558757756241,0.03531818611268723,0.011517996565525115,0.07365570331920987,-0.041135374191181344,0.007625104697982264,0.012821105021142639,0.011163074098356013,0.08243388354519934,0.009290439724960646,1.0,0.09058931947334502,0.08064494177710482,0.07016048882950561,0.09841754802916118
UBA,0.11103028654706064,0.20680394364706595,0.2219769703630056,0.3079217882029851,0.3645838775034774,0.397176168390144,0.392860948164061,0.12231927350635995,0.18469980492639917,0.11473832639891417,0.19078582469867608,0.08541892628647399,0.030281494147437485,0.08254378485602004,0.07021947533528751,0.24103745914179373,0.02495848014542401,0.09058931947334502,1.0,0.2598811595347327,0.1715825954984623,0.5009219662688444
UCAP,0.05084786847467184,0.1432268482104122,0.14362917979540563,0.15884065546456805,0.22308277926566977,0.19991901096410064,0.25383947606659957,0.0690330253264373,0.08444423554226652,0.08534846548590878,0.12867821786968825,0.025425774819114493,0.005557046958297256,0.04245245674308569,0.03994942290173751,0.12516083284933552,0.02093587818012158,0.08064494177710482,0.2598811595347327,1.0,0.13772102151601567,0.29520244218927666
WAPCO,0.06453327492655801,0.14500191508571283,0.144859606611581,0.12453796394224265,0.13139109573087993,0.14337075466088608,0.18525088984899965,0.04422941145592153,0.06701620734935872,0.0671519878999003,0.08664190140927018,0.03940088560312958,0.03471256534744955,0.10121880459022554,0.01661228052837069,0.1322142418170427,0.017011744484929283,0.07016048882950561,0.1715825954984623,0.13772102151601567,1.0,0.20898944193177843
ZENITHB,0.13915891040779496,0.23048667092830852,0.25505885801354927,0.3126249643966167,0.33184195819001955,0.3502586324215049,0.5809119996381827,0.12725659084376825,0.17712363873757045,0.1075617862790355,0.22461337256463837,0.09821782786279648,0.06428671090552436,0.09324350783199119,0.06255686036971862,0.24285936202617767,0.024706305914637745,0.09841754802916118,0.5009219662688444,0.29520244218927666,0.20898944193177843,1.0
