Symbol,Avg_Volume,Median_Volume,Vol_Std,Zero_Vol_Days,Zero_Vol_Pct,Coefficient_of_Variation
NB,215.50426524614252,12.54,291.23782595265754,0,0.0,1.3514248807095044
DANGSUG,214.84563188831743,9.055,292.5250318516646,0,0.0,1.3615591309937687
ETI,210.6072904411765,68.58,272.344629348731,0,0.0,1.2931396096413768
GUINNES,203.22276368981989,118.88,225.81184578780295,0,0.0,1.111154290434023
DANGCEM,200.4662440279309,88.49,250.6585639777201,0,0.0,1.2503779137139712
IBTC,198.7281296023564,91.445,251.08684498589682,0,0.0,1.2634690694684603
WAPCO,197.42739705882354,8.024999999999999,289.3594682002568,0,0.0,1.4656500187460917
INTBREW,178.89167043740574,36.22,256.57178486761677,0,0.0,1.4342299126632134
PRESCO,143.91021706586827,63.25,197.02545220991803,2,0.07437709185570844,1.3690859219518703
OKOMUOI,133.84624217887375,68.4,174.6951331759152,0,0.0,1.305192662356934
NESTLE,119.76199632352942,49.935,170.6052539780244,0,0.0,1.4245358228427083
STERLINGNG,88.10450184501845,6.45,207.55521437932913,0,0.0,2.355784438171301
SEPLAT,82.66902829486224,17.825000000000003,156.84857290831732,5,0.18608113137327875,1.8973075666121653
TOTAL,73.71622787610619,28.770000000000003,122.50097811413447,0,0.0,1.661791190944009
FCMB,67.30479220301582,8.55,175.4770506050784,0,0.0,2.607199946116401
UCAP,47.489374309900626,5.1,168.74198957471117,0,0.0,3.5532577977034263
TRANSCO,36.18325212255444,8.75,124.74767075444369,0,0.0,3.4476633093099878
FIDELIT,33.04188235294117,9.94,113.19108615774074,0,0.0,3.425685163716625
FIRSTHOLD,28.890452205882358,12.71,69.37654785696766,0,0.0,2.401365937873481
ZENITHB,26.548251285819248,17.395,37.929747095013724,0,0.0,1.4287098116806625
UBA,26.466970588235295,15.52,50.02391842928103,0,0.0,1.8900507809351224
GTCO,22.067213838792785,14.65,28.291399330379047,0,0.0,1.282055792682107
